rank,ticker,company_name,sector,market_cap,market_data_date,price,return_21d,return_63d,return_126d,spy_relative_63d,spy_relative_126d,sector_etf,sector_relative_63d,sector_relative_126d,max_daily_move_63d,max_gap_63d,max_1d_share_of_abs_move_63d,directional_efficiency_63d,positive_days_63d,negative_days_63d,positive_day_ratio_63d,relative_max_daily_move_63d,relative_max_1d_share_of_abs_move_63d,relative_directional_efficiency_63d,max_daily_move_126d,max_gap_126d,max_1d_share_of_abs_move_126d,directional_efficiency_126d,positive_days_126d,negative_days_126d,positive_day_ratio_126d,relative_max_daily_move_126d,relative_max_1d_share_of_abs_move_126d,relative_directional_efficiency_126d,volume_ratio_5d_vs_prev20d,volatility_ratio_20d_vs_prev120d,selection_bucket,selection_reason,anchor_horizon,drift_direction,trend_consistency,tail_percentile,tail_distance
1,MKTX,"MarketAxess Holdings, Inc.",Financial Services,4147098624.00000000,2026-07-24,116.69000244,0.02846821,-0.28677952,-0.32022603,-0.32980300,-0.39272452,XLF,-0.37384520,-0.36668579,0.04725805,0.02633699,0.04485749,0.31901867,26.00000000,37.00000000,0.41269841,0.04899431,0.04532555,0.38988819,0.05482655,0.03678877,0.02980243,0.20922477,60.00000000,66.00000000,0.47619048,0.05929133,0.02822366,0.20535726,0.66346132,0.93119088,global_tail,quiet_drift_sector_relative_63d_bottom;quiet_drift_sector_coverage_bottom,63d,down,same_direction,0.03365385,0.93269231
2,RLJ,RLJ Lodging Trust,Real Estate,1884337152.00000000,2026-07-24,12.34000015,0.09010605,0.55220131,0.60259746,0.50917784,0.53009897,XLRE,0.50693285,0.48567959,0.05029941,0.01981976,0.05678447,0.49968791,46.00000000,16.00000000,0.74193548,0.04703570,0.05140774,0.43215348,0.06796113,0.03606099,0.03523201,0.24562831,77.00000000,46.00000000,0.62601626,0.04864073,0.02645455,0.19636813,0.73359470,0.95115638,global_tail,quiet_drift_sector_relative_63d_top;quiet_drift_sector_coverage_top,63d,up,same_direction,0.96394231,0.92788462
3,CAKE,The Cheesecake Factory Incorpor,Consumer Cyclical,4209344000.00000000,2026-07-24,84.72000122,0.08379178,0.36910148,0.43837010,0.32607801,0.36587161,XLY,0.43985054,0.54610129,0.06946504,0.03781718,0.06411062,0.29146912,38.00000000,25.00000000,0.60317460,0.07562418,0.06242433,0.31988935,0.06946504,0.03781718,0.03103507,0.16280444,71.00000000,55.00000000,0.56349206,0.07562418,0.03335913,0.21063283,1.24602771,0.87831669,global_tail,quiet_drift_sector_relative_63d_top;quiet_drift_sector_coverage_top,63d,up,same_direction,0.95480769,0.90961538
4,DINO,HF Sinclair Corporation,Energy,15918321664.00000000,2026-07-24,88.30000305,0.34276156,0.48303664,0.78024205,0.44001317,0.70774356,XLE,0.43670461,0.56126844,0.06329457,0.05262419,0.04901052,0.30674018,38.00000000,25.00000000,0.60317460,0.04659570,0.04458927,0.33378152,0.10855659,0.17113220,0.04092511,0.21797647,74.00000000,52.00000000,0.58730159,0.13389480,0.06333212,0.17914374,1.04564353,0.85470664,global_tail,quiet_drift_sector_relative_63d_top;quiet_drift_sector_coverage_top,63d,up,same_direction,0.95432692,0.90865385
5,STN,Stantec Inc,Industrials,7694959104.00000000,2026-07-24,67.45999908,-0.02865368,-0.24448428,-0.33667649,-0.28750776,-0.40917498,XLI,-0.29383222,-0.44036231,0.06621332,0.02540746,0.06724573,0.28315170,27.00000000,36.00000000,0.42857143,0.07798405,0.07456632,0.31412580,0.11651668,0.04101496,0.05929887,0.20762124,57.00000000,69.00000000,0.45238095,0.11185708,0.06029141,0.27443267,0.64584548,0.73365580,sector_coverage,quiet_drift_sector_coverage_bottom,63d,down,same_direction,0.06826923,0.86346154
6,IPAR,"Interparfums, Inc.",Consumer Defensive,3924759552.00000000,2026-07-24,122.55000305,0.17553960,0.34448712,0.25191545,0.30146365,0.17941696,XLP,0.33670090,0.22930696,0.05423311,0.04721921,0.04756400,0.26038598,41.00000000,22.00000000,0.65079365,0.05020521,0.05120076,0.29397254,0.05423311,0.04721921,0.02723000,0.11294082,74.00000000,52.00000000,0.58730159,0.05020521,0.02696877,0.10867932,0.55405475,1.08283066,sector_coverage,quiet_drift_sector_coverage_top,63d,up,same_direction,0.93173077,0.86346154
7,MSGE,Madison Square Garden Entertain,Communication Services,3607497216.00000000,2026-07-24,76.26000214,-0.00326755,0.23598057,0.25966305,0.19295710,0.18716455,XLC,0.33045196,0.34525442,0.03412869,0.03241234,0.04362002,0.27157427,34.00000000,29.00000000,0.53968254,0.04936135,0.05569001,0.35098757,0.04232166,0.03241234,0.02470770,0.13509903,64.00000000,62.00000000,0.50793651,0.04936135,0.02943253,0.19099732,0.67913415,0.85607514,sector_coverage,quiet_drift_sector_coverage_top,63d,up,same_direction,0.92932692,0.85865385
8,REYN,Reynolds Consumer Products Inc.,Consumer Cyclical,5397752832.00000000,2026-07-24,25.61000061,-0.00466378,0.22653265,0.05608250,0.18350917,-0.01641600,XLY,0.29728171,0.16381369,0.05063290,0.05683415,0.06606890,0.26757942,34.00000000,28.00000000,0.54838710,0.05602543,0.07626751,0.37785333,0.09628613,0.05683415,0.06012575,0.03414030,62.00000000,63.00000000,0.49600000,0.09931138,0.05922936,0.10052577,0.72325040,0.76227538,sector_coverage,quiet_drift_sector_coverage_bottom,63d,up,same_direction,0.91634615,0.83269231
9,SBAC,SBA Communications Corporation,Real Estate,18409359360.00000000,2026-07-24,173.57000732,-0.06411085,-0.20960837,-0.06325213,-0.25263184,-0.13575062,XLRE,-0.25487683,-0.18017000,0.05733037,0.02172506,0.06114153,0.25020751,27.00000000,36.00000000,0.42857143,0.04425103,0.05535436,0.34963188,0.18932150,0.02172506,0.08791468,0.03056533,56.00000000,70.00000000,0.44444444,0.15739427,0.08855621,0.09897620,0.77979657,0.68900436,sector_coverage,quiet_drift_sector_coverage_bottom,63d,down,same_direction,0.09807692,0.80384615
10,MUFG,"Mitsubishi UFJ Financial Group,",Financial Services,258127609856.00000000,2026-07-24,22.88999939,0.15547703,0.32926831,0.27877094,0.28624484,0.20627245,XLF,0.24220263,0.23231118,0.03660188,0.03660188,0.04352473,0.33954853,41.00000000,22.00000000,0.65079365,0.03698348,0.04765329,0.25917784,0.04876709,0.06246551,0.02826183,0.14275491,71.00000000,55.00000000,0.56349206,0.04070079,0.02595690,0.12786021,0.85712192,1.01356350,sector_coverage,quiet_drift_sector_coverage_top,63d,up,same_direction,0.88701923,0.77403846
