rank,ticker,company_name,sector,market_cap,market_data_date,price,return_21d,return_63d,return_126d,spy_relative_63d,spy_relative_126d,sector_etf,sector_relative_63d,sector_relative_126d,max_daily_move_63d,max_gap_63d,max_1d_share_of_abs_move_63d,directional_efficiency_63d,positive_days_63d,negative_days_63d,positive_day_ratio_63d,relative_max_daily_move_63d,relative_max_1d_share_of_abs_move_63d,relative_directional_efficiency_63d,max_daily_move_126d,max_gap_126d,max_1d_share_of_abs_move_126d,directional_efficiency_126d,positive_days_126d,negative_days_126d,positive_day_ratio_126d,relative_max_daily_move_126d,relative_max_1d_share_of_abs_move_126d,relative_directional_efficiency_126d,volume_ratio_5d_vs_prev20d,volatility_ratio_20d_vs_prev120d,selection_bucket,selection_reason,anchor_horizon,drift_direction,trend_consistency,tail_percentile,tail_distance
1,GEF,Greif Inc.,Consumer Cyclical,4997521920.00000000,2026-08-21,87.91000366,0.14481056,0.37145095,0.17778677,0.34048369,0.06713017,XLY,0.37717968,0.17293364,0.04618520,0.03802781,0.05551258,0.38213350,41.00000000,22.00000000,0.65079365,0.05291521,0.05714607,0.34732933,0.04618520,0.03802781,0.02893294,0.10278176,66.00000000,60.00000000,0.52380952,0.05291521,0.03130581,0.09394704,0.73260099,1.05391955,sector_coverage,quiet_drift_sector_coverage_top,63d,up,same_direction,0.92134269,0.84268537
2,PK,Park Hotels & Resorts Inc.,Real Estate,3177118976.00000000,2026-08-21,15.77999973,0.08156268,0.37696332,0.40266664,0.34599607,0.29201004,XLRE,0.36392957,0.36777223,0.06347894,0.02337110,0.06870015,0.34833582,37.00000000,24.00000000,0.60655738,0.07804836,0.09298099,0.36565475,0.06347894,0.03018495,0.03370400,0.18031919,67.00000000,56.00000000,0.54471545,0.07804836,0.04492583,0.17503069,0.97621419,0.94076488,sector_coverage,quiet_drift_sector_coverage_top,63d,up,same_direction,0.91683367,0.83366733
3,USFD,US Foods Holding Corp.,Consumer Defensive,23714174976.00000000,2026-08-21,109.62000275,0.14689266,0.34933537,0.13349192,0.31836812,0.02283532,XLP,0.33362554,0.15510987,0.06448406,0.04816404,0.07108878,0.33190838,37.00000000,26.00000000,0.58730159,0.06507180,0.07789718,0.34000448,0.06448406,0.05486152,0.03835249,0.07459072,67.00000000,59.00000000,0.53174603,0.06507180,0.04239512,0.09587539,0.68502912,0.86892036,sector_coverage,quiet_drift_sector_coverage_top,63d,up,same_direction,0.90280561,0.80561122
4,PSX,Phillips 66,Energy,97375084544.00000000,2026-08-21,242.86999512,0.17339840,0.39540357,0.55935791,0.36443631,0.44870132,XLE,0.31913098,0.39973696,0.05693689,0.03265534,0.05665513,0.33346754,38.00000000,25.00000000,0.60317460,0.03739485,0.05315878,0.36914888,0.05693689,0.04579279,0.02709814,0.21218286,72.00000000,54.00000000,0.57142857,0.03739485,0.02797743,0.22159155,1.17736289,0.95249919,sector_coverage,quiet_drift_sector_coverage_top,63d,up,same_direction,0.89829659,0.79659319
5,JLL,Jones Lang LaSalle Incorporated,Real Estate,17822003200.00000000,2026-08-21,387.36999512,0.21288117,0.32235267,0.23366240,0.29138542,0.12300581,XLRE,0.30931892,0.19876800,0.06388236,0.02941176,0.06359841,0.28020566,32.00000000,31.00000000,0.50793651,0.07638924,0.09096789,0.31731660,0.07001223,0.03828679,0.03564916,0.10707490,68.00000000,58.00000000,0.53968254,0.07980190,0.04614069,0.10158106,0.96387284,0.91881699,sector_coverage,quiet_drift_sector_coverage_bottom,63d,up,same_direction,0.89478958,0.78957916
6,J,Jacobs Solutions Inc.,Industrials,17565155328.00000000,2026-08-21,150.08000183,0.13696971,0.31602947,0.08808823,0.28506221,-0.02256837,XLI,0.25903069,0.07104820,0.04568192,0.01989205,0.04914523,0.29664147,40.00000000,23.00000000,0.63492063,0.04289613,0.05185018,0.26493801,0.07272062,0.07272062,0.03691715,0.04284476,69.00000000,57.00000000,0.54761905,0.10103996,0.05674402,0.03792245,0.87838368,0.79636217,sector_coverage,quiet_drift_sector_coverage_top,63d,up,same_direction,0.87274549,0.74549098
