rank,ticker,company_name,sector,industry,exchange,market_cap,market_data_date,price,return_1d,return_5d,return_21d,return_63d,return_126d,spy_return_63d,spy_return_126d,spy_relative_21d,spy_relative_63d,spy_relative_126d,sector_etf,sector_etf_return_21d,sector_etf_return_63d,sector_etf_return_126d,sector_relative_21d,sector_relative_63d,sector_relative_126d,volume_ratio_5d_vs_prev20d,avg_dollar_volume_20d,volatility_ratio_20d_vs_prev120d,max_daily_move_21d,max_daily_move_date_21d,max_daily_move_signed_21d,max_1d_share_of_abs_move_21d,directional_efficiency_21d,post_max_move_return_5d,post_max_move_return_10d,max_gap_21d,distance_from_52w_high,distance_from_52w_low,trigger_conditions,trigger_count,selection_reason,signal_score,first_trigger_date,trigger_days_last_5,trigger_days_last_10,consecutive_trigger_days,rank_previous,rank_change,new_entry,persistent_signal
1,CRNX,"Crinetics Pharmaceuticals, Inc.",Healthcare,,NMS,8881054720.00000000,2026-07-16,83.91000366,0.00011921,0.00346808,1.38923708,1.10988189,0.54501936,0.07254903,0.08208765,1.39468207,1.03733286,0.46293171,XLV,0.05827722,0.09494484,0.03228274,1.33095986,1.01493705,0.51273662,0.74753152,606569373.98136139,6.67179746,0.98738999,2026-07-07,0.98738999,0.76560153,0.88547262,0.00215492,,0.98857969,0.00000000,2.12513976,spy_relative;sector_relative;volatility;single_day_move;gap,5,threshold_and_sector_coverage,66.74650000,2026-07-10,4,4,4,1.00000000,0.00000000,True,True
2,DFTX,"Definium Therapeutics, Inc.",Healthcare,,NMS,5853977600.00000000,2026-07-16,44.09999847,-0.03416560,-0.08978333,0.85527966,0.99097062,1.96570268,0.07254903,0.08208765,0.86072466,0.91842159,1.88361503,XLV,0.05827722,0.09494484,0.03228274,0.79700245,0.89602578,1.93341993,0.44043730,205280362.65899658,3.40037387,0.49795747,2026-06-22,0.49795747,0.41359760,0.56278687,0.26943009,0.21298069,0.57598050,-0.08978333,4.22511856,spy_relative;sector_relative;volatility;single_day_move;gap,5,threshold,38.33050000,2026-07-10,4,4,4,2.00000000,0.00000000,True,True
3,ATAI,AtaiBeckley Inc.,Healthcare,,NGM,2632391936.00000000,2026-07-16,7.15000010,0.33395521,0.34146345,0.86197923,0.78750002,0.94822887,0.07254903,0.08208765,0.86742423,0.71495099,0.86614122,XLV,0.05827722,0.09494484,0.03228274,0.80370202,0.69255519,0.91594612,4.06561401,113382229.35718060,2.04568902,0.33395521,2026-07-16,0.33395521,0.26214504,0.51634395,,,0.31809699,0.00000000,1.56272408,spy_relative;sector_relative;volume;volatility;single_day_move;gap,6,threshold,33.82660000,2026-07-10,4,4,4,62.00000000,59.00000000,True,True
4,TRAX,"First Tracks Biotherapeutics, I",Healthcare,,NMS,1263453056.00000000,2026-07-16,36.20999908,0.00221417,0.11759251,1.02516783,0.47494909,,0.07254903,0.08208765,1.03061283,0.40240006,,XLV,0.05827722,0.09494484,0.03228274,0.96689061,0.38000426,,1.16849033,25774975.05650520,,0.55994226,2026-07-09,0.55994226,0.35691916,0.49283790,0.11759251,,0.02861863,-0.00082789,1.36357701,spy_relative;sector_relative;single_day_move,3,threshold_and_sector_coverage,32.96800000,2026-07-10,4,4,4,4.00000000,0.00000000,True,True
5,QURE,uniQure N.V.,Healthcare,,NMS,2706169088.00000000,2026-07-16,39.36000061,-0.03999999,-0.11510789,0.41227124,1.28173917,0.83069770,0.07254903,0.08208765,0.41771623,1.20919014,0.74861005,XLV,0.05827722,0.09494484,0.03228274,0.35399402,1.18679433,0.79841496,0.37569598,143583759.61856842,2.21820544,0.78436459,2026-06-17,0.78436459,0.56371037,0.29053158,0.01951824,-0.13185213,0.61356056,-0.44241390,3.35880418,spy_relative;sector_relative;volatility;single_day_move;gap,5,threshold,31.09550000,2026-07-10,4,4,4,5.00000000,0.00000000,True,True
6,APGE,"Apogee Therapeutics, Inc.",Healthcare,,NGM,10140044288.00000000,2026-07-16,134.08000183,-0.00156372,0.00381818,0.55563288,0.50111960,0.69721521,0.07254903,0.08208765,0.56107788,0.42857057,0.61512756,XLV,0.05827722,0.09494484,0.03228274,0.49735566,0.40617476,0.66493247,0.16898578,802060969.60247040,2.84696175,0.46658561,2026-06-22,0.46658561,0.83166354,0.92735012,0.00045264,0.00746881,0.46713886,-0.00156372,2.86955255,spy_relative;sector_relative;volatility;single_day_move;gap,5,threshold,28.46730000,2026-07-10,4,4,4,6.00000000,0.00000000,True,True
7,CDNA,"CareDx, Inc.",Healthcare,,NGM,2083943424.00000000,2026-07-16,40.34000015,0.35596639,0.38577806,0.67524918,1.29595907,0.99801878,0.07254903,0.08208765,0.68069418,1.22341004,0.91593113,XLV,0.05827722,0.09494484,0.03228274,0.61697196,1.20101423,0.96573603,1.44254812,34918517.08585739,2.00802619,0.35596639,2026-07-16,0.35596639,0.37430914,0.57988368,,,0.22352946,0.00000000,2.48660339,spy_relative;sector_relative;volatility;single_day_move;gap,5,threshold,25.83800000,2026-07-15,2,2,2,145.00000000,138.00000000,True,False
8,MAN,ManpowerGroup,Industrials,,NYQ,2402104320.00000000,2026-07-16,51.65000153,0.32368019,0.37843608,0.54872575,0.68076805,0.74434314,0.07254903,0.08208765,0.55417075,0.60821902,0.66225549,XLI,0.00822701,0.05240099,0.09840863,0.54049875,0.62836706,0.64593451,1.46198929,64073312.15864182,2.29452214,0.32368019,2026-07-16,0.32368019,0.32312611,0.45907172,,,0.19887233,0.00000000,1.00582530,spy_relative;sector_relative;volatility;single_day_move;gap,5,threshold_and_sector_coverage,22.67810000,2026-07-16,1,1,1,,,True,False
9,ABVX,Abivax SA,Healthcare,,NGM,12008126464.00000000,2026-07-16,137.77000427,0.00606106,-0.02110275,0.40209649,0.13409615,0.15153799,0.07254903,0.08208765,0.40754149,0.06154712,0.06945034,XLV,0.05827722,0.09494484,0.03228274,0.34381927,0.03915132,0.11925524,0.41735786,289512092.31750488,1.55624349,0.38595936,2026-06-30,0.38595936,0.46110850,0.43632529,0.03962178,0.02761525,0.36136248,-0.05188902,12.84623185,spy_relative;sector_relative;volatility;single_day_move;gap,5,threshold,21.10550000,2026-07-10,4,4,4,7.00000000,-2.00000000,True,True
10,GRPN,"Groupon, Inc.",Communication Services,,NMS,1085582208.00000000,2026-07-16,28.57999992,0.10007700,0.07403229,0.63782227,1.21207428,0.77075595,0.07254903,0.08208765,0.64326727,1.13952525,0.68866830,XLC,0.00410018,-0.04013292,-0.03627340,0.63372209,1.25220720,0.80702935,0.97303177,42159960.47939301,1.49352776,0.24890827,2026-06-25,0.24890827,0.23140264,0.47515885,0.11800703,0.13854896,0.02285957,-0.22526429,1.96473018,spy_relative;sector_relative;single_day_move,3,threshold_and_sector_coverage,19.51820000,2026-07-16,1,1,1,,,True,False
