rank,ticker,company_name,sector,market_cap,market_data_date,price,return_21d,return_63d,return_126d,spy_relative_63d,spy_relative_126d,sector_etf,sector_relative_63d,sector_relative_126d,max_daily_move_63d,max_gap_63d,max_1d_share_of_abs_move_63d,directional_efficiency_63d,positive_days_63d,negative_days_63d,positive_day_ratio_63d,relative_max_daily_move_63d,relative_max_1d_share_of_abs_move_63d,relative_directional_efficiency_63d,max_daily_move_126d,max_gap_126d,max_1d_share_of_abs_move_126d,directional_efficiency_126d,positive_days_126d,negative_days_126d,positive_day_ratio_126d,relative_max_daily_move_126d,relative_max_1d_share_of_abs_move_126d,relative_directional_efficiency_126d,volume_ratio_5d_vs_prev20d,volatility_ratio_20d_vs_prev120d,selection_bucket,selection_reason,anchor_horizon,drift_direction,trend_consistency,tail_percentile,tail_distance
1,RLJ,RLJ Lodging Trust,Real Estate,1898080384.00000000,2026-08-04,12.43000031,0.06878763,0.48862272,0.66845646,0.41436191,0.55928339,XLRE,0.46389504,0.56567328,0.05029941,0.01981976,0.05757385,0.45834935,43.00000000,19.00000000,0.69354839,0.04703570,0.05421746,0.43044168,0.06796113,0.03606099,0.03628612,0.27464268,78.00000000,45.00000000,0.63414634,0.04864073,0.02713681,0.23100634,0.98710497,0.71126368,global_tail,quiet_drift_sector_relative_63d_top;quiet_drift_sector_coverage_top,63d,up,same_direction,0.95641528,0.91283056
2,WSM,"Williams-Sonoma, Inc.",Consumer Cyclical,29304776704.00000000,2026-08-04,248.88000488,0.11191531,0.41658604,0.16282767,0.34232523,0.05365460,XLY,0.41174405,0.19299903,0.06485438,0.02397831,0.05415514,0.29306664,35.00000000,28.00000000,0.55555556,0.05641483,0.05217018,0.31758063,0.06485438,0.04090480,0.02874166,0.06705914,62.00000000,64.00000000,0.49206349,0.05641483,0.02964883,0.09538241,0.94005721,0.96456767,sector_coverage,quiet_drift_sector_coverage_top,63d,up,same_direction,0.94760039,0.89520078
3,IPAR,"Interparfums, Inc.",Consumer Defensive,4116914176.00000000,2026-08-04,128.55000305,0.06178247,0.43263121,0.30986350,0.35837039,0.20069043,XLP,0.41072551,0.29956761,0.05423311,0.04721921,0.04628076,0.30796588,40.00000000,23.00000000,0.63492063,0.05020521,0.05152647,0.34673467,0.05423311,0.04721921,0.02692100,0.13419256,74.00000000,52.00000000,0.58730159,0.05020521,0.02681707,0.13870770,0.84069264,0.99536073,sector_coverage,quiet_drift_sector_coverage_top,63d,up,same_direction,0.94662096,0.89324192
4,AXTA,Axalta Coating Systems Ltd.,Basic Materials,8049292288.00000000,2026-08-04,37.61000061,0.07426456,0.40914200,0.12101346,0.33488118,0.01184038,XLB,0.38248852,0.07368217,0.05117818,0.06111929,0.04555646,0.30663491,38.00000000,25.00000000,0.60317460,0.03863496,0.04344670,0.35611659,0.09682360,0.10715657,0.04098851,0.04849540,61.00000000,65.00000000,0.48412698,0.05982632,0.03248291,0.03691424,1.04704287,1.10892644,sector_coverage,quiet_drift_sector_coverage_top,63d,up,same_direction,0.93780607,0.87561214
5,AGM,Federal Agricultural Mortgage C,Financial Services,2623655168.00000000,2026-08-04,241.74000549,0.20346498,0.41758053,0.41999529,0.34331971,0.31082221,XLF,0.29544018,0.34873853,0.05171095,0.03917566,0.05492240,0.37271982,41.00000000,22.00000000,0.65079365,0.05323045,0.06151663,0.27009498,0.14123183,0.07073086,0.07239843,0.17935519,77.00000000,49.00000000,0.61111111,0.15875477,0.08981737,0.15944356,1.30784773,0.85151655,sector_coverage,quiet_drift_sector_coverage_top,63d,up,same_direction,0.90499510,0.80999021
6,REYN,Reynolds Consumer Products Inc.,Consumer Cyclical,5545289728.00000000,2026-08-04,26.30999947,-0.00566892,0.27101442,0.13846814,0.19675361,0.02929507,XLY,0.26617242,0.16863950,0.05063290,0.05683415,0.06349836,0.30229209,34.00000000,28.00000000,0.54838710,0.05602543,0.06829616,0.28645164,0.09628613,0.05683415,0.05997771,0.08100476,63.00000000,62.00000000,0.50400000,0.09931138,0.05803656,0.09368908,1.17036746,0.86721722,sector_coverage,quiet_drift_sector_coverage_bottom,63d,up,same_direction,0.88981391,0.77962782
7,GE,GE Aerospace,Industrials,391451574272.00000000,2026-08-04,377.27999878,-0.00369704,0.34493089,0.22211788,0.27067008,0.11294480,XLI,0.25474491,0.10948136,0.06679920,0.04796289,0.06344174,0.28274966,43.00000000,20.00000000,0.68253968,0.04191733,0.05532889,0.27718256,0.06742894,0.07387390,0.02993330,0.08913653,70.00000000,56.00000000,0.55555556,0.04612596,0.03049171,0.06204174,0.86659369,0.83435675,sector_coverage,quiet_drift_sector_coverage_top,63d,up,same_direction,0.88295788,0.76591577
8,CON,Concentra Group Holdings Parent,Healthcare,3982170624.00000000,2026-08-04,31.12000084,-0.02261304,0.37273934,0.40496620,0.29847852,0.29579313,XLV,0.25272268,0.36379462,0.03704905,0.02838983,0.04489804,0.38600457,38.00000000,24.00000000,0.61290323,0.03829707,0.04813421,0.25572748,0.03903506,0.03113012,0.02413477,0.21085936,69.00000000,54.00000000,0.56097561,0.03962662,0.02595753,0.19629751,0.71246496,0.92617384,sector_coverage,quiet_drift_sector_coverage_top,63d,up,same_direction,0.88148874,0.76297747
9,LXP,LXP Industrial Trust,Real Estate,3569862400.00000000,2026-08-04,60.54999924,0.08824586,0.19616753,0.21855506,0.12190672,0.10938199,XLRE,0.17143985,0.11577188,0.03999317,0.03862591,0.06094492,0.27378932,35.00000000,27.00000000,0.56451613,0.04340607,0.09547560,0.34026755,0.06419708,0.03862591,0.04428891,0.13648995,65.00000000,58.00000000,0.52845528,0.06798455,0.05807043,0.08527073,1.01427699,0.91074521,sector_coverage,quiet_drift_sector_coverage_bottom,63d,up,same_direction,0.81390793,0.62781587
10,PRU,"Prudential Financial, Inc.",Financial Services,42908545024.00000000,2026-08-04,123.54000092,0.08102907,0.26513056,0.10580021,0.19086974,-0.00337286,XLF,0.14299021,0.03454346,0.02909292,0.01691333,0.04142022,0.33590775,40.00000000,23.00000000,0.63492063,0.02628302,0.05499504,0.25095918,0.05994154,0.03996100,0.03964463,0.06643213,73.00000000,53.00000000,0.57936508,0.05587239,0.05051946,0.02869617,1.26442141,0.78837031,sector_coverage,quiet_drift_sector_coverage_bottom,63d,up,same_direction,0.77766895,0.55533790
