rank,ticker,company_name,sector,market_cap,market_data_date,price,return_21d,return_63d,return_126d,spy_relative_63d,spy_relative_126d,sector_etf,sector_relative_63d,sector_relative_126d,max_daily_move_63d,max_gap_63d,max_1d_share_of_abs_move_63d,directional_efficiency_63d,positive_days_63d,negative_days_63d,positive_day_ratio_63d,relative_max_daily_move_63d,relative_max_1d_share_of_abs_move_63d,relative_directional_efficiency_63d,max_daily_move_126d,max_gap_126d,max_1d_share_of_abs_move_126d,directional_efficiency_126d,positive_days_126d,negative_days_126d,positive_day_ratio_126d,relative_max_daily_move_126d,relative_max_1d_share_of_abs_move_126d,relative_directional_efficiency_126d,volume_ratio_5d_vs_prev20d,volatility_ratio_20d_vs_prev120d,selection_bucket,selection_reason,anchor_horizon,drift_direction,trend_consistency,tail_percentile,tail_distance
1,CHEF,"The Chefs' Warehouse, Inc.",Consumer Defensive,4628315648.00000000,2026-08-24,113.44999695,0.19597297,0.48378235,0.59496698,0.45987006,0.47614936,XLP,0.45253242,0.61205144,0.06238762,0.02284457,0.05661784,0.36080877,39.00000000,24.00000000,0.61904762,0.08239091,0.07381791,0.32596610,0.17839352,0.04777174,0.07824726,0.20655409,71.00000000,55.00000000,0.56349206,0.16607984,0.07279128,0.21217009,0.63527632,0.97511587,sector_coverage,quiet_drift_sector_coverage_top,63d,up,same_direction,0.94041062,0.88082123
2,LTH,"Life Time Group Holdings, Inc.",Consumer Cyclical,10218914816.00000000,2026-08-24,45.72999954,0.08032123,0.42594325,0.60964448,0.40203096,0.49082687,XLY,0.43332701,0.58085933,0.06736045,0.02782804,0.06326096,0.33490714,41.00000000,22.00000000,0.65079365,0.05083211,0.04435665,0.31609869,0.14329480,0.04400609,0.06059034,0.20305998,68.00000000,58.00000000,0.53968254,0.11878409,0.04910342,0.18504492,0.69120894,0.78932007,sector_coverage,quiet_drift_sector_coverage_top,63d,up,same_direction,0.93590386,0.87180771
3,PK,Park Hotels & Resorts Inc.,Real Estate,3193225984.00000000,2026-08-24,15.85999966,0.07598371,0.37793218,0.42882875,0.35401989,0.31001113,XLRE,0.36065209,0.38938823,0.06347894,0.02337110,0.06864765,0.34883457,37.00000000,24.00000000,0.60655738,0.07804836,0.09326238,0.36260348,0.06347894,0.03018495,0.03385253,0.19101868,68.00000000,55.00000000,0.55284553,0.07804836,0.04529336,0.18464319,0.98442679,0.91852774,sector_coverage,quiet_drift_sector_coverage_top,63d,up,same_direction,0.91587381,0.83174762
4,GEF,Greif Inc.,Consumer Cyclical,4888373248.00000000,2026-08-24,85.98999786,0.09374198,0.33753300,0.17104722,0.31362072,0.05222960,XLY,0.34491677,0.14226206,0.04618520,0.03802781,0.05428102,0.34388207,40.00000000,23.00000000,0.63492063,0.05291521,0.05573891,0.31415287,0.04618520,0.03802781,0.02883126,0.09882107,66.00000000,60.00000000,0.52380952,0.05291521,0.03094644,0.07574713,0.91265322,1.08763354,sector_coverage,quiet_drift_sector_coverage_bottom,63d,up,same_direction,0.91086630,0.82173260
5,USFD,US Foods Holding Corp.,Consumer Defensive,23660091392.00000000,2026-08-24,109.37000275,0.12555320,0.35914007,0.13773022,0.33522778,0.01891260,XLP,0.32789014,0.15481468,0.06448406,0.04816404,0.07165736,0.34267728,37.00000000,26.00000000,0.58730159,0.06507180,0.07716340,0.32738170,0.06448406,0.05486152,0.03843746,0.07698345,67.00000000,59.00000000,0.53174603,0.06507180,0.04237053,0.09523977,0.68155939,0.85219196,sector_coverage,quiet_drift_sector_coverage_bottom,63d,up,same_direction,0.90235353,0.80470706
6,PSX,Phillips 66,Energy,97010237440.00000000,2026-08-24,241.96000671,0.17018911,0.36169736,0.56254438,0.33778507,0.44372676,XLE,0.30084681,0.41821076,0.05693689,0.03265534,0.05763972,0.31432548,37.00000000,26.00000000,0.58730159,0.03739485,0.05392683,0.36003422,0.05693689,0.04579279,0.02712437,0.21336582,72.00000000,54.00000000,0.57142857,0.03739485,0.02810557,0.23411486,1.05548697,0.96205991,sector_coverage,quiet_drift_sector_coverage_top,63d,up,same_direction,0.89133701,0.78267401
7,J,Jacobs Solutions Inc.,Industrials,17744224256.00000000,2026-08-24,151.61000061,0.12670930,0.32191122,0.15030347,0.29799893,0.03148585,XLI,0.27982007,0.12645174,0.04568192,0.01989205,0.04890873,0.30001328,40.00000000,23.00000000,0.63492063,0.04289613,0.05089417,0.28219645,0.07272062,0.07272062,0.03757037,0.07236087,70.00000000,56.00000000,0.55555556,0.10103996,0.05721716,0.06594590,0.91498931,0.79819317,sector_coverage,quiet_drift_sector_coverage_top,63d,up,same_direction,0.88232349,0.76464697
8,AWR,American States Water Company,Utilities,3610805248.00000000,2026-08-24,91.09999847,0.05427606,0.18867431,0.23945576,0.16476203,0.12063814,XLU,0.23564228,0.31357742,0.03899330,0.01683542,0.05930486,0.26366581,38.00000000,25.00000000,0.60317460,0.03273896,0.05496993,0.37097554,0.05071094,0.01832805,0.03778544,0.16013113,75.00000000,51.00000000,0.59523810,0.05898387,0.04672394,0.23105744,0.71734526,0.87125737,sector_coverage,quiet_drift_sector_coverage_top,63d,up,same_direction,0.85728593,0.71457186
9,CDP,COPT Defense Properties,Real Estate,4339533312.00000000,2026-08-24,37.45999908,-0.01498816,0.16588851,0.14767156,0.14197623,0.02885394,XLRE,0.14860843,0.10823104,0.03771283,0.01643491,0.06340215,0.25889394,37.00000000,26.00000000,0.58730159,0.03015455,0.06353837,0.28730391,0.03771283,0.03001241,0.03438683,0.12578032,66.00000000,60.00000000,0.52380952,0.03032666,0.03089515,0.10090934,0.76510298,0.69421637,sector_coverage,quiet_drift_sector_coverage_bottom,63d,up,same_direction,0.77516274,0.55032549
