rank,ticker,company_name,sector,market_cap,market_data_date,price,return_21d,return_63d,return_126d,spy_relative_63d,spy_relative_126d,sector_etf,sector_relative_63d,sector_relative_126d,max_daily_move_63d,max_gap_63d,max_1d_share_of_abs_move_63d,directional_efficiency_63d,positive_days_63d,negative_days_63d,positive_day_ratio_63d,relative_max_daily_move_63d,relative_max_1d_share_of_abs_move_63d,relative_directional_efficiency_63d,max_daily_move_126d,max_gap_126d,max_1d_share_of_abs_move_126d,directional_efficiency_126d,positive_days_126d,negative_days_126d,positive_day_ratio_126d,relative_max_daily_move_126d,relative_max_1d_share_of_abs_move_126d,relative_directional_efficiency_126d,volume_ratio_5d_vs_prev20d,volatility_ratio_20d_vs_prev120d,selection_bucket,selection_reason,anchor_horizon,drift_direction,trend_consistency,tail_percentile,tail_distance
1,MKTX,"MarketAxess Holdings, Inc.",Financial Services,4044389632.00000000,2026-07-17,113.80000305,-0.08821404,-0.34409220,-0.34135893,-0.40342294,-0.41802907,XLF,-0.42539144,-0.38032471,0.04725805,0.02633699,0.04492330,0.39838765,23.00000000,40.00000000,0.36507937,0.04899431,0.04473630,0.45645311,0.05482655,0.03678877,0.03025643,0.22975501,58.00000000,68.00000000,0.46031746,0.05929133,0.02878850,0.22131167,0.53062036,1.18218048,global_tail,quiet_drift_sector_relative_63d_bottom;quiet_drift_sector_coverage_bottom,63d,down,same_direction,0.02390999,0.95218003
2,DINO,HF Sinclair Corporation,Energy,15970600960.00000000,2026-07-17,88.58999634,0.33057966,0.47379796,0.75182909,0.41446722,0.67515895,XLE,0.45435649,0.55166266,0.06329457,0.05262419,0.04819101,0.29662177,39.00000000,24.00000000,0.61904762,0.04659570,0.04495039,0.35557279,0.10855659,0.17113220,0.04055626,0.20999870,73.00000000,53.00000000,0.57936508,0.13389480,0.06366814,0.17983749,1.23120882,0.85090817,sector_coverage,quiet_drift_sector_coverage_top,63d,up,same_direction,0.94889827,0.89779653
3,RLJ,RLJ Lodging Trust,Real Estate,1818675456.00000000,2026-07-17,11.90999985,0.05772643,0.48874998,0.57748338,0.42941924,0.50081325,XLRE,0.45200045,0.48011690,0.05029941,0.01981976,0.05708320,0.45440877,45.00000000,17.00000000,0.72580645,0.04703570,0.05307011,0.40826932,0.06796113,0.03606099,0.03512781,0.23672631,76.00000000,47.00000000,0.61788618,0.04864073,0.02661490,0.19857876,0.76663738,0.92779587,sector_coverage,quiet_drift_sector_coverage_top,63d,up,same_direction,0.94749180,0.89498359
4,CAKE,The Cheesecake Factory Incorpor,Consumer Cyclical,4261513472.00000000,2026-07-17,85.76999664,0.17060189,0.42380469,0.42569809,0.36447395,0.34902795,XLY,0.44242234,0.48140359,0.06946504,0.03781718,0.06124772,0.31336218,37.00000000,26.00000000,0.58730159,0.07562418,0.06272855,0.30866995,0.06946504,0.03781718,0.03014920,0.15430268,70.00000000,56.00000000,0.55555556,0.07562418,0.03324843,0.18112791,0.97986282,0.84988305,sector_coverage,quiet_drift_sector_coverage_top,63d,up,same_direction,0.94655415,0.89310830
5,ENVA,"Enova International, Inc.",Financial Services,5786235904.00000000,2026-07-17,232.52000427,0.19979360,0.48946258,0.45415893,0.43013184,0.37748880,XLF,0.40816334,0.41519316,0.05638771,0.02536677,0.04414499,0.31363846,38.00000000,25.00000000,0.60317460,0.04491231,0.03779856,0.26952668,0.07715953,0.04807556,0.03126822,0.15195294,72.00000000,54.00000000,0.57142857,0.07100169,0.03435376,0.16266937,0.71393009,1.04073368,sector_coverage,quiet_drift_sector_coverage_top,63d,up,same_direction,0.94139709,0.88279419
6,MPC,Marathon Petroleum Corporation,Energy,91259396096.00000000,2026-07-17,312.60000610,0.24805368,0.38171852,0.72621355,0.32238778,0.64954342,XLE,0.36227705,0.52604712,0.05654298,0.03973659,0.04669836,0.26774444,38.00000000,25.00000000,0.60317460,0.04101623,0.05522549,0.40941326,0.06031314,0.05341863,0.02597788,0.23601314,69.00000000,56.00000000,0.55200000,0.04648533,0.02820665,0.22054860,0.88112416,0.82245695,sector_coverage,quiet_drift_sector_coverage_bottom,63d,up,same_direction,0.92920769,0.85841538
7,CON,Concentra Group Holdings Parent,Healthcare,4044871936.00000000,2026-07-17,31.61000061,0.11068172,0.41558445,0.54723447,0.35625371,0.47056433,XLV,0.31681905,0.52677332,0.03704905,0.02838983,0.04586450,0.43289835,37.00000000,25.00000000,0.59677419,0.03829707,0.04760705,0.31494569,0.05628975,0.03113012,0.03369075,0.26238512,67.00000000,56.00000000,0.54471545,0.06048006,0.03771074,0.25951954,0.77369154,0.95646556,sector_coverage,quiet_drift_sector_coverage_top,126d,up,same_direction,0.92442135,0.84884270
8,PAG,"Penske Automotive Group, Inc.",Consumer Cyclical,13324744704.00000000,2026-07-17,202.66000366,0.12115518,0.29893602,0.23996574,0.23960528,0.16329561,XLY,0.31755368,0.29567124,0.06258125,0.03837819,0.06645442,0.27906780,34.00000000,29.00000000,0.53968254,0.06215506,0.06710610,0.30266937,0.06258125,0.03837819,0.03562320,0.12280952,63.00000000,63.00000000,0.50000000,0.06215506,0.03527513,0.15459690,1.14483826,1.02016247,sector_coverage,quiet_drift_sector_coverage_bottom,63d,up,same_direction,0.91608064,0.83216128
9,NOC,Northrop Grumman Corporation,Industrials,74080395264.00000000,2026-07-17,521.57000732,-0.05377263,-0.22474249,-0.20144227,-0.28407323,-0.27811240,XLI,-0.27805079,-0.29360760,0.06978900,0.02584551,0.07871485,0.28567427,24.00000000,39.00000000,0.38095238,0.06074924,0.05606267,0.28285103,0.06978900,0.02846572,0.04028352,0.12961530,56.00000000,70.00000000,0.44444444,0.06074924,0.03063173,0.15788035,0.85931509,1.19621125,sector_coverage,quiet_drift_sector_coverage_bottom,63d,down,same_direction,0.08438819,0.83122363
10,MSGE,Madison Square Garden Entertain,Communication Services,3559718656.00000000,2026-07-17,75.25000000,-0.00092936,0.23098313,0.24052094,0.17165239,0.16385081,XLC,0.29982097,0.29187552,0.03412869,0.03241234,0.04425539,0.27025445,36.00000000,27.00000000,0.57142857,0.04936135,0.05749065,0.32510559,0.04232166,0.03241234,0.02471513,0.12616200,65.00000000,61.00000000,0.51587302,0.04936135,0.03012255,0.16369936,0.59841911,0.91524599,sector_coverage,quiet_drift_sector_coverage_top,63d,up,same_direction,0.91045476,0.82090952
