rank,ticker,company_name,sector,market_cap,market_data_date,price,return_21d,return_63d,return_126d,spy_relative_63d,spy_relative_126d,sector_etf,sector_relative_63d,sector_relative_126d,max_daily_move_63d,max_gap_63d,max_1d_share_of_abs_move_63d,directional_efficiency_63d,positive_days_63d,negative_days_63d,positive_day_ratio_63d,relative_max_daily_move_63d,relative_max_1d_share_of_abs_move_63d,relative_directional_efficiency_63d,max_daily_move_126d,max_gap_126d,max_1d_share_of_abs_move_126d,directional_efficiency_126d,positive_days_126d,negative_days_126d,positive_day_ratio_126d,relative_max_daily_move_126d,relative_max_1d_share_of_abs_move_126d,relative_directional_efficiency_126d,volume_ratio_5d_vs_prev20d,volatility_ratio_20d_vs_prev120d,selection_bucket,selection_reason,anchor_horizon,drift_direction,trend_consistency,tail_percentile,tail_distance
1,PK,Park Hotels & Resorts Inc.,Real Estate,3187185920.00000000,2026-08-19,15.82999992,0.06671157,0.42741206,0.38012202,0.37926080,0.25951699,XLRE,0.39906916,0.35622573,0.06347894,0.02337110,0.06705238,0.37829889,39.00000000,22.00000000,0.63934426,0.07804836,0.09013339,0.37868876,0.06347894,0.03018495,0.03384345,0.17236120,67.00000000,56.00000000,0.54471545,0.07804836,0.04437294,0.16973883,0.94804935,0.97322993,sector_coverage,quiet_drift_sector_coverage_top,63d,up,same_direction,0.92315175,0.84630350
2,GEF,Greif Inc.,Consumer Cyclical,4978761728.00000000,2026-08-19,87.58000183,0.15708811,0.42824531,0.16540253,0.38009406,0.04479750,XLY,0.39729688,0.15198602,0.04618520,0.03802781,0.05455313,0.42396990,42.00000000,21.00000000,0.66666667,0.05291521,0.05687868,0.35038319,0.04618520,0.03802781,0.02924033,0.09716009,66.00000000,60.00000000,0.52380952,0.05291521,0.03127069,0.08258009,0.60625930,1.03031721,sector_coverage,quiet_drift_sector_coverage_top,63d,up,same_direction,0.92266537,0.84533074
3,WSM,"Williams-Sonoma, Inc.",Consumer Cyclical,28531179520.00000000,2026-08-19,242.30999756,0.09578073,0.41074759,0.13250136,0.36259633,0.01189633,XLY,0.37979916,0.11908485,0.06485438,0.02397831,0.05990926,0.32066240,33.00000000,30.00000000,0.52380952,0.05641483,0.05749944,0.31967055,0.06485438,0.04090480,0.03018002,0.05806909,61.00000000,65.00000000,0.48412698,0.05641483,0.03109586,0.06123915,0.83385303,0.91324471,sector_coverage,quiet_drift_sector_coverage_bottom,63d,up,same_direction,0.91634241,0.83268482
