rank,ticker,company_name,sector,market_cap,market_data_date,price,return_21d,return_63d,return_126d,spy_relative_63d,spy_relative_126d,sector_etf,sector_relative_63d,sector_relative_126d,max_daily_move_63d,max_gap_63d,max_1d_share_of_abs_move_63d,directional_efficiency_63d,positive_days_63d,negative_days_63d,positive_day_ratio_63d,relative_max_daily_move_63d,relative_max_1d_share_of_abs_move_63d,relative_directional_efficiency_63d,max_daily_move_126d,max_gap_126d,max_1d_share_of_abs_move_126d,directional_efficiency_126d,positive_days_126d,negative_days_126d,positive_day_ratio_126d,relative_max_daily_move_126d,relative_max_1d_share_of_abs_move_126d,relative_directional_efficiency_126d,volume_ratio_5d_vs_prev20d,volatility_ratio_20d_vs_prev120d,selection_bucket,selection_reason,anchor_horizon,drift_direction,trend_consistency,tail_percentile,tail_distance
1,STLA,Stellantis N.V.,Consumer Cyclical,20230529024.00000000,2026-08-13,5.36999989,-0.08983054,-0.29342106,-0.29527559,-0.34133905,-0.41944459,XLY,-0.29114676,-0.30113493,0.06676133,0.05967982,0.05039000,0.26066634,26.00000000,36.00000000,0.41935484,0.05777834,0.04655482,0.27801833,0.06676133,0.07681937,0.02440247,0.12765973,53.00000000,71.00000000,0.42741935,0.06893029,0.02906858,0.15004043,0.88069168,0.58990724,sector_coverage,quiet_drift_sector_coverage_bottom,63d,down,same_direction,0.05725376,0.88549248
2,HAE,Haemonetics Corporation,Healthcare,4112023552.00000000,2026-08-13,90.37999725,0.17866454,0.58533590,0.57182604,0.53741791,0.44765704,XLV,0.43762956,0.49419401,0.06518457,0.04116886,0.05639971,0.40277317,35.00000000,28.00000000,0.55555556,0.05162659,0.04435088,0.27750627,0.06648665,0.08372895,0.02975231,0.20324889,68.00000000,58.00000000,0.53968254,0.06583331,0.02998020,0.17189903,0.91961469,0.76948773,sector_coverage,quiet_drift_sector_coverage_top,63d,up,same_direction,0.93158661,0.86317322
3,WSM,"Williams-Sonoma, Inc.",Consumer Cyclical,28546488320.00000000,2026-08-13,242.44000244,0.08795551,0.40904339,0.13736160,0.36112540,0.01319260,XLY,0.41131769,0.13150227,0.06485438,0.02397831,0.05775645,0.30788557,34.00000000,29.00000000,0.53968254,0.05641483,0.05632473,0.34463663,0.06485438,0.04090480,0.02917231,0.05806179,61.00000000,65.00000000,0.48412698,0.05641483,0.03051200,0.06645377,0.85493407,0.95180865,sector_coverage,quiet_drift_sector_coverage_top,63d,up,same_direction,0.92479379,0.84958758
4,PK,Park Hotels & Resorts Inc.,Real Estate,3026115072.00000000,2026-08-13,15.02999973,0.03798344,0.37010022,0.27697529,0.32218222,0.15280629,XLRE,0.35798723,0.22375403,0.06347894,0.02337110,0.06729526,0.33580643,38.00000000,23.00000000,0.62295082,0.07804836,0.09143795,0.35479804,0.06347894,0.03018495,0.03378177,0.13050054,65.00000000,58.00000000,0.52845528,0.07804836,0.04377705,0.10805161,1.03281416,0.89190465,sector_coverage,quiet_drift_sector_coverage_top,63d,up,same_direction,0.90587094,0.81174187
5,MMSI,"Merit Medical Systems, Inc.",Healthcare,5403792896.00000000,2026-08-13,90.50000000,0.23904708,0.44522519,0.11329806,0.39730720,-0.01087094,XLV,0.29751885,0.03566602,0.03940642,0.05146972,0.03920482,0.36814179,40.00000000,22.00000000,0.64516129,0.04707397,0.05594089,0.27391694,0.09049578,0.05146972,0.04450263,0.05277240,63.00000000,61.00000000,0.50806452,0.08915408,0.04994466,0.01824074,1.04572554,0.75263938,sector_coverage,quiet_drift_sector_coverage_bottom,63d,up,same_direction,0.88112567,0.76225133
6,J,Jacobs Solutions Inc.,Industrials,16993019904.00000000,2026-08-13,143.91000366,0.10990282,0.34156808,0.01088791,0.29365009,-0.11328109,XLI,0.27147248,-0.05174076,0.05117932,0.01989205,0.05235055,0.30200356,40.00000000,23.00000000,0.63492063,0.04479966,0.05375859,0.27130433,0.07614496,0.07272062,0.03664603,0.00520340,68.00000000,58.00000000,0.53968254,0.10103996,0.05429004,0.02682084,0.85576114,0.78687969,sector_coverage,quiet_drift_sector_coverage_top,63d,up,recent_regime_change,0.86851043,0.73702086
7,BAC,Bank of America Corporation,Financial Services,448165216256.00000000,2026-08-13,64.08999634,0.04059094,0.28591485,0.19015781,0.23799685,0.06598881,XLF,0.14333795,0.08549349,0.03377856,0.01393129,0.05585173,0.41720545,39.00000000,23.00000000,0.62903226,0.01818092,0.04433335,0.28818701,0.04722748,0.03301511,0.03429960,0.12642013,74.00000000,50.00000000,0.59677419,0.02778760,0.03362009,0.09019092,0.71468563,0.67785711,sector_coverage,quiet_drift_sector_coverage_top,63d,up,same_direction,0.75351771,0.50703542
