rank,ticker,company_name,sector,industry,exchange,market_cap,market_data_date,price,return_1d,return_5d,return_21d,spy_relative_21d,sector_etf,sector_etf_return_21d,sector_relative_21d,volume_ratio_5d_vs_prev20d,avg_dollar_volume_20d,volatility_ratio_20d_vs_prev120d,max_daily_move_21d,max_gap_21d,distance_from_52w_high,distance_from_52w_low,trigger_conditions,trigger_count,selection_reason,signal_score,first_trigger_date,trigger_days_last_5,trigger_days_last_10,consecutive_trigger_days,rank_previous,rank_change,new_entry,persistent_signal
46,PSNL,"Personalis, Inc.",Healthcare,,NGM,1575005312.00000000,2026-07-10,14.06999969,-0.03959044,0.03303963,0.44307689,0.41879085,XLV,0.04056407,0.40251282,1.15081016,49380451.79701805,0.81615205,0.12922457,0.04066730,-0.03959044,2.19409739,spy_relative;sector_relative;single_day_move,3,threshold,12.11240000,2026-07-10,2,2,2,62.00000000,16.00000000,True,False
47,FLNC,"Fluence Energy, Inc.",Utilities,,NMS,2794149888.00000000,2026-07-10,16.15999985,-0.03464755,-0.04941177,-0.31116793,-0.33545396,XLU,0.03251479,-0.34368271,0.90680493,199861055.46195030,0.76427720,0.15799926,0.09506178,-0.49860378,1.39407405,spy_relative;sector_relative;single_day_move;gap,4,threshold_and_sector_coverage,12.10440000,2026-07-10,2,2,2,47.00000000,0.00000000,True,False
48,COMP,"Compass, Inc.",Real Estate,,NYQ,8592260096.00000000,2026-07-10,11.72000027,-0.01677851,-0.07131534,0.43451654,0.41023050,XLRE,-0.01156327,0.44607982,0.93087552,181447528.81856441,0.86051597,0.08545032,0.04074499,-0.13696610,0.80864201,spy_relative;sector_relative;single_day_move,3,threshold_and_sector_coverage,11.92460000,2026-07-10,2,2,2,91.00000000,43.00000000,True,False
49,AVAV,"AeroVironment, Inc.",Industrials,,NMS,7176219136.00000000,2026-07-10,144.58000183,-0.02574119,-0.24260044,-0.18089623,-0.20518227,XLI,0.03599084,-0.21688707,1.03438443,374626447.19474792,1.33142173,0.18755401,0.26978417,-0.64721956,0.05779931,spy_relative;sector_relative;single_day_move;gap,4,threshold,11.80930000,2026-07-10,2,2,2,32.00000000,-17.00000000,True,False
50,ALMS,Alumis Inc.,Healthcare,,NMS,3582524672.00000000,2026-07-10,28.30999947,-0.06567656,0.06830187,0.41479256,0.39050652,XLV,0.04056407,0.37422849,1.20620775,49730527.87907600,0.49722197,0.15550240,0.03253796,-0.06567656,7.55287008,spy_relative;sector_relative;single_day_move,3,threshold,11.78070000,2026-07-10,2,2,2,97.00000000,47.00000000,True,False
51,FLY,Firefly Aerospace Inc.,Industrials,,NGM,3657518336.00000000,2026-07-10,24.09000015,-0.04707280,-0.16643597,-0.27971295,-0.30399899,XLI,0.03599084,-0.31570379,0.39033437,199696787.59007454,1.02326774,0.19050034,0.09162222,-0.60082849,0.43563761,spy_relative;sector_relative;single_day_move;gap,4,threshold,11.77660000,2026-07-10,2,2,2,40.00000000,-11.00000000,True,False
52,MRNA,"Moderna, Inc.",Healthcare,,NMS,26588649472.00000000,2026-07-10,68.26999664,-0.10828110,-0.14405724,0.43033726,0.40605122,XLV,0.04056407,0.38977318,0.99984567,683298132.17453003,1.36159373,0.12585768,0.03495145,-0.16540350,2.05321980,spy_relative;sector_relative;single_day_move,3,threshold,11.74580000,2026-07-10,2,2,2,60.00000000,8.00000000,True,False
53,RDW,Redwire Corporation,Industrials,,NYQ,2290334976.00000000,2026-07-10,10.18000031,-0.02769818,-0.09991159,-0.35365077,-0.37793681,XLI,0.03599084,-0.38964162,0.35059432,416916549.23149109,0.77312189,0.14929390,0.05555557,-0.60694979,1.01185779,spy_relative;sector_relative;single_day_move,3,threshold_and_sector_coverage,11.72750000,2026-07-10,2,2,2,74.00000000,21.00000000,True,False
54,DAVE,Dave Inc.,Technology,,NGM,4952962048.00000000,2026-07-10,400.75000000,0.02719533,0.03456737,0.43787454,0.41358850,XLK,0.02771474,0.41015979,0.69439658,212765696.77139282,0.90594641,0.10005600,0.04435456,0.00000000,1.57022835,spy_relative;sector_relative;single_day_move,3,threshold,11.72620000,2026-07-10,2,2,2,85.00000000,31.00000000,True,False
55,FOXA,Fox Corporation,Communication Services,,NMS,23472445440.00000000,2026-07-10,54.11999893,0.00707103,-0.04178471,-0.20784545,-0.23213148,XLC,0.00143520,-0.20928064,0.67471839,597508117.57644653,2.47360000,0.16841307,0.13470006,-0.28892395,0.10924365,spy_relative;sector_relative;volatility;single_day_move;gap,5,threshold_and_sector_coverage,11.49690000,2026-07-10,2,2,2,34.00000000,-21.00000000,True,False
56,EOSE,"Eos Energy Enterprises, Inc.",Industrials,,NCM,1543389184.00000000,2026-07-10,4.40000010,-0.03930127,-0.15869979,-0.29712461,-0.32141065,XLI,0.03599084,-0.33311545,1.33840042,149596082.02992201,0.68203021,0.11600587,0.11520371,-0.77071391,0.00113768,spy_relative;sector_relative;single_day_move;gap,4,threshold,11.48460000,2026-07-10,2,2,2,46.00000000,-10.00000000,True,False
57,WEN,Wendy's Company (The),Consumer Cyclical,,NMS,1428604800.00000000,2026-07-10,7.55000019,-0.00527009,-0.12209304,0.12518631,0.10090027,XLY,0.01182355,0.11336276,0.41637926,253523754.92139816,2.18679751,0.25559103,0.24760378,-0.33303883,0.22366290,spy_relative;sector_relative;volatility;single_day_move;gap,5,threshold,11.32470000,2026-07-10,2,2,2,27.00000000,-30.00000000,True,False
58,ORCL,Oracle Corporation,Technology,,NYQ,379329249280.00000000,2026-07-10,140.63999939,-0.02482320,0.00263774,-0.31665128,-0.34093731,XLK,0.02771474,-0.34436602,1.13728537,5443192965.45875549,0.80915182,0.08526279,0.10727416,-0.57165046,0.03048068,spy_relative;sector_relative;single_day_move;gap,4,threshold_and_sector_coverage,11.31680000,2026-07-10,2,2,2,64.00000000,6.00000000,True,False
59,TXG,"10x Genomics, Inc.",Healthcare,,NMS,5302960128.00000000,2026-07-10,42.72999954,-0.00858466,0.09536020,0.39686170,0.37257566,XLV,0.04056407,0.35629762,0.75695248,121977877.31406212,1.25333437,0.15025346,0.03096535,-0.00858466,2.76807751,spy_relative;sector_relative;single_day_move,3,threshold,11.25740000,2026-07-10,2,2,2,56.00000000,-3.00000000,True,False
60,EPC,Edgewell Personal Care Company,Consumer Defensive,,NYQ,1254333696.00000000,2026-07-10,26.47999954,0.01963805,-0.02682836,0.27737579,0.25308975,XLP,0.00023786,0.27713793,0.58440028,29589927.51623154,1.65945182,0.15404930,0.09066908,-0.04679630,0.66436202,spy_relative;sector_relative;volatility;single_day_move;gap,5,threshold,11.23010000,2026-07-10,2,2,2,58.00000000,-2.00000000,True,False
61,AEHR,Aehr Test Systems,Technology,,NCM,2139450240.00000000,2026-07-10,72.59999847,-0.04736912,0.03773584,-0.23019828,-0.25448432,XLK,0.02771474,-0.25791302,1.16776330,152941389.90936279,0.98677679,0.17138459,0.16585657,-0.37725170,4.23809526,spy_relative;sector_relative;single_day_move;gap,4,threshold,11.22270000,2026-07-10,2,2,2,37.00000000,-24.00000000,True,False
62,AXTI,AXT Inc,Technology,,NMS,3301253888.00000000,2026-07-10,57.20999908,-0.08537171,0.01042035,-0.26990813,-0.29419417,XLK,0.02771474,-0.29762288,0.88229940,761051738.56878281,0.87825958,0.15983382,0.10582945,-0.59376554,28.79687519,spy_relative;sector_relative;single_day_move;gap,4,threshold,11.19290000,2026-07-10,2,2,2,31.00000000,-31.00000000,True,False
63,BB,BlackBerry Limited,Technology,,NYQ,6285927424.00000000,2026-07-10,10.97000027,-0.04024497,-0.04691572,0.24095024,0.21666420,XLK,0.02771474,0.21323549,0.57168366,357585224.39701557,1.68253058,0.19953600,0.12761025,-0.14363779,2.48253966,spy_relative;sector_relative;volatility;single_day_move;gap,5,threshold,11.16900000,2026-07-10,2,2,2,54.00000000,-9.00000000,True,False
64,YSS,York Space Systems Inc.,Industrials,,NYQ,2516929280.00000000,2026-07-10,19.88999939,-0.03352772,-0.20120483,-0.28143067,-0.30571670,XLI,0.03599084,-0.31742151,0.51888010,44464476.41654015,1.09989915,0.22085446,0.04937840,-0.54223247,0.12499995,spy_relative;sector_relative;single_day_move,3,threshold,10.94430000,2026-07-10,2,2,2,63.00000000,-1.00000000,True,False
