rank,ticker,company_name,sector,industry,exchange,market_cap,market_data_date,price,return_1d,return_5d,return_21d,return_63d,return_126d,spy_return_63d,spy_return_126d,spy_relative_21d,spy_relative_63d,spy_relative_126d,sector_etf,sector_etf_return_21d,sector_etf_return_63d,sector_etf_return_126d,sector_relative_21d,sector_relative_63d,sector_relative_126d,volume_ratio_5d_vs_prev20d,avg_dollar_volume_20d,volatility_ratio_20d_vs_prev120d,max_daily_move_21d,max_daily_move_date_21d,max_daily_move_signed_21d,max_1d_share_of_abs_move_21d,directional_efficiency_21d,post_max_move_return_5d,post_max_move_return_10d,max_gap_21d,distance_from_52w_high,distance_from_52w_low,trigger_conditions,trigger_count,selection_reason,signal_score,first_trigger_date,trigger_days_last_5,trigger_days_last_10,consecutive_trigger_days,rank_previous,rank_change,new_entry,persistent_signal
1,UTZ,Utz Brands Inc,Consumer Defensive,,NYQ,1253876992.00000000,2026-08-17,14.14999962,-0.00141146,0.00283487,0.89171117,0.99576859,0.57222218,0.04532110,0.13336264,0.85218420,0.95044749,0.43885954,XLP,-0.00598664,0.00047260,-0.05396047,0.89769782,0.99529599,0.62618265,0.27130796,97392966.73383713,6.17624312,0.88724843,2026-07-21,0.88724843,0.89885687,0.86723071,0.00142244,0.00355613,0.88993292,-0.00141146,1.08088224,spy_relative;sector_relative;volatility;single_day_move;gap,5,threshold_and_sector_coverage,51.37930000,2026-07-21,5,10,16,2.00000000,1.00000000,True,True
2,REPL,"Replimune Group, Inc.",Healthcare,,NMS,1371234176.00000000,2026-08-17,14.63000011,-0.02271210,0.07022678,0.43010760,1.80268213,0.83563369,0.04532110,0.13336264,0.39058063,1.75736102,0.70227104,XLV,0.03699799,0.15127496,0.05949137,0.39310961,1.65140717,0.77614231,0.57508580,84387271.17935696,2.06885732,1.07024032,2026-07-31,1.07024032,0.46916321,0.17644110,0.07678577,0.33660719,1.10332718,-0.04002622,7.60588218,spy_relative;sector_relative;volatility;single_day_move;gap,5,threshold,42.22630000,2026-08-04,5,9,9,3.00000000,1.00000000,True,True
3,AXTI,AXT Inc,Technology,,NMS,6293061120.00000000,2026-08-17,95.97000122,0.17552673,0.30023038,1.09267335,-0.22467279,2.95915850,0.04532110,0.13336264,1.05314638,-0.26999389,2.82579586,XLK,0.08388867,0.07976860,0.36371461,1.00878468,-0.30444139,2.59544390,0.85149645,838814038.28356934,1.21428988,0.28738820,2026-07-31,0.28738820,0.13118545,0.35034367,0.46582825,0.35098459,0.42117599,-0.31854008,45.36232093,spy_relative;sector_relative;single_day_move;gap,4,threshold_and_sector_coverage,35.89650000,2026-07-10,5,10,22,9.00000000,6.00000000,True,True
4,ETON,"Eton Pharmaceuticals, Inc.",Healthcare,,NGM,1764436992.00000000,2026-08-17,61.72999954,0.04875975,0.38408075,0.65985485,1.06041393,2.67659298,0.04532110,0.13336264,0.62032787,1.01509283,2.54323034,XLV,0.03699799,0.15127496,0.05949137,0.62285685,0.90913898,2.61710161,1.85075298,31952021.04543076,2.72042228,0.44264710,2026-08-14,0.44264710,0.38407595,0.47605494,,,0.34632356,0.00000000,3.30174201,spy_relative;sector_relative;volume;volatility;single_day_move;gap,6,threshold,29.65260000,2026-07-21,2,2,2,11.00000000,7.00000000,True,False
5,ARX,Accelerant Holdings,Financial Services,,NYQ,4263654400.00000000,2026-08-17,19.54000092,-0.00204285,0.56821837,0.39971353,0.33744020,0.78447500,0.04532110,0.13336264,0.36018655,0.29211910,0.65111236,XLF,0.02346256,0.12681025,0.11481123,0.37625097,0.21062996,0.66966377,8.67742421,118968895.67416000,2.69361166,0.43350483,2026-08-13,0.43350483,0.39346555,0.32416773,,,0.44085240,-0.34975037,1.08760701,spy_relative;sector_relative;volume;volatility;single_day_move;gap,6,threshold,28.31280000,2026-08-13,3,3,3,7.00000000,2.00000000,True,True
6,ABCL,AbCellera Biologics Inc.,Healthcare,,NMS,3434048256.00000000,2026-08-17,11.19999981,-0.01581725,0.19914343,0.73240519,1.73838616,2.61290328,0.04532110,0.13336264,0.69287821,1.69306505,2.47954063,XLV,0.03699799,0.15127496,0.05949137,0.69540719,1.58711120,2.55341190,2.06732007,80979804.66860428,1.57741348,0.34776340,2026-08-10,0.34776340,0.29788720,0.49409804,0.19914343,,0.26406933,-0.01581725,3.02877695,spy_relative;sector_relative;volume;volatility;single_day_move;gap,6,threshold_and_sector_coverage,28.29420000,2026-07-28,5,6,6,4.00000000,-2.00000000,True,True
7,FBRX,"Forte Biosciences, Inc.",Healthcare,,NCM,1632304512.00000000,2026-08-17,76.88999939,0.00078091,0.00130223,0.70904638,2.20909859,1.49805061,0.04532110,0.13336264,0.66951940,2.16377749,1.36468796,XLV,0.03699799,0.15127496,0.05949137,0.67204838,2.05782364,1.43855923,0.45140749,167615228.82160950,1.02138933,0.39649510,2026-07-27,0.39649510,0.46427989,0.68531343,0.00143792,0.00418300,0.39485223,-0.00116919,6.46504835,spy_relative;sector_relative;single_day_move;gap,4,threshold,28.07460000,2026-07-17,5,7,7,8.00000000,1.00000000,True,True
8,OMER,Omeros Corporation,Healthcare,,NGM,1256661248.00000000,2026-08-17,17.36000061,0.00988947,0.27459624,0.79153781,0.41714291,0.48503005,0.04532110,0.13336264,0.75201083,0.37182180,0.35166740,XLV,0.03699799,0.15127496,0.05949137,0.75453981,0.26586795,0.42553867,3.43093436,33615745.32926655,1.49933081,0.26549966,2026-08-13,0.26549966,0.31154667,0.72287277,,,0.21444198,0.00000000,3.30769223,spy_relative;sector_relative;volume;single_day_move;gap,5,threshold_and_sector_coverage,27.59430000,2026-08-13,3,3,3,13.00000000,5.00000000,True,True
9,LIFE,Ethos Technologies Inc.,Financial Services,,NMS,3370638336.00000000,2026-08-17,35.16999817,0.03380358,0.11262251,0.90108098,0.56519801,2.43121933,0.04532110,0.13336264,0.86155401,0.51987690,2.29785669,XLF,0.02346256,0.12681025,0.11481123,0.87761842,0.43838776,2.31640810,1.21320191,38988496.29755402,0.88938142,0.21112570,2026-08-04,0.21112570,0.23797808,0.75368506,0.21482823,,0.19710907,0.00000000,2.57055805,spy_relative;sector_relative;single_day_move;gap,4,threshold_and_sector_coverage,27.57160000,2026-08-06,5,8,8,12.00000000,3.00000000,True,True
10,HZO,"MarineMax, Inc.  (FL)",Consumer Cyclical,,NYQ,1154032000.00000000,2026-08-17,52.25000000,0.00442137,0.00249426,0.51361528,0.58237430,0.80048240,0.04532110,0.13336264,0.47408830,0.53705319,0.66711975,XLY,0.01134786,0.00188794,0.00490618,0.50226741,0.58048636,0.79557622,1.64568612,42738891.05848770,3.28016360,0.46076229,2026-08-10,0.46076229,0.55666821,0.55753484,0.00249426,,0.45431611,-0.00400303,1.43817075,spy_relative;sector_relative;volatility;single_day_move;gap,5,threshold_and_sector_coverage,27.46380000,2026-08-10,5,6,6,5.00000000,-5.00000000,True,True
