rank,ticker,company_name,sector,market_cap,market_data_date,price,return_21d,return_63d,return_126d,spy_relative_63d,spy_relative_126d,sector_etf,sector_relative_63d,sector_relative_126d,max_daily_move_63d,max_gap_63d,max_1d_share_of_abs_move_63d,directional_efficiency_63d,positive_days_63d,negative_days_63d,positive_day_ratio_63d,relative_max_daily_move_63d,relative_max_1d_share_of_abs_move_63d,relative_directional_efficiency_63d,max_daily_move_126d,max_gap_126d,max_1d_share_of_abs_move_126d,directional_efficiency_126d,positive_days_126d,negative_days_126d,positive_day_ratio_126d,relative_max_daily_move_126d,relative_max_1d_share_of_abs_move_126d,relative_directional_efficiency_126d,volume_ratio_5d_vs_prev20d,volatility_ratio_20d_vs_prev120d,selection_bucket,selection_reason,anchor_horizon,drift_direction,trend_consistency,tail_percentile,tail_distance
1,ENVA,"Enova International, Inc.",Financial Services,5773544448.00000000,2026-07-13,232.00999451,0.28951755,0.60062090,0.40757139,0.49802478,0.32104621,XLF,0.49622856,0.40453028,0.05638771,0.02536677,0.04294541,0.36044950,40.00000000,23.00000000,0.63492063,0.04491231,0.03720709,0.30743052,0.07715953,0.04807556,0.03105104,0.13774824,72.00000000,54.00000000,0.57142857,0.07100169,0.03385691,0.16156955,0.61450666,1.02497321,sector_coverage,quiet_drift_sector_coverage_top,63d,up,same_direction,0.94434051,0.88868101
2,DINO,HF Sinclair Corporation,Energy,14728503296.00000000,2026-07-13,81.69999695,0.15460704,0.42062249,0.61462449,0.31802637,0.52809932,XLE,0.42413490,0.39572003,0.06329457,0.05262419,0.04779575,0.26621701,38.00000000,25.00000000,0.60317460,0.04659570,0.04525469,0.34440804,0.10855659,0.17113220,0.04111611,0.18187438,70.00000000,56.00000000,0.55555556,0.13389480,0.06464660,0.13574379,1.13860957,1.06643843,sector_coverage,quiet_drift_sector_coverage_top,63d,up,same_direction,0.92797007,0.85594013
3,CON,Concentra Group Holdings Parent,Healthcare,4016720128.00000000,2026-07-13,31.38999939,0.17963167,0.43137250,0.57659466,0.32877638,0.49006948,XLV,0.33565594,0.55578762,0.03704905,0.02838983,0.04628371,0.45071793,38.00000000,24.00000000,0.61290323,0.03829707,0.04731963,0.33018186,0.05628975,0.03113012,0.03375768,0.27424731,68.00000000,55.00000000,0.55284553,0.06048006,0.03723564,0.26761468,0.72327325,0.87854970,sector_coverage,quiet_drift_sector_coverage_top,126d,up,same_direction,0.92416392,0.84832784
4,RLJ,RLJ Lodging Trust,Real Estate,1742324736.00000000,2026-07-13,11.40999985,0.07236837,0.45350318,0.48567710,0.35090706,0.39915192,XLRE,0.40959844,0.38033579,0.05029941,0.01981976,0.05578497,0.41726101,43.00000000,19.00000000,0.69354839,0.04703570,0.05350468,0.37653311,0.06796113,0.03606099,0.03518064,0.20585611,73.00000000,50.00000000,0.59349593,0.04864073,0.02668157,0.16221343,0.95441868,0.93277094,sector_coverage,quiet_drift_sector_coverage_top,63d,up,same_direction,0.92376052,0.84752105
5,CAKE,The Cheesecake Factory Incorpor,Consumer Cyclical,4071715328.00000000,2026-07-13,81.94999695,0.16043605,0.38546061,0.43797148,0.28286449,0.35144630,XLY,0.35755732,0.49394282,0.06946504,0.03781718,0.06235877,0.29432683,37.00000000,26.00000000,0.58730159,0.07562418,0.06549746,0.25853836,0.06946504,0.03781718,0.03051024,0.15992264,71.00000000,55.00000000,0.56349206,0.07562418,0.03393317,0.18883073,1.05304589,0.80717668,sector_coverage,quiet_drift_sector_coverage_top,63d,up,same_direction,0.91393826,0.82787652
6,TDS,"Telephone and Data Systems, Inc",Communication Services,3801451520.00000000,2026-07-13,33.38999939,-0.16357713,-0.27159687,-0.18021115,-0.37419299,-0.26673633,XLC,-0.25088603,-0.13007490,0.06800086,0.01355149,0.07941477,0.36762412,26.00000000,37.00000000,0.41269841,0.05872533,0.06378738,0.32148478,0.06800086,0.03008342,0.04036270,0.11768018,61.00000000,65.00000000,0.48412698,0.05872533,0.03319004,0.08323420,0.88556998,0.84677158,sector_coverage,quiet_drift_sector_coverage_bottom,63d,down,same_direction,0.09027128,0.81945744
7,RGLD,"Royal Gold, Inc.",Basic Materials,16419141632.00000000,2026-07-13,193.47000122,-0.01826765,-0.27490445,-0.20656986,-0.37750056,-0.29309504,XLB,-0.24834561,-0.27141201,0.06404138,0.05415036,0.05134305,0.25658413,22.00000000,41.00000000,0.34920635,0.04681915,0.04876993,0.30680608,0.09819170,0.07387495,0.03522169,0.08269028,60.00000000,66.00000000,0.47619048,0.08864569,0.04066926,0.13498188,0.85586449,0.78698177,sector_coverage,quiet_drift_sector_coverage_bottom,63d,down,same_direction,0.09401310,0.81197381
8,NOC,Northrop Grumman Corporation,Industrials,76956573696.00000000,2026-07-13,541.82000732,-0.00059027,-0.19579056,-0.08288897,-0.29838668,-0.16941414,XLI,-0.24738799,-0.20900495,0.06978900,0.02584551,0.08100927,0.25173704,24.00000000,39.00000000,0.38095238,0.06074924,0.05759195,0.25426661,0.06978900,0.02846572,0.03881086,0.04810530,58.00000000,68.00000000,0.46031746,0.06074924,0.02994786,0.10120841,0.67129604,1.15629223,sector_coverage,quiet_drift_sector_coverage_bottom,63d,down,same_direction,0.09494855,0.81010290
9,VOYA,"Voya Financial, Inc.",Financial Services,8972338176.00000000,2026-07-13,98.95999908,0.11016378,0.41492702,0.25249964,0.31233090,0.16597446,XLF,0.31053468,0.24945853,0.04118816,0.02998596,0.05486340,0.46494516,37.00000000,26.00000000,0.58730159,0.04824641,0.07405684,0.38033920,0.07360814,0.08951264,0.04236554,0.12950492,70.00000000,55.00000000,0.56000000,0.05075373,0.03759804,0.16453380,0.89235805,0.64253015,sector_coverage,quiet_drift_sector_coverage_bottom,63d,up,same_direction,0.89850327,0.79700655
10,KT,KT Corporation,Communication Services,8319173120.00000000,2026-07-13,17.37999916,-0.05697239,-0.23165347,-0.08381656,-0.33424959,-0.17034174,XLC,-0.21094263,-0.03368031,0.03907920,0.04539448,0.05001827,0.33597881,20.00000000,42.00000000,0.32258065,0.05003666,0.05752222,0.27887738,0.04088192,0.04539448,0.02477301,0.05300906,60.00000000,65.00000000,0.48000000,0.05003666,0.02915125,0.02103292,0.76913227,1.25224323,sector_coverage,quiet_drift_sector_coverage_top,63d,down,same_direction,0.12815716,0.74368569
11,MSM,"MSC Industrial Direct Company, ",Industrials,6924382208.00000000,2026-07-13,123.98999786,0.07667588,0.29859650,0.47747856,0.19600038,0.39095338,XLI,0.24699907,0.35136257,0.06480626,0.03025656,0.07833468,0.31800569,30.00000000,32.00000000,0.48387097,0.06256101,0.08729333,0.29437819,0.06480626,0.03999128,0.03846593,0.23289322,66.00000000,59.00000000,0.52800000,0.06256101,0.04344102,0.18856710,0.86575511,1.01165855,sector_coverage,quiet_drift_sector_coverage_top,63d,up,same_direction,0.87043966,0.74087933
