rank,ticker,company_name,sector,industry,exchange,market_cap,market_data_date,price,return_1d,return_5d,return_21d,return_63d,return_126d,spy_return_63d,spy_return_126d,spy_relative_21d,spy_relative_63d,spy_relative_126d,sector_etf,sector_etf_return_21d,sector_etf_return_63d,sector_etf_return_126d,sector_relative_21d,sector_relative_63d,sector_relative_126d,volume_ratio_5d_vs_prev20d,avg_dollar_volume_20d,volatility_ratio_20d_vs_prev120d,max_daily_move_21d,max_daily_move_date_21d,max_daily_move_signed_21d,max_1d_share_of_abs_move_21d,directional_efficiency_21d,post_max_move_return_5d,post_max_move_return_10d,max_gap_21d,distance_from_52w_high,distance_from_52w_low,trigger_conditions,trigger_count,selection_reason,signal_score,first_trigger_date,trigger_days_last_5,trigger_days_last_10,consecutive_trigger_days,rank_previous,rank_change,new_entry,persistent_signal
1,CRNX,"Crinetics Pharmaceuticals, Inc.",Healthcare,,NMS,8879995904.00000000,2026-07-21,83.90000153,0.00035768,0.00226977,1.33900206,1.08447209,0.49848185,0.05581903,0.08186111,1.33693971,1.02865306,0.41662074,XLV,0.07262387,0.08703027,0.02895848,1.26637819,0.99744182,0.46952337,0.49528397,649033114.65475082,6.66101859,0.98738999,2026-07-07,0.98738999,0.78205229,0.88816102,0.00215492,0.00442958,0.98857969,-0.00011920,2.12476724,spy_relative;sector_relative;volatility;single_day_move;gap,5,threshold_and_sector_coverage,65.21030000,2026-07-10,5,7,7,1.00000000,0.00000000,True,True
2,UTZ,Utz Brands Inc,Consumer Defensive,,NYQ,1244831104.00000000,2026-07-21,14.06000042,0.88724843,0.87967920,0.99432625,0.84514444,0.36637517,0.05581903,0.08186111,0.99226390,0.78932541,0.28451405,XLP,0.00912358,0.02026943,0.02374859,0.98520266,0.82487501,0.34262657,7.63436282,58065785.87733746,6.56358403,0.88724843,2026-07-21,0.88724843,0.63201767,0.60113605,,,0.88993292,-0.02967559,1.06764706,spy_relative;sector_relative;volume;volatility;single_day_move;gap,6,threshold_and_sector_coverage,58.72370000,2026-07-21,1,1,1,,,True,False
3,FBRX,"Forte Biosciences, Inc.",Healthcare,,NCM,1038890304.00000000,2026-07-21,50.72999954,0.06822484,0.17430552,1.84201672,0.47342431,0.51931717,0.05581903,0.08186111,1.83995437,0.41760529,0.43745606,XLV,0.07262387,0.08703027,0.02895848,1.76939285,0.38639405,0.49035869,0.82338518,34519891.87678337,2.86012089,0.78328479,2026-07-09,0.78328479,0.47665569,0.74201286,0.22588558,,0.04295635,0.00000000,4.27887631,spy_relative;sector_relative;volatility;single_day_move,4,threshold_and_sector_coverage,58.21340000,2026-07-17,2,2,1,,,True,False
4,TRAX,"First Tracks Biotherapeutics, I",Healthcare,,NMS,1303928192.00000000,2026-07-21,37.36999893,0.01356116,0.08728543,1.14523529,1.00913969,,0.05581903,0.08186111,1.14317294,0.95332066,,XLV,0.07262387,0.08703027,0.02895848,1.07261142,0.92210942,,0.74749518,27609151.27322197,,0.55994226,2026-07-09,0.55994226,0.38410882,0.57796958,0.11759251,,0.02045907,0.00000000,1.43929502,spy_relative;sector_relative;single_day_move,3,threshold,35.69650000,2026-07-10,5,7,7,3.00000000,-1.00000000,True,True
5,DFTX,"Definium Therapeutics, Inc.",Healthcare,,NMS,5984066048.00000000,2026-07-21,45.08000183,0.05327109,-0.01957368,0.84150338,0.94478004,1.99534892,0.05581903,0.08186111,0.83944103,0.88896101,1.91348781,XLV,0.07262387,0.08703027,0.02895848,0.76887950,0.85774977,1.96639044,0.37895907,172482555.49764633,0.95105903,0.49795747,2026-06-22,0.49795747,0.39346865,0.52674631,0.26943009,0.21298069,0.57598050,-0.06955622,4.34123271,spy_relative;sector_relative;single_day_move;gap,4,threshold,35.44600000,2026-07-10,5,7,7,2.00000000,-3.00000000,True,True
6,ATAI,AtaiBeckley Inc.,Healthcare,,NGM,2639624960.00000000,2026-07-21,7.13500023,-0.00764949,0.25837745,0.75738924,0.45612247,0.96016484,0.05581903,0.08186111,0.75532689,0.40030344,0.87830373,XLV,0.07262387,0.08703027,0.02895848,0.68476537,0.36909220,0.93120636,4.72674388,138281824.99965191,2.04399873,0.33395521,2026-07-16,0.33395521,0.27875188,0.49862193,,,0.31809699,-0.01177279,1.15558923,spy_relative;sector_relative;volume;volatility;single_day_move;gap,6,threshold,31.30480000,2026-07-10,5,7,7,4.00000000,-2.00000000,True,True
7,APGE,"Apogee Therapeutics, Inc.",Healthcare,,NGM,10089654272.00000000,2026-07-21,134.19999695,0.00037274,0.00179151,0.48484179,0.47602287,0.66150802,0.05581903,0.08186111,0.48277944,0.42020385,0.57964690,XLV,0.07262387,0.08703027,0.02895848,0.41221792,0.38899261,0.63254953,0.17053312,400663392.49992371,0.02816178,0.46658561,2026-06-22,0.46658561,0.94715432,0.96663536,0.00045264,0.00746881,0.46713886,-0.00067016,2.87301561,spy_relative;sector_relative;single_day_move;gap,4,threshold,24.52640000,2026-07-10,5,7,7,5.00000000,-2.00000000,True,True
8,MAN,ManpowerGroup,Industrials,,NYQ,2403499520.00000000,2026-07-21,51.68000031,-0.02692525,0.31904032,0.54038753,0.62158767,0.71865650,0.05581903,0.08186111,0.53832518,0.56576864,0.63679538,XLI,-0.01243712,0.02737211,0.07046142,0.55282465,0.59421556,0.64819508,1.92650031,76583469.31091309,2.18914184,0.32368019,2026-07-16,0.32368019,0.32142882,0.45077760,,,0.19887233,-0.02692525,1.00699030,spy_relative;sector_relative;volume;volatility;single_day_move;gap,6,threshold_and_sector_coverage,23.63410000,2026-07-16,4,4,4,7.00000000,-1.00000000,True,True
9,SNEX,StoneX Group Inc.,Financial Services,,NMS,8862299136.00000000,2026-07-21,74.55000305,0.05430638,-0.34166368,-0.46370760,-0.29208997,0.03254856,0.05581903,0.08186111,-0.46576995,-0.34790900,-0.04931255,XLF,0.04741462,0.06612197,0.03067601,-0.51112222,-0.35821195,0.00187255,0.90502087,121316365.96015930,2.84034917,0.31342848,2026-07-20,-0.31342848,0.33152527,0.60950777,,,0.33343040,-0.46370760,0.36471813,spy_relative;sector_relative;volatility;single_day_move;gap,5,threshold_and_sector_coverage,23.34560000,2026-07-21,1,1,1,,,True,False
10,CDNA,"CareDx, Inc.",Healthcare,,NGM,1990956416.00000000,2026-07-21,38.54000092,0.00443060,0.33218114,0.47211614,0.81023951,0.92603701,0.05581903,0.08186111,0.47005379,0.75442049,0.84417589,XLV,0.07262387,0.08703027,0.02895848,0.39949226,0.72320925,0.89707852,1.84098959,37235186.59269333,1.89686574,0.35596639,2026-07-16,0.35596639,0.42104949,0.48919184,,,0.22352946,-0.04462070,2.33102869,spy_relative;sector_relative;volume;volatility;single_day_move;gap,6,threshold,21.43520000,2026-07-15,5,5,5,6.00000000,-4.00000000,True,True
