rank,ticker,company_name,sector,industry,exchange,market_cap,market_data_date,price,return_1d,return_5d,return_21d,return_63d,return_126d,spy_return_63d,spy_return_126d,spy_relative_21d,spy_relative_63d,spy_relative_126d,sector_etf,sector_etf_return_21d,sector_etf_return_63d,sector_etf_return_126d,sector_relative_21d,sector_relative_63d,sector_relative_126d,volume_ratio_5d_vs_prev20d,avg_dollar_volume_20d,volatility_ratio_20d_vs_prev120d,max_daily_move_21d,max_daily_move_date_21d,max_daily_move_signed_21d,max_1d_share_of_abs_move_21d,directional_efficiency_21d,post_max_move_return_5d,post_max_move_return_10d,max_gap_21d,distance_from_52w_high,distance_from_52w_low,trigger_conditions,trigger_count,selection_reason,signal_score,first_trigger_date,trigger_days_last_5,trigger_days_last_10,consecutive_trigger_days,rank_previous,rank_change,new_entry,persistent_signal
1,MRNA,"Moderna, Inc.",Healthcare,,NMS,56028766208.00000000,2026-08-31,140.33999634,0.01703015,0.01043989,1.56001454,2.04689518,1.65569104,0.01121893,0.11752962,1.53321514,2.03567625,1.53816142,XLV,0.04915405,0.15354436,0.07575850,1.51086050,1.89335083,1.57993254,1.10823224,4483072061.73303604,9.18164422,1.76969516,2026-08-19,1.76969516,0.64363971,0.46598172,-0.14175938,,0.84275728,-0.19520592,5.27638607,spy_relative;sector_relative;volatility;single_day_move;gap,5,threshold_and_sector_coverage,81.49280000,2026-07-10,5,9,9,1.00000000,0.00000000,True,True
2,IOVA,"Iovance Biotherapeutics, Inc.",Healthcare,,NGM,3700776448.00000000,2026-08-31,8.17000008,0.01997501,0.01364760,1.00737094,1.06313131,1.15567287,0.01121893,0.11752962,0.98057154,1.05191238,1.03814324,XLV,0.04915405,0.15354436,0.07575850,0.95821690,0.90958696,1.07991437,0.47653198,139390932.61178684,1.71159699,0.43087553,2026-08-06,0.43087553,0.34497268,0.60109788,0.04991948,0.44766501,0.37096765,-0.09121243,3.51381234,spy_relative;sector_relative;volatility;single_day_move;gap,5,threshold,36.83080000,2026-07-17,5,10,18,9.00000000,7.00000000,True,True
3,ABCL,AbCellera Biologics Inc.,Healthcare,,NMS,3720063488.00000000,2026-08-31,11.47999954,0.01145367,0.08199811,1.01050779,0.77708970,2.00523553,0.01121893,0.11752962,0.98370838,0.76587077,1.88770591,XLV,0.04915405,0.15354436,0.07575850,0.96135374,0.62354535,1.92947704,0.60100886,107572109.33455601,1.92359877,0.34776340,2026-08-10,0.34776340,0.25945101,0.55072804,0.19914343,0.13597425,0.26406933,-0.08160004,3.12949628,spy_relative;sector_relative;volatility;single_day_move;gap,5,threshold_and_sector_coverage,34.33610000,2026-07-28,5,10,16,3.00000000,0.00000000,True,True
4,ASST,"Strive, Inc.",Financial Services,,NGM,2172132352.00000000,2026-08-31,24.21999931,0.11407542,0.22757222,1.18001801,0.40813943,1.77434142,0.01121893,0.11752962,1.15321860,0.39692050,1.65681180,XLF,0.01352302,0.12210769,0.12495127,1.16649499,0.28603174,1.64939015,2.75407811,131280841.81023598,0.94129881,0.15078120,2026-08-19,0.15078120,0.13544234,0.72673946,0.45960629,,0.09485436,-0.86408530,2.38032093,spy_relative;sector_relative;volume;single_day_move;gap,5,threshold_and_sector_coverage,34.03550000,2026-08-20,5,8,8,16.00000000,12.00000000,True,True
5,HTFL,"Heartflow, Inc.",Healthcare,,NMS,4381593088.00000000,2026-08-31,50.38999939,0.05462538,0.00378483,0.99722554,0.62548385,1.09521834,0.01121893,0.11752962,0.97042613,0.61426492,0.97768871,XLV,0.04915405,0.15354436,0.07575850,0.94807149,0.47193950,1.01945984,0.88699606,94533653.22988471,1.70393611,0.35698167,2026-08-14,0.35698167,0.41125537,0.85898547,0.18227181,0.13545620,0.25959371,0.00000000,1.45924841,spy_relative;sector_relative;volatility;single_day_move;gap,5,threshold,33.92540000,2026-07-20,5,10,12,8.00000000,3.00000000,True,True
6,AMLX,"Amylyx Pharmaceuticals, Inc.",Healthcare,,NMS,3760527872.00000000,2026-08-31,33.75000000,-0.02849746,-0.11533424,0.66174303,1.39872073,1.20588233,0.01121893,0.11752962,0.63494362,1.38750180,1.08835270,XLV,0.04915405,0.15354436,0.07575850,0.61258898,1.24517638,1.13012383,0.54916094,132172142.31330299,4.33700519,0.63835745,2026-08-18,0.63835745,0.48011805,0.43153428,0.06693245,,0.39570693,-0.14901664,2.42987800,spy_relative;sector_relative;volatility;single_day_move;gap,5,threshold,33.25780000,2026-08-06,5,10,10,4.00000000,-2.00000000,True,True
7,TEAM,Atlassian Corporation,Technology,,NMS,49151963136.00000000,2026-08-31,194.16999817,0.01972011,0.13330996,0.92218977,0.67460115,1.63102968,0.01121893,0.11752962,0.89539036,0.66338222,1.51350005,XLK,0.06358707,-0.04730279,0.33653439,0.85860269,0.72190394,1.29449529,0.84261548,884623643.02843094,1.54563037,0.35309077,2026-08-07,0.35309077,0.36576430,0.72384836,0.08821355,0.15254571,0.31737312,0.00000000,2.39755018,spy_relative;sector_relative;volatility;single_day_move;gap,5,threshold_and_sector_coverage,32.53340000,2026-07-27,5,10,17,5.00000000,-2.00000000,True,True
8,MNST,Monster Beverage Corporation,Consumer Defensive,,NMS,89959653376.00000000,2026-08-31,45.91999817,-0.02005980,-0.06132461,-0.05949826,0.04268840,0.07667049,0.01121893,0.11752962,-0.08629766,0.03146947,-0.04085913,XLP,-0.00082304,0.03596251,-0.04204707,-0.05867522,0.00672589,0.11871757,0.61729595,498366570.34953463,2.83607656,0.94127424,2026-08-03,0.94127424,0.30515397,0.02091064,-0.02661684,0.01293425,1.02012868,-0.08104869,0.95072202,spy_relative;volatility;single_day_move;gap,4,threshold,30.98950000,2026-08-10,5,7,7,7.00000000,-1.00000000,True,True
9,PURR,Hyperliquid Strategies Inc,Financial Services,,NCM,2423510528.00000000,2026-08-31,12.25000000,0.05512492,0.15131575,0.97262479,0.12695493,1.52057606,0.01121893,0.11752962,0.94582538,0.11573600,1.40304644,XLF,0.01352302,0.12210769,0.12495127,0.95910177,0.00484724,1.39562480,2.39704561,213853409.69965935,1.21750985,0.30416675,2026-08-19,0.30416675,0.26570925,0.62335687,0.23109691,,0.08682641,-0.04520654,2.95161302,spy_relative;sector_relative;volume;single_day_move;gap,5,threshold_and_sector_coverage,30.72890000,2026-07-16,5,9,9,12.00000000,3.00000000,True,True
10,ARX,Accelerant Holdings,Financial Services,,NYQ,4285129984.00000000,2026-08-31,19.72999954,0.00000000,0.00356051,0.66077436,0.24322619,0.66638507,0.01121893,0.11752962,0.63397495,0.23200726,0.54885545,XLF,0.01352302,0.12210769,0.12495127,0.64725134,0.12111850,0.54143381,0.24724442,133314271.33067703,2.23363286,0.43350483,2026-08-13,0.43350483,0.65840224,0.87316004,0.00307532,0.00922605,0.44085240,-0.07021677,1.10790601,spy_relative;sector_relative;volatility;single_day_move;gap,5,threshold,29.99520000,2026-08-13,5,10,13,6.00000000,-4.00000000,True,True
