rank,ticker,company_name,sector,market_cap,market_data_date,price,return_21d,return_63d,return_126d,spy_relative_63d,spy_relative_126d,sector_etf,sector_relative_63d,sector_relative_126d,max_daily_move_63d,max_gap_63d,max_1d_share_of_abs_move_63d,directional_efficiency_63d,positive_days_63d,negative_days_63d,positive_day_ratio_63d,relative_max_daily_move_63d,relative_max_1d_share_of_abs_move_63d,relative_directional_efficiency_63d,max_daily_move_126d,max_gap_126d,max_1d_share_of_abs_move_126d,directional_efficiency_126d,positive_days_126d,negative_days_126d,positive_day_ratio_126d,relative_max_daily_move_126d,relative_max_1d_share_of_abs_move_126d,relative_directional_efficiency_126d,volume_ratio_5d_vs_prev20d,volatility_ratio_20d_vs_prev120d,selection_bucket,selection_reason,anchor_horizon,drift_direction,trend_consistency,tail_percentile,tail_distance
1,CRUS,"Cirrus Logic, Inc.",Technology,6108829184.00000000,2026-08-12,121.88999939,-0.11262377,-0.26779601,-0.14210306,-0.31427518,-0.25822453,XLK,-0.34576407,-0.46697150,0.06394130,0.05617367,0.05352147,0.25933469,30.00000000,33.00000000,0.47619048,0.07731401,0.07486673,0.37453108,0.06394130,0.05617367,0.02736589,0.06544443,68.00000000,57.00000000,0.54400000,0.07731401,0.03669083,0.20624028,1.52900472,0.88728976,global_tail,quiet_drift_sector_relative_63d_bottom;quiet_drift_sector_relative_126d_bottom;quiet_drift_sector_coverage_bottom,63d,down,same_direction,0.03109815,0.93780369
2,HAE,Haemonetics Corporation,Healthcare,4155700480.00000000,2026-08-12,91.33999634,0.22752307,0.69116829,0.53615872,0.64468911,0.42003725,XLV,0.53628316,0.45175777,0.06518457,0.04116886,0.05428447,0.44243967,36.00000000,27.00000000,0.57142857,0.05162659,0.04294995,0.31731540,0.06648665,0.08372895,0.02945634,0.19096318,68.00000000,58.00000000,0.53968254,0.06583331,0.02958657,0.15651250,1.17255927,0.76645726,global_tail,quiet_drift_sector_relative_63d_top;quiet_drift_sector_coverage_top,63d,up,same_direction,0.96307094,0.92614189
3,WSM,"Williams-Sonoma, Inc.",Consumer Cyclical,28865581056.00000000,2026-08-12,245.14999390,0.11259870,0.39774214,0.13086998,0.35126297,0.01474851,XLY,0.40112368,0.13458842,0.06485438,0.02397831,0.05735134,0.29849702,34.00000000,29.00000000,0.53968254,0.05641483,0.05593701,0.33538060,0.06485438,0.04090480,0.02909843,0.05533682,61.00000000,65.00000000,0.48412698,0.05641483,0.03057556,0.06867537,0.96259885,0.96186993,sector_coverage,quiet_drift_sector_coverage_top,63d,up,same_direction,0.93100097,0.86200194
4,PK,Park Hotels & Resorts Inc.,Real Estate,2989874432.00000000,2026-08-12,14.85000038,0.04724965,0.34632826,0.29242826,0.29984909,0.17630678,XLRE,0.34812315,0.23941047,0.06347894,0.02337110,0.06777533,0.31938655,37.00000000,24.00000000,0.60655738,0.07804836,0.09104690,0.34900403,0.06347894,0.03018495,0.03356301,0.13604741,65.00000000,58.00000000,0.52845528,0.07804836,0.04357672,0.11438094,1.11587765,0.87840253,sector_coverage,quiet_drift_sector_coverage_top,63d,up,same_direction,0.91593780,0.83187561
5,GEF,Greif Inc.,Consumer Cyclical,5003774976.00000000,2026-08-12,88.01999664,0.22847166,0.34217740,0.17125742,0.29569823,0.05513594,XLY,0.34555894,0.17497585,0.04618520,0.03802781,0.05220119,0.33441301,41.00000000,22.00000000,0.65079365,0.05291521,0.05613468,0.31579199,0.04618520,0.03802781,0.02907763,0.09978223,66.00000000,60.00000000,0.52380952,0.05291521,0.03070996,0.09390441,0.78345252,1.12938551,sector_coverage,quiet_drift_sector_coverage_bottom,63d,up,same_direction,0.91545190,0.83090379
6,MMSI,"Merit Medical Systems, Inc.",Healthcare,5445590016.00000000,2026-08-12,91.19999695,0.28414533,0.49141447,0.10921911,0.44493529,-0.00690236,XLV,0.33652934,0.02481816,0.03940642,0.05146972,0.03857678,0.39328110,41.00000000,21.00000000,0.66129032,0.04707397,0.05524973,0.30013800,0.09049578,0.05146972,0.04442320,0.05087577,63.00000000,61.00000000,0.50806452,0.08915408,0.04966830,0.01260651,1.14627292,0.78366481,sector_coverage,quiet_drift_sector_coverage_bottom,63d,up,same_direction,0.91107872,0.82215743
7,BAC,Bank of America Corporation,Financial Services,453200019456.00000000,2026-08-12,64.80999756,0.06911908,0.27628986,0.17006677,0.22981068,0.05394529,XLF,0.15337408,0.08846081,0.03377856,0.01393129,0.05517645,0.39975790,39.00000000,23.00000000,0.62903226,0.01818092,0.04542375,0.31987062,0.04722748,0.03301511,0.03388874,0.11266369,74.00000000,50.00000000,0.59677419,0.02778760,0.03378644,0.09558518,0.72690237,0.64747979,sector_coverage,quiet_drift_sector_coverage_top,63d,up,same_direction,0.77405248,0.54810496
