rank,ticker,company_name,sector,market_cap,market_data_date,price,return_21d,return_63d,return_126d,spy_relative_63d,spy_relative_126d,sector_etf,sector_relative_63d,sector_relative_126d,max_daily_move_63d,max_gap_63d,max_1d_share_of_abs_move_63d,directional_efficiency_63d,positive_days_63d,negative_days_63d,positive_day_ratio_63d,relative_max_daily_move_63d,relative_max_1d_share_of_abs_move_63d,relative_directional_efficiency_63d,max_daily_move_126d,max_gap_126d,max_1d_share_of_abs_move_126d,directional_efficiency_126d,positive_days_126d,negative_days_126d,positive_day_ratio_126d,relative_max_daily_move_126d,relative_max_1d_share_of_abs_move_126d,relative_directional_efficiency_126d,volume_ratio_5d_vs_prev20d,volatility_ratio_20d_vs_prev120d,selection_bucket,selection_reason,anchor_horizon,drift_direction,trend_consistency,tail_percentile,tail_distance
1,CHEF,"The Chefs' Warehouse, Inc.",Consumer Defensive,4691549696.00000000,2026-08-28,115.00000000,0.02477276,0.50248234,0.61086988,0.48546934,0.48935210,XLP,0.47184680,0.66153098,0.06238762,0.02284457,0.05565210,0.36601634,39.00000000,24.00000000,0.61904762,0.08239091,0.07398337,0.33847802,0.17839352,0.04777174,0.07742461,0.20873534,72.00000000,54.00000000,0.57142857,0.16607984,0.07254574,0.23097060,0.85759622,0.64292224,global_tail,quiet_drift_sector_relative_63d_top;quiet_drift_sector_coverage_top,63d,up,same_direction,0.96000000,0.92000000
2,GEF,Greif Inc.,Consumer Cyclical,4779793408.00000000,2026-08-28,84.08000183,-0.03699457,0.32764881,0.15701120,0.31063581,0.03549341,XLY,0.35792931,0.15401618,0.04618520,0.03802781,0.05271898,0.32537871,39.00000000,24.00000000,0.61904762,0.05291521,0.05494502,0.32620898,0.04618520,0.03802781,0.02839735,0.08989081,66.00000000,60.00000000,0.52380952,0.05291521,0.03058819,0.08257570,0.77850993,0.77359114,sector_coverage,quiet_drift_sector_coverage_top,63d,up,same_direction,0.93234568,0.86469136
3,JLL,Jones Lang LaSalle Incorporated,Real Estate,17391372288.00000000,2026-08-28,378.01000977,0.04503486,0.33898910,0.19794018,0.32197610,0.07642240,XLRE,0.32785025,0.18334166,0.06388236,0.02941176,0.06279465,0.28901365,32.00000000,31.00000000,0.50793651,0.07638924,0.08987007,0.33039865,0.07001223,0.03828679,0.03675882,0.09495879,66.00000000,60.00000000,0.52380952,0.07980190,0.04823974,0.10041277,0.70658681,0.73347325,sector_coverage,quiet_drift_sector_coverage_top,63d,up,same_direction,0.92049383,0.84098765
4,VOYA,"Voya Financial, Inc.",Financial Services,9290655744.00000000,2026-08-28,102.55000305,0.02273867,0.26262006,0.53334341,0.24560706,0.41182562,XLF,0.13621455,0.40365260,0.03276150,0.04996026,0.04974369,0.35541924,36.00000000,27.00000000,0.57142857,0.03013080,0.05517697,0.20905046,0.04200557,0.04996026,0.02811924,0.28709278,72.00000000,53.00000000,0.57600000,0.04824641,0.04104066,0.25987822,0.91017208,0.66617776,sector_coverage,quiet_drift_sector_coverage_top,126d,up,same_direction,0.89800995,0.79601990
5,MMSI,"Merit Medical Systems, Inc.",Healthcare,5403195904.00000000,2026-08-28,90.48999786,0.08566286,0.43498249,0.17245397,0.41796949,0.05093618,XLV,0.28986974,0.10403945,0.03940642,0.05146972,0.04095937,0.37729693,39.00000000,23.00000000,0.62903226,0.04707397,0.06034650,0.28927156,0.09049578,0.05146972,0.04602851,0.08094887,64.00000000,60.00000000,0.51612903,0.08915408,0.05355605,0.05582019,0.48486211,0.55316473,sector_coverage,quiet_drift_sector_coverage_top,63d,up,same_direction,0.89777778,0.79555556
6,CCK,"Crown Holdings, Inc.",Consumer Cyclical,12881595392.00000000,2026-08-28,118.44000244,0.00059136,0.24568784,0.03350789,0.22867484,-0.08800990,XLY,0.27596834,0.03051286,0.04903625,0.04285212,0.06210852,0.27952001,36.00000000,27.00000000,0.57142857,0.04497015,0.05071426,0.28242493,0.06130536,0.04285212,0.03658234,0.01970100,59.00000000,65.00000000,0.47580645,0.04497015,0.02800757,0.01866429,0.87135072,0.65920084,sector_coverage,quiet_drift_sector_coverage_bottom,63d,up,same_direction,0.89283951,0.78567901
7,J,Jacobs Solutions Inc.,Industrials,17787527168.00000000,2026-08-28,151.97999573,0.14485872,0.26797927,0.10242271,0.25096627,-0.01909507,XLI,0.24481751,0.10242271,0.04568192,0.01989205,0.04999833,0.26082932,38.00000000,25.00000000,0.60317460,0.04289613,0.05190002,0.25955604,0.07272062,0.07272062,0.03888546,0.05212241,70.00000000,56.00000000,0.55555556,0.10103996,0.05839622,0.05635620,0.86485060,0.58259756,sector_coverage,quiet_drift_sector_coverage_top,63d,up,same_direction,0.87111111,0.74222222
8,CCEP,Coca-Cola Europacific Partners ,Consumer Defensive,48154402816.00000000,2026-08-28,109.09999847,-0.02336407,0.20299918,-0.01204385,0.18598618,-0.13356163,XLP,0.17236363,0.03861725,0.06025781,0.03947234,0.08561438,0.26379886,37.00000000,26.00000000,0.58730159,0.05574713,0.09676254,0.26841854,0.06025781,0.03947234,0.04014609,0.00807746,62.00000000,63.00000000,0.49600000,0.05574713,0.04607371,0.03295367,0.65712028,0.82297757,sector_coverage,quiet_drift_sector_coverage_bottom,63d,up,same_direction,0.82074074,0.64148148
9,LXP,LXP Industrial Trust,Real Estate,3578116352.00000000,2026-08-28,60.68999863,-0.00065867,0.17525173,0.22457621,0.15823873,0.10305842,XLRE,0.16411288,0.20997768,0.03999317,0.03862591,0.07527302,0.30489786,38.00000000,24.00000000,0.61290323,0.04340607,0.09593526,0.33242246,0.04013448,0.03862591,0.03206396,0.16219844,68.00000000,56.00000000,0.54838710,0.04340607,0.04367474,0.18926617,0.52689656,0.15124900,sector_coverage,quiet_drift_sector_coverage_bottom,63d,up,same_direction,0.81481481,0.62962963
10,AMP,"Ameriprise Financial, Inc.",Financial Services,49406533632.00000000,2026-08-28,559.32000732,0.02729307,0.25489672,0.18973882,0.23788372,0.06822103,XLF,0.12849121,0.06004801,0.04560115,0.01764789,0.06511600,0.32567929,37.00000000,26.00000000,0.58730159,0.02848828,0.06597206,0.25015244,0.04869696,0.02902445,0.03428826,0.12256520,69.00000000,57.00000000,0.54761905,0.02961375,0.02934869,0.05132628,0.63891204,0.57881561,sector_coverage,quiet_drift_sector_coverage_bottom,63d,up,same_direction,0.76592593,0.53185185
