rank,ticker,company_name,sector,industry,exchange,market_cap,market_data_date,price,return_1d,return_5d,return_21d,return_63d,return_126d,spy_return_63d,spy_return_126d,spy_relative_21d,spy_relative_63d,spy_relative_126d,sector_etf,sector_etf_return_21d,sector_etf_return_63d,sector_etf_return_126d,sector_relative_21d,sector_relative_63d,sector_relative_126d,volume_ratio_5d_vs_prev20d,avg_dollar_volume_20d,volatility_ratio_20d_vs_prev120d,max_daily_move_21d,max_daily_move_date_21d,max_daily_move_signed_21d,max_1d_share_of_abs_move_21d,directional_efficiency_21d,post_max_move_return_5d,post_max_move_return_10d,max_gap_21d,distance_from_52w_high,distance_from_52w_low,trigger_conditions,trigger_count,selection_reason,signal_score,first_trigger_date,trigger_days_last_5,trigger_days_last_10,consecutive_trigger_days,rank_previous,rank_change,new_entry,persistent_signal
1,CRNX,"Crinetics Pharmaceuticals, Inc.",Healthcare,,NMS,8853535744.00000000,2026-07-23,83.65000153,-0.00083612,-0.00309858,1.32943475,1.13938631,0.50965533,0.03792125,0.07700608,1.32316417,1.10146507,0.43264925,XLV,0.06084906,0.10288289,0.02009357,1.26858569,1.03650342,0.48956176,0.53008188,682677822.26188660,6.66258140,0.98738999,2026-07-07,0.98738999,0.79827563,0.90821638,0.00215492,0.00442958,0.98857969,-0.00309858,2.11545625,spy_relative;sector_relative;volatility;single_day_move;gap,5,threshold_and_sector_coverage,65.06670000,2026-07-10,5,9,9,1.00000000,0.00000000,True,True
2,UTZ,Utz Brands Inc,Consumer Defensive,,NYQ,1247487232.00000000,2026-07-23,14.09000015,0.00213369,0.88368986,0.99858153,0.85394741,0.36003867,0.03792125,0.07700608,0.99231094,0.81602617,0.28303259,XLP,-0.00609176,0.01339664,0.00934009,1.00467329,0.84055077,0.35069858,9.89822038,77621687.48167515,6.49105585,0.88724843,2026-07-21,0.88724843,0.65799965,0.63357271,,,0.88993292,-0.02558782,1.07205879,spy_relative;sector_relative;volume;volatility;single_day_move;gap,6,threshold_and_sector_coverage,60.17700000,2026-07-21,3,3,3,2.00000000,0.00000000,True,True
3,WLFC,Willis Lease Finance Corporatio,Industrials,,NGM,1613000704.00000000,2026-07-23,67.48999786,0.01764171,-0.67389836,-0.67703499,-0.64832475,-0.61694763,0.03792125,0.07700608,-0.68330558,-0.68624600,-0.69395371,XLI,0.02127426,0.06372784,0.09365233,-0.69830925,-0.71205259,-0.71059996,1.18874655,32751585.93189240,4.50172276,0.67064962,2026-07-20,-0.67064962,0.57447671,0.70226645,,,0.66423167,-0.71868619,0.06923319,spy_relative;sector_relative;volatility;single_day_move;gap,5,threshold_and_sector_coverage,39.34110000,2026-07-22,2,2,2,3.00000000,0.00000000,True,False
4,TRAX,"First Tracks Biotherapeutics, I",Healthcare,,NMS,1313349120.00000000,2026-07-23,37.63999939,-0.01388522,0.03949186,1.11698526,0.99470046,,0.03792125,0.07700608,1.11071468,0.95677922,,XLV,0.06084906,0.10288289,0.02009357,1.05613620,0.89181757,,0.69886420,28596163.97581100,,0.55994226,2026-07-09,0.55994226,0.39658160,0.58802662,0.11759251,0.16172832,0.02863259,-0.01388522,1.45691907,spy_relative;sector_relative;single_day_move,3,threshold_and_sector_coverage,35.08480000,2026-07-10,5,9,9,4.00000000,0.00000000,True,True
5,ATAI,AtaiBeckley Inc.,Healthcare,,NGM,2652573184.00000000,2026-07-23,7.17000008,-0.00139272,0.00279720,0.74878055,0.52229300,0.83846151,0.03792125,0.07700608,0.74250996,0.48437175,0.76145543,XLV,0.06084906,0.10288289,0.02009357,0.68793149,0.41941011,0.81836795,1.03426299,143615593.34005117,2.05112361,0.33395521,2026-07-16,0.33395521,0.28041583,0.49738257,0.00279720,,0.31809699,-0.00692517,1.16616320,spy_relative;sector_relative;volatility;single_day_move;gap,5,threshold,28.56300000,2026-07-10,5,9,9,5.00000000,0.00000000,True,True
6,MAN,ManpowerGroup,Industrials,,NYQ,2323041792.00000000,2026-07-23,49.95000076,-0.03310103,-0.03291386,0.54835720,0.58370321,0.64579902,0.03792125,0.07700608,0.54208662,0.54578197,0.56879294,XLI,0.02127426,0.06372784,0.09365233,0.52708295,0.51997537,0.55214669,1.15485118,81164320.32382965,2.21914995,0.32368019,2026-07-16,0.32368019,0.34264981,0.48861914,-0.03291386,,0.19887233,-0.05949915,0.93980585,spy_relative;sector_relative;volatility;single_day_move;gap,5,threshold_and_sector_coverage,22.30910000,2026-07-16,5,6,6,6.00000000,0.00000000,True,True
7,CDNA,"CareDx, Inc.",Healthcare,,NGM,1942913024.00000000,2026-07-23,37.61000061,-0.00449969,-0.06767475,0.49721335,0.82307330,0.80556893,0.03792125,0.07700608,0.49094277,0.78515205,0.72856285,XLV,0.06084906,0.10288289,0.02009357,0.43636429,0.72019041,0.78547536,1.01053738,37792140.43340683,1.86537644,0.35596639,2026-07-16,0.35596639,0.43216128,0.52552578,-0.06767475,,0.22352946,-0.06767475,2.25064837,spy_relative;sector_relative;volatility;single_day_move;gap,5,threshold,21.11340000,2026-07-15,5,7,7,8.00000000,1.00000000,True,True
8,ABVX,Abivax SA,Healthcare,,NGM,11431994368.00000000,2026-07-23,131.16000366,0.01102296,-0.04797852,0.33252061,0.13078719,0.09290894,0.03792125,0.07700608,0.32625002,0.09286594,0.01590286,XLV,0.06084906,0.10288289,0.02009357,0.27167154,0.02790430,0.07281537,0.38949335,253533490.12371063,1.53610381,0.38595936,2026-06-30,0.38595936,0.45724940,0.36673619,0.03962178,0.02761525,0.36136248,-0.09737798,0.97262758,spy_relative;sector_relative;volatility;single_day_move;gap,5,threshold,19.17410000,2026-07-10,5,9,9,11.00000000,3.00000000,True,True
9,CLBK,"Columbia Financial, Inc.",Financial Services,,NMS,1145681152.00000000,2026-07-23,11.01000023,0.00639860,0.05542488,0.22209885,0.34268299,0.47425439,0.03792125,0.07700608,0.21582827,0.30476174,0.39724831,XLF,0.03619155,0.06933543,0.04433226,0.18590730,0.27334756,0.42992213,24.93780039,82742847.12394714,1.11508456,0.04611438,2026-07-20,0.04611438,0.14708041,0.64608148,,,0.03576477,-0.01134695,0.76416609,spy_relative;sector_relative;volume,3,threshold,18.87600000,2026-07-20,4,4,4,10.00000000,1.00000000,True,True
10,QDEL,QuidelOrtho Corporation,Healthcare,,NMS,1130606592.00000000,2026-07-23,16.57999992,-0.00599523,-0.09100876,0.38860976,0.39327735,-0.43643780,0.03792125,0.07700608,0.38233917,0.35535610,-0.51344388,XLV,0.06084906,0.10288289,0.02009357,0.32776070,0.29039446,-0.45653137,0.60061769,27282393.74783516,1.42255514,0.32197241,2026-06-29,0.32197241,0.36389393,0.39148179,-0.06747118,-0.03126713,0.23277738,-0.53137367,0.66465862,spy_relative;sector_relative;single_day_move;gap,4,threshold,16.80120000,2026-07-10,5,9,9,14.00000000,4.00000000,True,True
11,IONS,"Ionis Pharmaceuticals, Inc.",Healthcare,,NMS,9233218560.00000000,2026-07-23,55.86999893,0.03443808,0.02232383,-0.26477167,-0.25337435,-0.29670195,0.03792125,0.07700608,-0.27104226,-0.29129559,-0.37370803,XLV,0.06084906,0.10288289,0.02009357,-0.32562074,-0.35625724,-0.31679552,0.99650039,292115028.40114594,3.42364642,0.23904810,2026-07-09,-0.23904810,0.35038097,0.42735153,-0.14968096,-0.13069859,0.19748994,-0.35410406,0.37306466,spy_relative;sector_relative;volatility;single_day_move;gap,5,threshold,15.97700000,2026-07-10,5,9,9,12.00000000,1.00000000,True,True
