rank,ticker,company_name,sector,market_cap,market_data_date,price,return_21d,return_63d,return_126d,spy_relative_63d,spy_relative_126d,sector_etf,sector_relative_63d,sector_relative_126d,max_daily_move_63d,max_gap_63d,max_1d_share_of_abs_move_63d,directional_efficiency_63d,positive_days_63d,negative_days_63d,positive_day_ratio_63d,relative_max_daily_move_63d,relative_max_1d_share_of_abs_move_63d,relative_directional_efficiency_63d,max_daily_move_126d,max_gap_126d,max_1d_share_of_abs_move_126d,directional_efficiency_126d,positive_days_126d,negative_days_126d,positive_day_ratio_126d,relative_max_daily_move_126d,relative_max_1d_share_of_abs_move_126d,relative_directional_efficiency_126d,volume_ratio_5d_vs_prev20d,volatility_ratio_20d_vs_prev120d,selection_bucket,selection_reason,anchor_horizon,drift_direction,trend_consistency,tail_percentile,tail_distance
1,MKTX,"MarketAxess Holdings, Inc.",Financial Services,3990014208.00000000,2026-07-21,112.26999664,-0.06698251,-0.31941081,-0.36239212,-0.37522984,-0.44425323,XLF,-0.38553279,-0.39306813,0.04725805,0.02633699,0.04565857,0.36955116,24.00000000,39.00000000,0.38095238,0.04899431,0.04572373,0.41886315,0.05482655,0.03678877,0.03002626,0.24569211,57.00000000,69.00000000,0.45238095,0.05929133,0.02844717,0.23041584,0.54101023,1.16975879,global_tail,quiet_drift_sector_relative_63d_bottom;quiet_drift_sector_coverage_bottom,63d,down,same_direction,0.03216651,0.93566698
2,DINO,HF Sinclair Corporation,Energy,16529455104.00000000,2026-07-21,91.69000244,0.42155043,0.58386601,0.88546166,0.52804699,0.80360054,XLE,0.52158164,0.65878936,0.06329457,0.05262419,0.04922120,0.35967558,40.00000000,23.00000000,0.63492063,0.04659570,0.04557544,0.39070072,0.10855659,0.17113220,0.04061718,0.23795415,75.00000000,51.00000000,0.59523810,0.13389480,0.06400632,0.20549152,1.33962112,0.78633265,global_tail,quiet_drift_sector_relative_63d_top;quiet_drift_sector_coverage_top,63d,up,same_direction,0.96215705,0.92431410
3,RLJ,RLJ Lodging Trust,Real Estate,1869067008.00000000,2026-07-21,12.23999977,0.07086609,0.48724185,0.59791123,0.43142283,0.51605011,XLRE,0.47469702,0.52707489,0.05029941,0.01981976,0.05714797,0.45377659,45.00000000,17.00000000,0.72580645,0.04703570,0.05220834,0.42673625,0.06796113,0.03606099,0.03489326,0.24179262,76.00000000,47.00000000,0.61788618,0.04864073,0.02638906,0.21715169,0.83593091,0.88348340,global_tail,quiet_drift_sector_relative_63d_top;quiet_drift_sector_coverage_top,63d,up,same_direction,0.95648061,0.91296121
4,CAKE,The Cheesecake Factory Incorpor,Consumer Cyclical,4326104576.00000000,2026-07-21,87.06999969,0.12799581,0.40119087,0.46804919,0.34537184,0.38618808,XLY,0.44290272,0.52880144,0.06946504,0.03781718,0.06314096,0.30827150,38.00000000,25.00000000,0.60317460,0.07562418,0.06275521,0.31527666,0.06946504,0.03781718,0.03039189,0.16840897,71.00000000,55.00000000,0.56349206,0.07562418,0.03334837,0.19694402,1.02459090,0.83186772,global_tail,quiet_drift_sector_relative_63d_top;quiet_drift_sector_coverage_top,63d,up,same_direction,0.95033113,0.90066225
5,STLA,Stellantis N.V.,Consumer Cyclical,16747595776.00000000,2026-07-21,5.78000021,-0.08832806,-0.33486761,-0.39791667,-0.39068663,-0.47977778,XLY,-0.29315575,-0.33716442,0.06676133,0.06753247,0.04618455,0.28051947,23.00000000,39.00000000,0.37096774,0.06893029,0.05748616,0.30453645,0.23689725,0.24947590,0.07976197,0.16863780,56.00000000,68.00000000,0.45161290,0.27443899,0.10999620,0.17823082,0.78648009,0.74733275,sector_coverage,quiet_drift_sector_coverage_bottom,63d,down,same_direction,0.07710501,0.84578997
6,STN,Stantec Inc,Industrials,7785072128.00000000,2026-07-21,68.25000000,0.00827297,-0.25766806,-0.31777290,-0.31348709,-0.39963401,XLI,-0.28504017,-0.38823431,0.06621332,0.02540746,0.06749423,0.30201640,26.00000000,37.00000000,0.41269841,0.07798405,0.07578536,0.31580094,0.11651668,0.04101496,0.05900957,0.19251239,58.00000000,68.00000000,0.46031746,0.11185708,0.06002920,0.24175585,0.73569332,0.76812260,sector_coverage,quiet_drift_sector_coverage_bottom,63d,down,same_direction,0.07947020,0.84105960
7,CON,Concentra Group Holdings Parent,Healthcare,4066625280.00000000,2026-07-21,31.78000069,0.11274514,0.38898609,0.47471006,0.33316707,0.39284895,XLV,0.30195583,0.44575158,0.03704905,0.02838983,0.04587062,0.40921848,36.00000000,26.00000000,0.58064516,0.03829707,0.04809918,0.30786405,0.03903506,0.03113012,0.02383675,0.23806436,67.00000000,56.00000000,0.54471545,0.03962662,0.02560705,0.23257963,0.82030313,0.98089701,sector_coverage,quiet_drift_sector_coverage_top,63d,up,same_direction,0.91627247,0.83254494
8,PSX,Phillips 66,Energy,85106475008.00000000,2026-07-21,212.27000427,0.27765743,0.36288927,0.53507381,0.30707025,0.45321269,XLE,0.30060490,0.30840151,0.05271816,0.03722396,0.04798818,0.28289252,40.00000000,23.00000000,0.63492063,0.03739485,0.05513064,0.36736992,0.05271816,0.04579279,0.02553766,0.20828718,70.00000000,56.00000000,0.55555556,0.03739485,0.02931166,0.17579496,0.77119972,0.99502697,sector_coverage,quiet_drift_sector_coverage_bottom,63d,up,same_direction,0.91579943,0.83159886
9,MSGE,Madison Square Garden Entertain,Communication Services,3616957952.00000000,2026-07-21,76.45999908,0.04126377,0.21577357,0.28547410,0.15995454,0.20361299,XLC,0.28920516,0.33010378,0.03412869,0.03241234,0.04471481,0.25666635,35.00000000,28.00000000,0.55555556,0.04936135,0.05799638,0.31916870,0.04232166,0.03241234,0.02472424,0.14708516,65.00000000,61.00000000,0.51587302,0.04936135,0.03022192,0.18170853,0.71630410,0.88016826,sector_coverage,quiet_drift_sector_coverage_top,63d,up,same_direction,0.91059603,0.82119205
10,MSM,"MSC Industrial Direct Company, ",Industrials,7060647424.00000000,2026-07-21,126.43000031,0.06682979,0.30165761,0.49162337,0.24583859,0.40976226,XLI,0.27428550,0.42116196,0.06480626,0.03025656,0.07950407,0.32557598,31.00000000,31.00000000,0.50000000,0.06256101,0.08691646,0.32875783,0.06480626,0.03999128,0.03873836,0.24030758,65.00000000,60.00000000,0.52000000,0.06256101,0.04411618,0.23395813,0.83585623,0.81112195,sector_coverage,quiet_drift_sector_coverage_top,63d,up,same_direction,0.90586566,0.81173132
11,VOYA,"Voya Financial, Inc.",Financial Services,8907965440.00000000,2026-07-21,98.25000000,0.08924616,0.30132450,0.31808423,0.24550548,0.23622312,XLF,0.23520253,0.28740822,0.04118816,0.02998596,0.05805540,0.37305032,34.00000000,29.00000000,0.53968254,0.04824641,0.07515918,0.31055877,0.07360814,0.08951264,0.04330320,0.16250615,70.00000000,55.00000000,0.56000000,0.04824641,0.03646076,0.18588016,0.78136389,0.66402444,sector_coverage,quiet_drift_sector_coverage_top,63d,up,same_direction,0.88647114,0.77294229
12,LOPE,"Grand Canyon Education, Inc.",Consumer Defensive,3668783104.00000000,2026-07-21,138.36999512,-0.02274173,-0.20804719,-0.22390487,-0.26386622,-0.30576599,XLP,-0.22831662,-0.24765346,0.04852346,0.02259414,0.05601518,0.26793533,25.00000000,38.00000000,0.39682540,0.06451771,0.07367582,0.28927832,0.07861009,0.02259414,0.04405650,0.14132864,61.00000000,65.00000000,0.48412698,0.07863282,0.04104704,0.14457101,1.23469349,1.06953877,sector_coverage,quiet_drift_sector_coverage_bottom,63d,down,same_direction,0.11873226,0.76253548
13,RGLD,"Royal Gold, Inc.",Basic Materials,16464968704.00000000,2026-07-21,194.00999451,-0.09687186,-0.26675234,-0.26821817,-0.32257137,-0.35007929,XLB,-0.22597116,-0.29738823,0.06404138,0.05415036,0.05297308,0.25557858,22.00000000,41.00000000,0.34920635,0.04681915,0.05264448,0.30205992,0.09819170,0.07387495,0.03543407,0.11224833,56.00000000,70.00000000,0.44444444,0.08864569,0.04112188,0.15819847,0.72665526,0.70695614,sector_coverage,quiet_drift_sector_coverage_bottom,63d,down,same_direction,0.12015137,0.75969726
14,DRH,Diamondrock Hospitality Company,Real Estate,2662404096.00000000,2026-07-21,12.97000027,0.05361493,0.23406280,0.39312564,0.17824377,0.31126452,XLRE,0.22151796,0.32228930,0.04007828,0.02021902,0.05363956,0.28266115,36.00000000,24.00000000,0.60000000,0.03890263,0.05018194,0.25520758,0.05036731,0.03148751,0.03189288,0.21067555,69.00000000,53.00000000,0.56557377,0.03890263,0.02612953,0.17672167,1.16037593,0.83605343,sector_coverage,quiet_drift_sector_coverage_bottom,63d,up,same_direction,0.87795648,0.75591296
