rank,ticker,company_name,sector,market_cap,market_data_date,price,return_21d,return_63d,return_126d,spy_relative_63d,spy_relative_126d,sector_etf,sector_relative_63d,sector_relative_126d,max_daily_move_63d,max_gap_63d,max_1d_share_of_abs_move_63d,directional_efficiency_63d,positive_days_63d,negative_days_63d,positive_day_ratio_63d,relative_max_daily_move_63d,relative_max_1d_share_of_abs_move_63d,relative_directional_efficiency_63d,max_daily_move_126d,max_gap_126d,max_1d_share_of_abs_move_126d,directional_efficiency_126d,positive_days_126d,negative_days_126d,positive_day_ratio_126d,relative_max_daily_move_126d,relative_max_1d_share_of_abs_move_126d,relative_directional_efficiency_126d,volume_ratio_5d_vs_prev20d,volatility_ratio_20d_vs_prev120d,selection_bucket,selection_reason,anchor_horizon,drift_direction,trend_consistency,tail_percentile,tail_distance
1,CHEF,"The Chefs' Warehouse, Inc.",Consumer Defensive,4588335616.00000000,2026-08-31,112.47000122,-0.02496747,0.46121865,0.70875117,0.44999972,0.59122154,XLP,0.42525614,0.75079824,0.06238762,0.02284457,0.05485055,0.33595310,38.00000000,25.00000000,0.60317460,0.08239091,0.07395301,0.30871589,0.17839352,0.04777174,0.07935404,0.24077918,72.00000000,54.00000000,0.57142857,0.16607984,0.07416410,0.25843116,0.90499206,0.59634649,global_tail,quiet_drift_sector_relative_63d_top;quiet_drift_sector_relative_126d_top;quiet_drift_sector_coverage_top,63d,up,same_direction,0.95994065,0.91988131
2,LTH,"Life Time Group Holdings, Inc.",Consumer Cyclical,9389871104.00000000,2026-08-31,42.02000046,-0.06829264,0.34077857,0.58925868,0.32955963,0.47172906,XLY,0.35431614,0.57912181,0.06736045,0.02782804,0.06434095,0.28144003,40.00000000,23.00000000,0.63492063,0.05083211,0.04418826,0.26677065,0.14329480,0.04400609,0.06230016,0.20323529,68.00000000,58.00000000,0.53968254,0.11878409,0.05053421,0.19279674,0.88860635,0.72078952,sector_coverage,quiet_drift_sector_coverage_top,63d,up,same_direction,0.94362018,0.88724036
3,NIO,NIO Inc.,Consumer Cyclical,10598971392.00000000,2026-08-31,4.23000002,-0.13319674,-0.29264214,-0.10381352,-0.30386107,-0.22134314,XLY,-0.27910456,-0.11395039,0.05831533,0.04462480,0.04865214,0.28702976,27.00000000,35.00000000,0.43548387,0.06245453,0.04926803,0.26236660,0.15384610,0.06785716,0.04713167,0.03369950,58.00000000,65.00000000,0.47154472,0.14441062,0.04385824,0.03635125,1.04139420,0.63689116,sector_coverage,quiet_drift_sector_coverage_bottom,63d,down,same_direction,0.07022750,0.85954500
4,MMSI,"Merit Medical Systems, Inc.",Healthcare,5413346816.00000000,2026-08-31,90.66000366,0.06646279,0.46107985,0.18509809,0.44986092,0.06756846,XLV,0.30753550,0.10933959,0.03940642,0.05146972,0.04157024,0.40212018,40.00000000,22.00000000,0.64516129,0.04707397,0.06032138,0.30284562,0.09049578,0.05146972,0.04619137,0.08671414,65.00000000,59.00000000,0.52419355,0.08915408,0.05343163,0.05801370,0.44723835,0.55445888,sector_coverage,quiet_drift_sector_coverage_top,63d,up,same_direction,0.92631058,0.85262117
5,LXP,LXP Industrial Trust,Real Estate,3579295488.00000000,2026-08-31,60.70999908,0.00297374,0.20912169,0.23670806,0.19790276,0.11917844,XLRE,0.18970870,0.23238196,0.03999317,0.03862591,0.07936003,0.37836966,39.00000000,23.00000000,0.62903226,0.04340607,0.09655347,0.37963623,0.04013448,0.03862591,0.03230018,0.17135299,69.00000000,55.00000000,0.55645161,0.04340607,0.04379236,0.20998861,0.74877105,0.14890956,sector_coverage,quiet_drift_sector_coverage_top,63d,up,same_direction,0.86251236,0.72502473
6,CCEP,Coca-Cola Europacific Partners ,Consumer Defensive,47677714432.00000000,2026-08-31,108.01999664,-0.01315551,0.20437054,-0.00101730,0.19315161,-0.11854692,XLP,0.16840803,0.04102977,0.06025781,0.03947234,0.08575174,0.26585737,37.00000000,26.00000000,0.58730159,0.05574713,0.09609270,0.25963792,0.06025781,0.03947234,0.04044054,0.00068356,62.00000000,63.00000000,0.49600000,0.05574713,0.04615253,0.03472076,0.61670053,0.81784085,sector_coverage,quiet_drift_sector_coverage_bottom,63d,up,same_direction,0.83877349,0.67754698
