rank,ticker,company_name,sector,market_cap,market_data_date,price,return_21d,return_63d,return_126d,spy_relative_63d,spy_relative_126d,sector_etf,sector_relative_63d,sector_relative_126d,max_daily_move_63d,max_gap_63d,max_1d_share_of_abs_move_63d,directional_efficiency_63d,positive_days_63d,negative_days_63d,positive_day_ratio_63d,relative_max_daily_move_63d,relative_max_1d_share_of_abs_move_63d,relative_directional_efficiency_63d,max_daily_move_126d,max_gap_126d,max_1d_share_of_abs_move_126d,directional_efficiency_126d,positive_days_126d,negative_days_126d,positive_day_ratio_126d,relative_max_daily_move_126d,relative_max_1d_share_of_abs_move_126d,relative_directional_efficiency_126d,volume_ratio_5d_vs_prev20d,volatility_ratio_20d_vs_prev120d,selection_bucket,selection_reason,anchor_horizon,drift_direction,trend_consistency,tail_percentile,tail_distance
1,MKTX,"MarketAxess Holdings, Inc.",Financial Services,4084193792.00000000,2026-07-20,114.91999817,-0.04153464,-0.32000001,-0.34203598,-0.36499116,-0.41404863,XLF,-0.38885373,-0.37275149,0.04725805,0.02633699,0.04562129,0.37007511,24.00000000,39.00000000,0.38095238,0.04899431,0.04557804,0.42071483,0.05482655,0.03678877,0.03027379,0.23045130,58.00000000,68.00000000,0.46031746,0.05929133,0.02869176,0.21720768,0.52921084,1.18926121,global_tail,quiet_drift_sector_relative_63d_bottom;quiet_drift_sector_coverage_bottom,63d,down,same_direction,0.03036053,0.93927894
2,DINO,HF Sinclair Corporation,Energy,16298702848.00000000,2026-07-20,90.41000366,0.37171899,0.58197727,0.81473312,0.53698613,0.74272047,XLE,0.52890570,0.59776194,0.06329457,0.05262419,0.04926754,0.35907745,40.00000000,23.00000000,0.63492063,0.04659570,0.04524278,0.39514799,0.10855659,0.17113220,0.04046988,0.22276222,74.00000000,52.00000000,0.58730159,0.13389480,0.06335772,0.18907419,1.27194526,0.78716248,global_tail,quiet_drift_sector_relative_63d_top;quiet_drift_sector_coverage_top,63d,up,same_direction,0.96062619,0.92125237
3,RLJ,RLJ Lodging Trust,Real Estate,1832418560.00000000,2026-07-20,12.00000000,0.08108104,0.48331270,0.56862743,0.43832156,0.49661478,XLRE,0.46645119,0.48397518,0.05029941,0.01981976,0.05732347,0.45211963,45.00000000,17.00000000,0.72580645,0.04703570,0.05261125,0.42231215,0.06796113,0.03606099,0.03523139,0.23448817,76.00000000,47.00000000,0.61788618,0.04864073,0.02652746,0.20121170,0.72683551,0.86820179,global_tail,quiet_drift_sector_relative_63d_top;quiet_drift_sector_coverage_top,63d,up,same_direction,0.95351044,0.90702087
4,CAKE,The Cheesecake Factory Incorpor,Consumer Cyclical,4278406656.00000000,2026-07-20,86.11000061,0.14022781,0.37380345,0.41744857,0.32881230,0.34543592,XLY,0.42197223,0.48338171,0.06946504,0.03781718,0.06328669,0.29087924,37.00000000,26.00000000,0.58730159,0.07562418,0.06299898,0.30568953,0.06946504,0.03781718,0.03022586,0.15216210,70.00000000,56.00000000,0.55555556,0.07562418,0.03317424,0.18295523,0.92045988,0.83467469,sector_coverage,quiet_drift_sector_coverage_top,63d,up,same_direction,0.94734345,0.89468691
5,BWXT,"BWX Technologies, Inc.",Industrials,15534179328.00000000,2026-07-20,169.55999756,-0.16501703,-0.28085504,-0.20487692,-0.32584619,-0.27688957,XLI,-0.30742412,-0.27931289,0.06382510,0.03006943,0.04907227,0.25242090,24.00000000,38.00000000,0.38709677,0.05814636,0.05623419,0.34421012,0.09853945,0.06603483,0.03430328,0.07965351,58.00000000,67.00000000,0.46400000,0.10639910,0.04582683,0.12966612,1.02105046,0.78707875,sector_coverage,quiet_drift_sector_coverage_bottom,63d,down,same_direction,0.06214421,0.87571157
6,STLA,Stellantis N.V.,Consumer Cyclical,16660670464.00000000,2026-07-20,5.75000000,-0.11128282,-0.33294663,-0.42614773,-0.37793777,-0.49816038,XLY,-0.28477785,-0.36021459,0.06676133,0.06753247,0.04609198,0.27798398,23.00000000,39.00000000,0.37096774,0.06893029,0.05702747,0.29412717,0.23689725,0.24947590,0.07878844,0.18232058,55.00000000,69.00000000,0.44354839,0.27443899,0.10840523,0.19243777,0.95122303,0.74816754,sector_coverage,quiet_drift_sector_coverage_bottom,63d,down,same_direction,0.07542694,0.84914611
7,CON,Concentra Group Holdings Parent,Healthcare,4006483200.00000000,2026-07-20,31.30999947,0.10324173,0.36964123,0.45088043,0.32465009,0.37886777,XLV,0.29941276,0.43629076,0.03704905,0.02838983,0.04668776,0.39871552,36.00000000,26.00000000,0.58064516,0.03829707,0.04800560,0.30921063,0.03903506,0.03113012,0.02403668,0.22998463,66.00000000,57.00000000,0.53658537,0.03962662,0.02564397,0.23147314,0.81754620,0.97710366,sector_coverage,quiet_drift_sector_coverage_top,63d,up,same_direction,0.91555977,0.83111954
8,MSGE,Madison Square Garden Entertain,Communication Services,3625473024.00000000,2026-07-20,76.63999939,0.04986301,0.22077096,0.28980144,0.17577982,0.21778879,XLC,0.29046026,0.33635506,0.03412869,0.03241234,0.04474978,0.26226208,36.00000000,27.00000000,0.57142857,0.04936135,0.05799152,0.31922573,0.04232166,0.03241234,0.02474360,0.14917077,66.00000000,60.00000000,0.52380952,0.04936135,0.03012276,0.18439337,0.64891272,0.94169193,sector_coverage,quiet_drift_sector_coverage_top,63d,up,same_direction,0.91176471,0.82352941
9,RGLD,"Royal Gold, Inc.",Basic Materials,15900606464.00000000,2026-07-20,187.36000061,-0.14220308,-0.30120840,-0.27702101,-0.34619954,-0.34903366,XLB,-0.26554914,-0.29887558,0.06404138,0.05415036,0.05396982,0.30057938,21.00000000,42.00000000,0.33333333,0.04681915,0.05345610,0.36775100,0.09819170,0.07387495,0.03559407,0.11710801,56.00000000,70.00000000,0.44444444,0.08864569,0.04121688,0.16087423,0.81410997,0.62913655,sector_coverage,quiet_drift_sector_coverage_bottom,63d,down,same_direction,0.09060721,0.81878558
10,PSX,Phillips 66,Energy,83715227648.00000000,2026-07-20,208.80000305,0.24902797,0.33529456,0.49132213,0.29030341,0.41930948,XLE,0.28222298,0.27435095,0.05271816,0.03722396,0.04854738,0.26725723,39.00000000,24.00000000,0.61904762,0.03739485,0.05529223,0.35108112,0.05271816,0.04579279,0.02559050,0.19461740,69.00000000,57.00000000,0.54761905,0.03739485,0.02914606,0.15845319,0.81316662,0.99447796,sector_coverage,quiet_drift_sector_coverage_bottom,63d,up,same_direction,0.90654649,0.81309298
