rank,ticker,company_name,sector,industry,exchange,market_cap,market_data_date,price,return_1d,return_5d,return_21d,spy_relative_21d,sector_etf,sector_etf_return_21d,sector_relative_21d,volume_ratio_5d_vs_prev20d,avg_dollar_volume_20d,volatility_ratio_20d_vs_prev120d,max_daily_move_21d,max_gap_21d,distance_from_52w_high,distance_from_52w_low,trigger_conditions,trigger_count,selection_reason,signal_score,first_trigger_date,trigger_days_last_5,trigger_days_last_10,consecutive_trigger_days,rank_previous,rank_change,new_entry,persistent_signal
81,AEVA,"Aeva Technologies, Inc.",,,NMS,1314234880.00000000,2026-07-13,19.19000053,-0.08575509,-0.20702480,-0.15425297,-0.19233383,,,,0.46082838,52300636.75162468,1.27706283,0.22881766,0.07553239,-0.40459197,1.08813944,spy_relative;single_day_move;gap,3,threshold,6.75200000,2026-07-13,1,1,1,,,True,False
82,DOCN,"DigitalOcean Holdings, Inc.",,,NYQ,13131623424.00000000,2026-07-13,125.76000214,-0.03624801,-0.04270376,-0.26657724,-0.30465810,,,,0.79577522,554412297.72618294,0.83876112,0.09994464,0.10375280,-0.30630478,3.88578101,spy_relative;single_day_move;gap,3,threshold,6.71820000,2026-07-13,1,1,1,,,True,False
83,PRCH,"Porch Group, Inc.",,,NCM,1538210048.00000000,2026-07-13,13.88000011,-0.06531988,-0.06720430,0.47502660,0.43694574,,,,0.54560834,30915594.64446807,0.98343774,0.08571425,0.04296299,-0.27100843,1.16874999,spy_relative;single_day_move,2,threshold,6.68630000,2026-07-13,1,1,1,,,True,False
84,SYRE,"Spyre Therapeutics, Inc.",,,NMS,8195643392.00000000,2026-07-13,93.98999786,-0.03836710,0.05916160,0.25186462,0.21378376,,,,0.50748392,161165747.14050141,1.11396117,0.13561245,0.14250388,-0.06309810,5.34210525,spy_relative;single_day_move;gap,3,threshold,6.64540000,2026-07-13,1,1,1,,,True,False
85,DAVE,Dave Inc.,,,NGM,4965898752.00000000,2026-07-13,394.22000122,-0.01629444,-0.00449495,0.45522337,0.41714250,,,,0.51337288,208138714.79080504,0.90168487,0.10005600,0.04435456,-0.01629444,1.52834791,spy_relative;single_day_move,2,threshold,6.64370000,2026-07-13,1,1,1,,,True,False
86,JBIO,"Jade Biosciences, Inc.",,,NCM,1289620864.00000000,2026-07-13,21.21999931,0.01288776,-0.00375587,0.39056350,0.35248264,,,,0.54362738,26362582.89036131,1.18124949,0.15636154,0.06420927,-0.20968346,2.13441645,spy_relative;single_day_move,2,threshold,6.63980000,2026-07-13,1,1,1,,,True,False
87,CCC,CCC Intelligent Solutions Holdi,,,NMS,3641966080.00000000,2026-07-13,6.18400002,0.04459458,0.08681897,0.31574474,0.27766387,,,,0.86094357,50618195.17544059,1.05085682,0.11581303,0.10594790,-0.38344963,0.46540292,spy_relative;single_day_move;gap,3,threshold,6.63880000,2026-07-13,1,1,1,,,True,False
88,TENB,"Tenable Holdings, Inc.",,,NMS,4270833664.00000000,2026-07-13,38.72499847,-0.02652087,-0.06212164,0.44496267,0.40688181,,,,0.94620915,114957652.04038963,1.30252669,0.10820657,0.03175768,-0.06393523,1.41427658,spy_relative;single_day_move,2,threshold,6.63180000,2026-07-13,1,1,1,,,True,False
89,NAVN,"Navan, Inc.",,,NMS,6607525888.00000000,2026-07-13,25.93000031,0.00038581,-0.01406840,0.24245325,0.20437238,,,,0.74526746,129240594.54608765,0.83798066,0.11931060,0.16195491,-0.04844036,2.04700348,spy_relative;single_day_move;gap,3,threshold,6.57270000,2026-07-13,1,1,1,,,True,False
90,BRUN,Boost Run Inc.,,,NGM,1557523968.00000000,2026-07-13,25.42000008,-0.10618848,-0.21324670,-0.15238412,-0.19046498,,,,0.53928342,52850123.96683140,1.46323214,0.21151355,0.07705789,-0.35153062,1.48727979,spy_relative;single_day_move;gap,3,threshold,6.50330000,2026-07-13,1,1,1,,,True,False
91,COMP,"Compass, Inc.",,,NYQ,8625882112.00000000,2026-07-13,11.50000000,-0.01877135,-0.11470360,0.45385591,0.41577504,,,,0.72859217,176658147.10871202,0.83974186,0.08545032,0.04074499,-0.15316642,0.77469135,spy_relative;single_day_move,2,threshold,6.41790000,2026-07-13,1,1,1,,,True,False
92,BAND,Bandwidth Inc.,,,NMS,2358715136.00000000,2026-07-13,72.94999695,-0.03351890,0.20240645,0.22997800,0.19189714,,,,0.87777422,97901378.52357483,1.02983834,0.19145998,0.08846029,-0.06998987,4.69032751,spy_relative;single_day_move;gap,3,threshold,6.39760000,2026-07-13,1,1,1,,,True,False
93,LZB,La-Z-Boy Incorporated,,,NYQ,1573552512.00000000,2026-07-13,39.16999817,-0.00025529,-0.00583765,0.04844747,0.01036661,,,,0.41720685,33432998.27287292,2.07645387,0.14774672,0.20308040,-0.06403824,0.33503742,volatility;single_day_move;gap,3,threshold,6.39610000,2026-07-13,1,1,1,,,True,False
94,DMRA,"Damora Therapeutics, Inc.",,,NCM,1740416512.00000000,2026-07-13,28.27499962,-0.00893800,-0.05117449,0.40322581,0.36514495,,,,0.51920525,24213280.14359016,0.95452570,0.12505891,0.02977669,-0.17179261,9.95930250,spy_relative;single_day_move,2,threshold,6.35090000,2026-07-13,1,1,1,,,True,False
95,TE,T1 Energy Inc.,,,NYQ,1837633664.00000000,2026-07-13,6.51999998,-0.04817517,-0.24624274,-0.15653299,-0.19461386,,,,0.76268323,274096888.96897364,0.88906637,0.19653178,0.07740379,-0.45847176,4.62068980,spy_relative;single_day_move;gap,3,threshold,6.34600000,2026-07-13,1,1,1,,,True,False
96,IRDM,Iridium Communications Inc,,,NMS,5269205504.00000000,2026-07-13,49.50500107,-0.01108670,-0.05866132,0.08539795,0.04731709,,,,0.53763552,167509115.71339226,1.48602954,0.25436580,0.18933818,-0.11153984,2.12531569,single_day_move;gap,2,threshold,6.33860000,2026-07-13,1,1,1,,,True,False
97,ALMS,Alumis Inc.,,,NMS,3517503744.00000000,2026-07-13,27.37000084,-0.03320377,0.00366705,0.36440686,0.32632600,,,,1.03135396,48068289.16422882,0.50835456,0.15550240,0.03253796,-0.09669962,7.26888257,spy_relative;single_day_move,2,threshold,6.30050000,2026-07-13,1,1,1,,,True,False
98,CNXC,Concentrix Corporation,,,NMS,1408303616.00000000,2026-07-13,23.14999962,0.04279274,-0.01152863,-0.10097089,-0.13905175,,,,0.60984734,63263775.73021145,1.15076783,0.11196983,0.20650017,-0.62661291,0.10395805,spy_relative;single_day_move;gap,3,threshold,6.28770000,2026-07-13,1,1,1,,,True,False
99,FRVO,Fervo Energy Company,,,NMS,7973092352.00000000,2026-07-13,27.06500053,-0.00239582,-0.02923238,-0.18158449,-0.21966536,,,,1.26222618,96024655.26789618,,0.16037339,0.08691933,-0.36317646,0.14828175,spy_relative;single_day_move;gap,3,threshold,6.27860000,2026-07-13,1,1,1,,,True,False
100,MXL,"MaxLinear, Inc",,,NMS,7667820544.00000000,2026-07-13,86.03500366,-0.05766702,-0.10080473,0.19576105,0.15768018,,,,0.56372415,341875294.64855957,1.02484553,0.18032633,0.11945255,-0.32800903,5.59272049,spy_relative;single_day_move;gap,3,threshold,6.25360000,2026-07-13,1,1,1,,,True,False
101,ALGT,Allegiant Travel Company,,,NMS,2971307776.00000000,2026-07-13,109.76999664,-0.01125923,-0.05059683,0.36955701,0.33147615,,,,0.54807398,72032531.76673241,0.77869102,0.07348720,0.07162360,-0.07880167,1.28117205,spy_relative;single_day_move;gap,3,threshold,6.21650000,2026-07-13,1,1,1,,,True,False
102,AMPX,"Amprius Technologies, Inc.",,,NYQ,1570645376.00000000,2026-07-13,11.02350044,-0.04392882,-0.15786858,-0.32906268,-0.36714354,,,,0.78407725,97834473.96734008,0.81649223,0.11331441,0.04576854,-0.51883455,0.73325475,spy_relative;single_day_move,2,threshold,6.20810000,2026-07-13,1,1,1,,,True,False
103,VSAT,"ViaSat, Inc.",,,NMS,9712101376.00000000,2026-07-13,71.40000153,-0.02936373,-0.14797137,0.16097563,0.12289477,,,,0.55784670,228594482.37025681,1.49080584,0.23793384,0.08781273,-0.20498827,3.93434694,spy_relative;single_day_move;gap,3,threshold,6.18970000,2026-07-13,1,1,1,,,True,False
104,ROKU,"Roku, Inc.",,,NMS,21074972672.00000000,2026-07-13,142.08999634,0.00995091,-0.00119498,0.21506750,0.17698664,,,,0.26661720,1140559254.01210785,1.66125181,0.20076901,0.04321296,-0.01092863,0.77656902,spy_relative;volatility;single_day_move,3,threshold,6.18800000,2026-07-13,1,1,1,,,True,False
105,LASR,"nLIGHT, Inc.",,,NMS,4038863360.00000000,2026-07-13,71.20500183,-0.01172798,0.09042877,0.13564595,0.09756509,,,,1.21112437,93847669.28669587,1.34142922,0.27317653,0.07392632,-0.16180101,2.86353775,spy_relative;single_day_move;gap,3,threshold,6.17820000,2026-07-13,1,1,1,,,True,False
106,CAPR,"Capricor Therapeutics, Inc.",,,NMS,1204567296.00000000,2026-07-13,20.59499931,-0.04253840,-0.08181012,-0.18693252,-0.22501338,,,,0.67779343,41893481.05617914,1.06816408,0.13026313,0.10526312,-0.41723262,3.47717386,spy_relative;single_day_move;gap,3,threshold,6.17730000,2026-07-13,1,1,1,,,True,False
107,AMAT,"Applied Materials, Inc.",,,NMS,461115785216.00000000,2026-07-13,581.09997559,-0.03551871,-0.01972031,0.16919169,0.13111083,,,,0.63357481,7697554769.00731850,1.77633779,0.13418346,0.09957931,-0.19626559,2.71903984,spy_relative;volatility;single_day_move;gap,4,threshold,6.16260000,2026-07-13,1,1,1,,,True,False
108,ACMR,"ACM Research, Inc.",,,NGM,6761672192.00000000,2026-07-13,98.08999634,-0.04766994,-0.00436460,0.22673834,0.18865747,,,,0.52174691,190547384.29627532,1.36374713,0.16550023,0.09980257,-0.22696827,3.10075234,spy_relative;single_day_move;gap,3,threshold,6.14830000,2026-07-13,1,1,1,,,True,False
109,INOD,Innodata Inc.,,,NGM,2183663872.00000000,2026-07-13,66.48000336,-0.01946902,-0.09080962,-0.33446788,-0.37254874,,,,0.51586459,108331977.12902108,0.44904812,0.10263645,0.06897918,-0.45283948,0.92975332,spy_relative;single_day_move,2,threshold,6.12310000,2026-07-13,1,1,1,,,True,False
110,SENEA,Seneca Foods Corp.,,,NMS,1225628032.00000000,2026-07-13,180.92999268,0.02399678,-0.00237102,0.22291312,0.18483226,,,,0.47420863,27379365.93919067,1.93973360,0.17532328,0.03545334,-0.01657791,0.80496804,spy_relative;volatility;single_day_move,3,threshold,6.10820000,2026-07-13,1,1,1,,,True,False
111,VSH,"Vishay Intertechnology, Inc.",,,NYQ,6487885312.00000000,2026-07-13,42.04000092,-0.05887614,-0.08945197,-0.23074108,-0.26882195,,,,0.57846597,426226207.97408980,1.37724643,0.10330016,0.08635396,-0.35223421,2.55668376,spy_relative;single_day_move;gap,3,threshold,6.06960000,2026-07-13,1,1,1,,,True,False
112,VOYG,"Voyager Technologies, Inc.",,,NYQ,1807495552.00000000,2026-07-13,30.36000061,-0.02567392,-0.10442480,-0.26453485,-0.30261571,,,,0.36081923,80965418.09946060,0.90150105,0.15964148,0.05135666,-0.41355997,0.68760428,spy_relative;single_day_move,2,threshold,6.06330000,2026-07-13,1,1,1,,,True,False
113,CBRS,Cerebras Systems Inc.,,,NMS,46282719232.00000000,2026-07-13,207.30999756,-0.03612611,0.07968337,-0.12649056,-0.16457142,,,,0.47760463,1521564953.47767949,,0.19610095,0.08256881,-0.33355839,0.23018035,spy_relative;single_day_move;gap,3,threshold,6.03810000,2026-07-13,1,1,1,,,True,False
114,GPC,Genuine Parts Company,,,NYQ,17708853248.00000000,2026-07-13,127.08999634,0.01170191,-0.01220276,0.29117135,0.25309049,,,,0.80627301,253839270.52818298,1.53629952,0.12921640,0.02542061,-0.14853275,0.37439164,spy_relative;volatility;single_day_move,3,threshold,6.03380000,2026-07-13,1,1,1,,,True,False
115,IREN,IREN LIMITED,,,NMS,14722358272.00000000,2026-07-13,41.15000153,0.00024312,-0.06285580,-0.20128103,-0.23936190,,,,0.71764719,1831422010.10180140,0.85063635,0.13111799,0.08114378,-0.46145793,1.67207809,spy_relative;single_day_move;gap,3,threshold,6.02430000,2026-07-13,1,1,1,,,True,False
116,ASTS,"AST SpaceMobile, Inc.",,,NMS,27157078016.00000000,2026-07-13,70.01999664,-0.04500823,-0.13169646,-0.19812189,-0.23620275,,,,0.35164586,1684755766.38006163,1.04536591,0.21441568,0.06550036,-0.47388986,0.89704679,spy_relative;single_day_move,2,threshold,6.01560000,2026-07-13,1,1,1,,,True,False
117,CAMT,Camtek Ltd.,,,NGM,6373280768.00000000,2026-07-13,136.60000610,-0.05000339,-0.03694297,-0.18051470,-0.21859557,,,,0.85863537,84265908.43853912,1.28744811,0.13452893,0.09380748,-0.34155981,0.78026848,spy_relative;single_day_move;gap,3,threshold,5.99440000,2026-07-13,1,1,1,,,True,False
118,NUTX,Nutex Health Inc.,,,NCM,1280410752.00000000,2026-07-13,185.00000000,0.00592679,-0.04412521,0.38462689,0.34654603,,,,0.68730247,21744959.53367615,0.73131821,0.11599208,0.03695852,-0.05866788,1.28620865,spy_relative;single_day_move,2,threshold,5.98890000,2026-07-13,1,1,1,,,True,False
119,INFQ,"Infleqtion, Inc.",,,NYQ,2361501184.00000000,2026-07-13,10.77499962,-0.03536262,-0.12611519,-0.20655378,-0.24463464,,,,0.44157576,213646775.36157084,0.80115567,0.12315271,0.08196724,-0.45772526,0.22304190,spy_relative;single_day_move;gap,3,threshold,5.98820000,2026-07-13,1,1,1,,,True,False
120,OC,Owens Corning Inc,,,NYQ,11525213184.00000000,2026-07-13,143.11999512,-0.00160454,-0.02500169,0.24365652,0.20557566,,,,0.53244388,200758284.78511658,1.85548500,0.15259623,0.03376152,-0.09964778,0.45624742,spy_relative;volatility;single_day_move,3,threshold,5.98660000,2026-07-13,1,1,1,,,True,False
121,GSHD,"Goosehead Insurance, Inc.",,,NMS,1949075584.00000000,2026-07-13,54.88000107,0.02502802,0.03547172,0.42102544,0.38294458,,,,1.09818204,29231396.90578632,0.92339873,0.08337494,0.03409387,-0.46939959,0.59674142,spy_relative;single_day_move,2,threshold,5.97790000,2026-07-13,1,1,1,,,True,False
122,ERAS,"Erasca, Inc.",,,NMS,5621387776.00000000,2026-07-13,18.06999969,-0.02482466,-0.04137935,0.35153327,0.31345241,,,,0.64125191,89656290.68545513,0.60872403,0.14241103,0.04721036,-0.19581663,11.99999991,spy_relative;single_day_move,2,threshold,5.95260000,2026-07-13,1,1,1,,,True,False
123,MSTR,Strategy Inc,,,NMS,32671420416.00000000,2026-07-13,91.33000183,-0.03497462,-0.09367863,-0.20823578,-0.24631664,,,,0.47293826,2639405436.46535969,1.13591611,0.12598716,0.07461483,-0.79967097,0.10958577,spy_relative;single_day_move;gap,3,threshold,5.94470000,2026-07-13,1,1,1,,,True,False
124,OMDA,"Omada Health, Inc.",,,NMS,1421116672.00000000,2026-07-13,23.79000092,0.02190723,0.04113788,0.39122809,0.35314723,,,,1.01563564,23116036.38397102,0.72784460,0.10529100,0.02680706,-0.11165047,1.17458883,spy_relative;single_day_move,2,threshold,5.91850000,2026-07-13,1,1,1,,,True,False
125,ALGM,"Allegro MicroSystems, Inc.",,,NMS,9556722688.00000000,2026-07-13,51.43000031,-0.06269362,-0.09070016,0.15469239,0.11661153,,,,0.76809760,234605450.91736984,1.85077203,0.14648477,0.07762264,-0.26127552,1.25570184,spy_relative;volatility;single_day_move;gap,4,threshold,5.89300000,2026-07-13,1,1,1,,,True,False
126,NUVB,Nuvation Bio Inc.,,,NYQ,1991715328.00000000,2026-07-13,5.69000006,-0.02065403,0.01607146,0.24235811,0.20427725,,,,0.76735415,51348261.45636737,0.95243882,0.10061921,0.13003098,-0.40356393,1.67136139,spy_relative;single_day_move;gap,3,threshold,5.84850000,2026-07-13,1,1,1,,,True,False
127,SPGI,S&P Global Inc.,,,NYQ,129044160512.00000000,2026-07-13,435.38000488,0.01133567,-0.02647466,0.14083186,0.10275100,,,,0.59070186,1077388446.69507742,1.76180225,0.13840011,0.09618021,-0.13776856,0.24482512,spy_relative;volatility;single_day_move;gap,4,threshold,5.81010000,2026-07-13,1,1,1,,,True,False
128,QS,QuantumScape Corporation,,,NMS,3921549824.00000000,2026-07-13,6.32450008,-0.03882976,-0.12645024,-0.09649999,-0.13458085,,,,1.01128419,174337907.02875671,1.23854495,0.16521737,0.12318839,-0.65702278,0.06115773,spy_relative;single_day_move;gap,3,threshold,5.80230000,2026-07-13,1,1,1,,,True,False
129,CPNG,"Coupang, Inc.",,,NYQ,33863884800.00000000,2026-07-13,18.86000061,0.00319156,-0.01514355,0.24735455,0.20927368,,,,0.45358682,353245405.20254594,0.85480662,0.14087302,0.08201063,-0.43751860,0.24735455,spy_relative;single_day_move;gap,3,threshold,5.80000000,2026-07-13,1,1,1,,,True,False
130,GPGI,"GPGI, Inc.",,,NYQ,4189947136.00000000,2026-07-13,14.39000034,-0.01370801,-0.15352939,0.24913192,0.21105106,,,,0.62688138,27238548.97289395,1.06804807,0.13828121,0.08203126,-0.44653845,0.24913192,spy_relative;single_day_move;gap,3,threshold,5.78550000,2026-07-13,1,1,1,,,True,False
131,BBIO,"BridgeBio Pharma, Inc.",,,NMS,16468993024.00000000,2026-07-13,83.94000244,-0.02270342,0.07961418,0.24530827,0.20722741,,,,1.61025453,377821981.54384613,1.27437246,0.15115532,0.07238603,-0.06909167,0.87324258,spy_relative;single_day_move;gap,3,threshold,5.78380000,2026-07-13,1,1,1,,,True,False
132,RMBS,"Rambus, Inc.",,,NMS,11399798784.00000000,2026-07-13,105.66500092,-0.05740408,-0.06697571,-0.23497680,-0.27305766,,,,0.56894798,446194366.54104459,1.01191347,0.08810469,0.07509803,-0.38084496,0.68122519,spy_relative;single_day_move;gap,3,threshold,5.74470000,2026-07-13,1,1,1,,,True,False
133,FRHC,Freedom Holding Corp.,,,NCM,9744293888.00000000,2026-07-13,158.97999573,-0.04280812,0.05810313,0.14365874,0.10557788,,,,1.08839656,30461280.32691803,2.25120646,0.20418486,0.02753142,-0.16387927,0.41908415,spy_relative;volatility;single_day_move,3,threshold,5.73750000,2026-07-13,1,1,1,,,True,False
134,SEZL,Sezzle Inc.,,,NCM,5547953664.00000000,2026-07-13,165.52000427,-0.07726614,-0.07556548,0.36816002,0.33007916,,,,0.65084152,110132087.82322693,0.83859330,0.11279223,0.05170318,-0.09670378,2.24740044,spy_relative;single_day_move,2,threshold,5.73730000,2026-07-13,1,1,1,,,True,False
135,TTMI,"TTM Technologies, Inc.",,,NMS,14800813056.00000000,2026-07-13,142.58000183,-0.02635892,-0.04558536,-0.17162441,-0.20970528,,,,0.58765097,563039887.15675044,0.91546773,0.13199778,0.08375854,-0.35621077,2.55916118,spy_relative;single_day_move;gap,3,threshold,5.70350000,2026-07-13,1,1,1,,,True,False
136,RUM,RUM Group Inc.,,,NGM,1665493376.00000000,2026-07-13,6.02500010,-0.01712888,-0.07450079,-0.13928570,-0.17736656,,,,0.38760678,23629315.88255763,0.82258166,0.08240226,0.16049384,-0.39870261,0.29014989,spy_relative;single_day_move;gap,3,threshold,5.68700000,2026-07-13,1,1,1,,,True,False
137,KEEL,Keel Infrastructure Corp.,,,NGM,2665903616.00000000,2026-07-13,4.39010000,-0.05589249,-0.09295457,-0.16379048,-0.20187134,,,,0.38048887,302651330.49856555,0.88161721,0.14684014,0.07357354,-0.34082581,3.30401969,spy_relative;single_day_move;gap,3,threshold,5.67220000,2026-07-13,1,1,1,,,True,False
138,ACLS,"Axcelis Technologies, Inc.",,,NMS,4272011520.00000000,2026-07-13,138.85499573,-0.03135689,-0.00796603,-0.11798893,-0.15606980,,,,0.59530672,112314980.25845185,1.49439044,0.18970449,0.07019358,-0.27528710,1.05133684,spy_relative;single_day_move;gap,3,threshold,5.66370000,2026-07-13,1,1,1,,,True,False
139,UCTT,"Ultra Clean Holdings, Inc.",,,NMS,4480145408.00000000,2026-07-13,100.34999847,-0.05570715,-0.04908557,0.10396036,0.06587950,,,,1.01014150,178406729.21461105,1.57120053,0.17833161,0.14458424,-0.29623395,3.63938985,volatility;single_day_move;gap,3,threshold,5.66060000,2026-07-13,1,1,1,,,True,False
140,ENVX,Enovix Corporation,,,NMS,1103856384.00000000,2026-07-13,5.04500008,-0.02980764,-0.10231314,-0.19665607,-0.23473693,,,,1.07139951,31114569.48854389,1.01346070,0.11298928,0.07707317,-0.68330195,0.04235535,spy_relative;single_day_move;gap,3,threshold,5.64940000,2026-07-13,1,1,1,,,True,False
141,KOS,Kosmos Energy Ltd.,,,NYQ,1278322816.00000000,2026-07-13,2.14000010,0.01904772,0.02392354,-0.28187916,-0.31996003,,,,0.97226712,35620592.19214767,0.64951219,0.11498256,0.05226476,-0.34556571,1.45977022,spy_relative;single_day_move,2,threshold,5.64210000,2026-07-13,1,1,1,,,True,False
142,RARE,Ultragenyx Pharmaceutical Inc.,,,NMS,3165936128.00000000,2026-07-13,31.87000084,-0.05765816,-0.05430267,0.38746198,0.34938112,,,,0.70728236,100136921.82935257,0.76066675,0.08833113,0.02341141,-0.12780514,0.72270275,spy_relative;single_day_move,2,threshold,5.62910000,2026-07-13,1,1,1,,,True,False
