rank,ticker,company_name,sector,industry,exchange,market_cap,market_data_date,price,return_1d,return_5d,return_21d,return_63d,return_126d,spy_return_63d,spy_return_126d,spy_relative_21d,spy_relative_63d,spy_relative_126d,sector_etf,sector_etf_return_21d,sector_etf_return_63d,sector_etf_return_126d,sector_relative_21d,sector_relative_63d,sector_relative_126d,volume_ratio_5d_vs_prev20d,avg_dollar_volume_20d,volatility_ratio_20d_vs_prev120d,max_daily_move_21d,max_daily_move_date_21d,max_daily_move_signed_21d,max_1d_share_of_abs_move_21d,directional_efficiency_21d,post_max_move_return_5d,post_max_move_return_10d,max_gap_21d,distance_from_52w_high,distance_from_52w_low,trigger_conditions,trigger_count,selection_reason,signal_score,first_trigger_date,trigger_days_last_5,trigger_days_last_10,consecutive_trigger_days,rank_previous,rank_change,new_entry,persistent_signal
98,WEN,Wendy's Company (The),Consumer Cyclical,,NMS,1419080704.00000000,2026-07-15,7.44999981,0.00404309,0.00000000,0.09720175,0.09882000,-0.12352943,0.08690202,0.08580762,0.07959474,0.01191798,-0.20933706,XLY,0.00343054,0.00480932,-0.06039188,0.09377120,0.09401067,-0.06313755,0.27775646,256894966.44514084,2.18296870,0.25559103,2026-06-24,0.25559103,0.27077606,0.10068102,0.13740451,-0.03435114,0.24760378,-0.34187279,0.20745538,sector_relative;volatility;single_day_move;gap,4,threshold,9.81590000,2026-07-10,3,3,3,56.00000000,-42.00000000,True,True
99,BB,BlackBerry Limited,Technology,,NYQ,6236108800.00000000,2026-07-15,10.64000034,-0.03360580,-0.04316543,0.15778029,1.68010082,1.66000009,0.08690202,0.08580762,0.14017328,1.59319881,1.57419246,XLK,-0.01742425,0.22738947,0.23700531,0.17520453,1.45271135,1.42299477,0.64153740,360514769.15299416,1.78688516,0.19953600,2026-06-25,0.19953600,0.22375694,0.16785163,0.11315281,0.06092844,0.12761025,-0.16939891,2.37777778,spy_relative;sector_relative;volatility;single_day_move;gap,5,threshold,9.80700000,2026-07-10,3,3,3,77.00000000,-22.00000000,True,True
100,RMBS,"Rambus, Inc.",Technology,,NMS,11126212608.00000000,2026-07-15,102.88999939,-0.02362875,-0.06156512,-0.29796670,-0.15476878,0.10753496,0.08690202,0.08580762,-0.31557370,-0.24167079,0.02172734,XLK,-0.01742425,0.22738947,0.23700531,-0.28054245,-0.38215825,-0.12947036,0.66199277,449381299.95990753,1.03990678,0.08810469,2026-07-02,-0.08810469,0.08857750,0.35123594,-0.00726178,,0.07509803,-0.39710537,0.63707242,spy_relative;sector_relative;single_day_move;gap,4,threshold,9.78290000,2026-07-10,3,3,3,103.00000000,3.00000000,True,True
101,BILL,"BILL Holdings, Inc.",Technology,,NYQ,4445002240.00000000,2026-07-15,44.63000107,0.07880112,0.13562346,0.34508742,0.20621625,-0.16890130,0.08690202,0.08580762,0.32748041,0.11931423,-0.25470892,XLK,-0.01742425,0.22738947,0.23700531,0.36251167,-0.02117323,-0.40590661,0.88851106,92950538.57187271,0.70169388,0.07880112,2026-07-15,0.07880112,0.13496625,0.51505541,,,0.03733090,-0.20742319,0.39643311,spy_relative;sector_relative;single_day_move,3,threshold,9.75060000,2026-07-13,2,2,2,149.00000000,48.00000000,True,False
102,NEO,"NeoGenomics, Inc.",Healthcare,,NCM,1888070784.00000000,2026-07-15,14.50000000,0.01897403,0.01825844,0.30044847,0.73652687,0.16092876,0.08690202,0.08580762,0.28284147,0.64962485,0.07512114,XLV,0.02912682,0.06356240,0.00578211,0.27132166,0.67296447,0.15514665,0.45705502,50624183.96964550,1.27990334,0.12467300,2026-06-24,0.12467300,0.19872304,0.42575561,0.16046517,0.14186046,0.07213708,-0.04353561,1.99586767,spy_relative;sector_relative;single_day_move;gap,4,threshold,9.73860000,2026-07-15,1,1,1,,,True,False
103,AMPX,"Amprius Technologies, Inc.",Industrials,,NYQ,1606052096.00000000,2026-07-15,11.34000015,0.01978420,-0.02072537,-0.30472100,-0.36612630,0.13286712,0.08690202,0.08580762,-0.32232801,-0.45302831,0.04705950,XLI,0.02202296,0.03870777,0.10351167,-0.32674396,-0.40483406,0.02935545,0.67750095,96936756.44985199,0.80526782,0.11331441,2026-06-24,-0.11331441,0.11718939,0.36797840,0.08546323,-0.05111824,0.04576854,-0.50501963,0.78301885,spy_relative;sector_relative;single_day_move,3,threshold,9.73220000,2026-07-10,3,3,3,63.00000000,-40.00000000,True,True
104,ORKA,"Oruka Therapeutics, Inc.",Healthcare,,NGM,5226043392.00000000,2026-07-15,86.65000153,-0.00937464,0.02665877,0.23980544,0.29212652,1.82339524,0.08690202,0.08580762,0.22219843,0.20522451,1.73758762,XLV,0.02912682,0.06356240,0.00578211,0.21067862,0.22856413,1.81761313,0.37305928,154039950.85502625,1.12459310,0.18025991,2026-06-22,0.18025991,0.24049971,0.29264404,0.08327478,-0.01030683,0.11971253,-0.08952398,5.63984676,spy_relative;sector_relative;single_day_move;gap,4,threshold,9.69630000,2026-07-10,3,3,3,58.00000000,-46.00000000,True,True
105,CHYM,"Chime Financial, Inc.",Technology,,NMS,8416712704.00000000,2026-07-15,22.09000015,0.02935699,0.05290756,0.32275444,-0.00763702,-0.20909417,0.08690202,0.08580762,0.30514743,-0.09453904,-0.29490179,XLK,-0.01742425,0.22738947,0.23700531,0.34017869,-0.23502649,-0.44609948,0.73418886,122405593.96604538,0.95080507,0.11220576,2026-06-26,0.11220576,0.16859764,0.42731135,0.05561029,0.03100399,0.03233527,-0.38977901,0.34367393,spy_relative;sector_relative;single_day_move,3,threshold,9.66950000,2026-07-15,1,1,1,,,True,False
106,MANE,"Veradermics, Incorporated",Healthcare,,NYQ,5168023552.00000000,2026-07-15,123.69999695,0.12281019,0.04608877,0.28760276,0.64955328,,0.08690202,0.08580762,0.26999575,0.56265126,,XLV,0.02912682,0.06356240,0.00578211,0.25847594,0.58599088,,0.79524028,96111777.52986908,0.85861399,0.13214288,2026-06-24,0.13214288,0.14579807,0.28370593,0.09540451,0.06496720,0.07787966,-0.04655471,2.34053473,spy_relative;sector_relative;single_day_move;gap,4,threshold,9.60620000,2026-07-15,1,1,1,,,True,False
107,ARM,Arm Holdings plc,Technology,,NMS,295868530688.00000000,2026-07-15,277.01000977,-0.01479533,-0.07737137,-0.27257685,0.71821119,1.49244207,0.08690202,0.08580762,-0.29018385,0.63130917,1.40663444,XLK,-0.01742425,0.22738947,0.23700531,-0.25515260,0.49082171,1.25543675,0.55782098,3252116240.97396851,0.95881826,0.10136855,2026-06-23,-0.10136855,0.10014164,0.31122455,-0.03226072,-0.18054538,0.09251447,-0.36965818,1.64954569,spy_relative;sector_relative;single_day_move;gap,4,threshold,9.58650000,2026-07-15,1,1,1,,,True,False
108,TTMI,"TTM Technologies, Inc.",Technology,,NMS,14914945024.00000000,2026-07-15,143.61999512,0.01162213,-0.01149424,-0.25988151,0.18949808,0.84388235,0.08690202,0.08580762,-0.27748852,0.10259606,0.75807473,XLK,-0.01742425,0.22738947,0.23700531,-0.24245726,-0.03789140,0.60687704,0.64389310,560359809.78286743,0.89640360,0.13199778,2026-07-02,-0.13199778,0.16202590,0.36283281,-0.06116165,,0.08375854,-0.35151490,2.58512207,spy_relative;sector_relative;single_day_move;gap,4,threshold,9.58160000,2026-07-13,2,2,2,123.00000000,15.00000000,True,False
109,INFQ,"Infleqtion, Inc.",Technology,,NYQ,2153603328.00000000,2026-07-15,9.86999989,-0.05550239,-0.14248482,-0.26453056,-0.30099150,,0.08690202,0.08580762,-0.28213757,-0.38789352,,XLK,-0.01742425,0.22738947,0.23700531,-0.24710632,-0.52838098,,0.54802702,210034081.57004356,0.76908571,0.12315271,2026-06-23,0.12315271,0.11056533,0.27287143,-0.16541355,-0.27882204,0.08196724,-0.50327129,0.12031775,spy_relative;sector_relative;single_day_move;gap,4,threshold,9.54580000,2026-07-13,2,2,2,86.00000000,-23.00000000,True,False
110,MMYT,MakeMyTrip Limited,Consumer Cyclical,,NMS,5239515136.00000000,2026-07-15,55.22999954,-0.00932736,-0.03054242,0.27995359,0.23778577,-0.29759632,0.08690202,0.08580762,0.26234659,0.15088375,-0.38340394,XLY,0.00343054,0.00480932,-0.06039188,0.27652305,0.23297644,-0.23720444,0.56235412,62328436.43251419,0.93060734,0.10972731,2026-06-24,0.10972731,0.20775899,0.47717310,0.12596746,0.12267802,0.08319815,-0.46487743,0.52148762,spy_relative;sector_relative;single_day_move;gap,4,threshold,9.49190000,2026-07-10,3,3,3,24.00000000,-86.00000000,True,True
111,PARR,"Par Pacific Holdings, Inc. Comm",Energy,,NYQ,3671062528.00000000,2026-07-15,73.20999908,-0.00462276,0.06766807,0.31153707,0.15728740,0.98401073,0.08690202,0.08580762,0.29393007,0.07038539,0.89820311,XLE,-0.01824499,0.00983019,0.21924902,0.32978207,0.14745721,0.76476171,1.03723535,57391081.78956985,1.07290130,0.11568501,2026-07-08,0.11568501,0.18842601,0.45003264,0.06766807,,0.04765317,-0.00462276,1.70247319,spy_relative;sector_relative;single_day_move,3,threshold_and_sector_coverage,9.44900000,2026-07-15,1,1,1,,,True,False
112,MRVL,"Marvell Technology, Inc.",Technology,,NMS,185127518208.00000000,2026-07-15,206.25999451,-0.07273875,-0.10983562,-0.26256709,0.54120893,1.48835802,0.08690202,0.08580762,-0.28017410,0.45430692,1.40255039,XLK,-0.01742425,0.22738947,0.23700531,-0.24514284,0.31381946,1.25135270,0.39586640,12650257871.12350464,1.11955577,0.10432603,2026-06-15,0.10432603,0.09152806,0.26343593,-0.09660708,-0.03558013,0.09432852,-0.34816547,2.31022292,spy_relative;sector_relative;single_day_move;gap,4,threshold,9.40440000,2026-07-15,1,1,1,,,True,False
113,BTDR,Bitdeer Technologies Group,Technology,,NCM,3058452480.00000000,2026-07-15,12.56999969,0.01699029,0.00079612,-0.29500843,0.05012526,0.02444981,0.08690202,0.08580762,-0.31261543,-0.03677675,-0.06135781,XLK,-0.01742425,0.22738947,0.23700531,-0.27758418,-0.17726421,-0.21255550,0.86269978,149756095.12209415,0.92683748,0.14092352,2026-07-09,0.14092352,0.15494654,0.37910744,,,0.06505888,-0.51467182,0.72664826,spy_relative;sector_relative;single_day_move,3,threshold,9.39070000,2026-07-10,3,3,3,130.00000000,17.00000000,True,True
114,CRWV,"CoreWeave, Inc.",Technology,,NMS,42074386432.00000000,2026-07-15,77.12000275,-0.03527645,-0.14311108,-0.23301839,-0.34197948,-0.14244410,0.08690202,0.08580762,-0.25062540,-0.42888150,-0.22825172,XLK,-0.01742425,0.22738947,0.23700531,-0.21559415,-0.56936896,-0.37944941,0.69539839,2874932490.01930237,0.93069535,0.13919031,2026-07-01,-0.13919031,0.14635674,0.27638359,0.04685767,,0.10724335,-0.48154620,0.19473275,spy_relative;sector_relative;single_day_move;gap,4,threshold,9.34820000,2026-07-15,1,1,1,,,True,False
115,APLD,Applied Digital Corporation,Technology,,NMS,8295889920.00000000,2026-07-15,29.03000069,0.01966988,-0.07665394,-0.32014051,-0.07753412,-0.24025121,0.08690202,0.08580762,-0.33774752,-0.16443613,-0.32605883,XLK,-0.01742425,0.22738947,0.23700531,-0.30271626,-0.30492359,-0.47725652,0.76702558,715184937.15514183,0.49921532,0.08829041,2026-06-15,0.08829041,0.11667981,0.50230828,-0.02582313,-0.19733165,0.06305315,-0.41530715,1.89431719,spy_relative;sector_relative;single_day_move,3,threshold,9.26710000,2026-07-13,2,2,2,145.00000000,30.00000000,True,False
116,FORM,"FormFactor, Inc.",Technology,,NMS,9027941376.00000000,2026-07-15,115.80999756,-0.00447008,0.03781702,-0.16809143,-0.09720924,0.58383470,0.08690202,0.08580762,-0.18569844,-0.18411126,0.49802708,XLK,-0.01742425,0.22738947,0.23700531,-0.15066718,-0.32459871,0.34682938,0.55957120,272274801.61239624,1.67035387,0.15999462,2026-07-02,-0.15999462,0.11236489,0.12765256,-0.04911400,,0.11591985,-0.27587068,3.19297589,spy_relative;sector_relative;volatility;single_day_move;gap,5,threshold,9.25980000,2026-07-15,1,1,1,,,True,False
117,CAPR,"Capricor Therapeutics, Inc.",Healthcare,,NMS,1178507008.00000000,2026-07-15,20.35000038,-0.01595744,-0.08539324,-0.21124027,-0.41388250,-0.16972663,0.08690202,0.08580762,-0.22884728,-0.50078451,-0.25553426,XLV,0.02912682,0.06356240,0.00578211,-0.24036709,-0.47744489,-0.17550874,0.71875889,43212053.51054192,1.02567001,0.13026313,2026-06-26,-0.13026313,0.19281635,0.34408913,-0.15166415,-0.22049924,0.10526312,-0.42416524,3.42391322,spy_relative;sector_relative;single_day_move;gap,4,threshold,9.22980000,2026-07-10,3,3,3,119.00000000,2.00000000,True,True
118,CAMT,Camtek Ltd.,Technology,,NGM,6872971776.00000000,2026-07-15,147.30999756,-0.01727816,0.05183859,-0.23780207,-0.18496186,0.06901302,0.08690202,0.08580762,-0.25540908,-0.27186388,-0.01679460,XLK,-0.01742425,0.22738947,0.23700531,-0.22037782,-0.41235134,-0.16799229,0.79692641,83660455.62812805,1.34931779,0.13452893,2026-06-23,-0.13452893,0.13708189,0.27286380,-0.03701520,-0.17320973,0.09380748,-0.28993544,0.91984870,spy_relative;sector_relative;single_day_move;gap,4,threshold,9.20930000,2026-07-13,2,2,2,144.00000000,26.00000000,True,False
119,MLKN,"MillerKnoll, Inc.",Consumer Cyclical,,NMS,1452963200.00000000,2026-07-15,21.25000000,0.03356034,0.08032536,0.30849756,0.31091926,0.09198361,0.08690202,0.08580762,0.29089055,0.22401724,0.00617599,XLY,0.00343054,0.00480932,-0.06039188,0.30506701,0.30610994,0.15237549,0.48472752,20229496.29315853,1.15413970,0.12006959,2026-06-25,0.12006959,0.19323043,0.43967791,0.10926984,0.04401866,0.05800464,-0.07042872,0.53097981,spy_relative;sector_relative;single_day_move,3,threshold,9.16470000,2026-07-10,3,3,3,80.00000000,-39.00000000,True,True
120,AOSL,Alpha and Omega Semiconductor L,Technology,,NMS,1058010560.00000000,2026-07-15,35.34999847,0.01551270,-0.05405407,-0.21809336,0.16359445,0.59090907,0.08690202,0.08580762,-0.23570037,0.07669244,0.50510145,XLK,-0.01742425,0.22738947,0.23700531,-0.20066911,-0.06379502,0.35390376,0.73428727,33665007.95743942,1.21030356,0.14728860,2026-07-02,-0.14728860,0.12461261,0.20530337,0.01212613,,0.11100524,-0.33702178,1.02346880,spy_relative;sector_relative;single_day_move;gap,4,threshold,9.14450000,2026-07-15,1,1,1,,,True,False
121,RGTI,"Rigetti Computing, Inc.",Technology,,NCM,5069082112.00000000,2026-07-15,15.25000000,-0.05338303,-0.09869977,-0.27311724,-0.09602850,-0.40266355,0.08690202,0.08580762,-0.29072425,-0.18293051,-0.48847117,XLK,-0.01742425,0.22738947,0.23700531,-0.25569299,-0.32341797,-0.63966886,0.64358255,514564952.18249798,0.68145284,0.09074896,2026-06-16,-0.09074896,0.10819527,0.37526185,-0.05377901,-0.09496120,0.07102001,-0.72932197,0.18217058,spy_relative;sector_relative;single_day_move;gap,4,threshold,9.14120000,2026-07-15,1,1,1,,,True,False
122,MPLT,"MapLight Therapeutics, Inc.",Healthcare,,NMS,1692754176.00000000,2026-07-15,37.33000183,-0.01529934,-0.03114448,0.34522529,0.38156925,0.95752504,0.08690202,0.08580762,0.32761828,0.29466724,0.87171741,XLV,0.02912682,0.06356240,0.00578211,0.31609847,0.31800686,0.95174293,1.37190457,20253211.07113838,0.82577640,0.07547862,2026-06-17,0.07547862,0.09661657,0.38312106,0.09414584,0.26977067,0.04900977,-0.06206024,1.91412963,spy_relative;sector_relative;single_day_move,3,threshold,9.12470000,2026-07-15,1,1,1,,,True,False
123,CRCL,"Circle Internet Group, Inc.",Financial Services,,NYQ,17558325248.00000000,2026-07-15,65.69000244,0.03906993,0.02528489,-0.15608934,-0.37728691,-0.20759950,0.08690202,0.08580762,-0.17369635,-0.46418893,-0.29340712,XLF,0.06036748,0.09231369,0.02296980,-0.21645682,-0.46960060,-0.23056931,1.30871503,1013285598.61082077,0.83933939,0.17548707,2026-06-30,-0.17548707,0.19562356,0.18600851,0.02299215,0.04885840,0.12140939,-0.72056320,0.30778425,spy_relative;sector_relative;single_day_move;gap,4,threshold,9.11830000,2026-07-10,3,3,3,72.00000000,-51.00000000,True,True
124,CNMD,CONMED Corporation,Healthcare,,NYQ,1288372480.00000000,2026-07-15,42.79000092,0.02491020,0.27389106,0.23065862,0.07701992,-0.01541643,0.08690202,0.08580762,0.21305162,-0.00988210,-0.10122406,XLV,0.02912682,0.06356240,0.00578211,0.20153181,0.01345752,-0.02119854,2.27491443,30314104.51248169,1.73213146,0.10213099,2026-07-13,0.10213099,0.13489821,0.27723847,,,0.03894302,-0.23329153,0.33260667,spy_relative;sector_relative;volume;volatility;single_day_move,5,threshold,9.05990000,2026-07-15,1,1,1,,,True,False
125,ENVX,Enovix Corporation,Industrials,,NMS,1114764160.00000000,2026-07-15,5.11000013,0.00988146,-0.00292680,-0.23273270,-0.19654088,-0.34987277,0.08690202,0.08580762,-0.25033970,-0.28344289,-0.43568039,XLI,0.02202296,0.03870777,0.10351167,-0.25475565,-0.23524864,-0.45338444,1.05549783,31432790.74681044,0.98269983,0.11298928,2026-07-07,-0.11298928,0.12449489,0.28691162,0.01504510,,0.07707317,-0.67922159,0.05578512,spy_relative;sector_relative;single_day_move;gap,4,threshold,9.02890000,2026-07-10,3,3,3,114.00000000,-11.00000000,True,True
