rank,ticker,company_name,sector,industry,exchange,market_cap,market_data_date,price,return_1d,return_5d,return_21d,return_63d,return_126d,spy_return_63d,spy_return_126d,spy_relative_21d,spy_relative_63d,spy_relative_126d,sector_etf,sector_etf_return_21d,sector_etf_return_63d,sector_etf_return_126d,sector_relative_21d,sector_relative_63d,sector_relative_126d,volume_ratio_5d_vs_prev20d,avg_dollar_volume_20d,volatility_ratio_20d_vs_prev120d,max_daily_move_21d,max_daily_move_date_21d,max_daily_move_signed_21d,max_1d_share_of_abs_move_21d,directional_efficiency_21d,post_max_move_return_5d,post_max_move_return_10d,max_gap_21d,distance_from_52w_high,distance_from_52w_low,trigger_conditions,trigger_count,selection_reason,signal_score,first_trigger_date,trigger_days_last_5,trigger_days_last_10,consecutive_trigger_days,rank_previous,rank_change,new_entry,persistent_signal
96,IAUX,i-80 Gold Corp.,Basic Materials,,ASE,1627895168.00000000,2026-08-26,1.88000000,-0.02083331,0.08670519,0.45736438,0.21290326,-0.02083331,0.02081389,0.10521531,0.42332282,0.19208937,-0.12604862,XLB,0.02541074,0.04865178,0.01149636,0.43195364,0.16425148,-0.03232967,1.43709476,20846973.47372688,1.10252835,0.09493669,2026-08-19,0.09493669,0.11640936,0.46952996,0.08670519,,0.07142859,-0.09615382,1.47043371,spy_relative;sector_relative;single_day_move;gap,4,threshold,13.06760000,2026-08-25,2,2,2,110.00000000,14.00000000,True,False
97,BLSH,Bullish,Technology,,NYQ,5021076992.00000000,2026-08-26,33.11000061,0.03404123,0.22994058,0.45923313,-0.03525638,0.00668900,0.02081389,0.10521531,0.42519157,-0.05607028,-0.09852631,XLK,0.06867731,-0.00862114,0.27851202,0.39055583,-0.02663525,-0.27182302,1.17441498,46216562.50873642,1.01218629,0.11571257,2026-08-13,0.11571257,0.13252752,0.43826773,0.03493453,,0.08469542,-0.52352854,0.51950432,spy_relative;sector_relative;single_day_move;gap,4,threshold,13.05980000,2026-08-25,2,2,2,118.00000000,21.00000000,True,False
98,HONA,Honeywell Aerospace Inc.,Industrials,,NMS,51983417344.00000000,2026-08-26,164.00999451,0.02276125,-0.03733052,-0.24034276,,,0.02081389,0.10521531,-0.27438432,,,XLI,-0.01178152,0.03465286,0.02699311,-0.22856124,,,0.72625580,807767405.87788701,,0.23163425,2026-08-06,-0.23163425,0.30891925,0.35212296,0.08525594,0.06020322,0.23885288,-0.39244309,0.04818811,spy_relative;sector_relative;single_day_move;gap,4,threshold,13.00810000,2026-08-06,4,9,3,100.00000000,2.00000000,True,True
99,CIFR,Cipher Digital Inc.,Technology,,NMS,6648792576.00000000,2026-08-26,16.02000046,-0.01778044,0.00818125,-0.21547500,-0.36327502,-0.03552078,0.02081389,0.10521531,-0.24951657,-0.38408891,-0.14073609,XLK,0.06867731,-0.00862114,0.27851202,-0.28415231,-0.35465388,-0.31403279,1.00346033,674345846.36017382,1.40593623,0.28066704,2026-07-30,0.28066704,0.17871688,0.15456527,-0.19620399,-0.26638710,0.16183774,-0.45099382,1.29184563,spy_relative;sector_relative;single_day_move;gap,4,threshold,12.99240000,2026-07-16,5,8,7,81.00000000,-18.00000000,True,True
100,VCYT,"Veracyte, Inc.",Healthcare,,NGM,3560505344.00000000,2026-08-26,44.29000092,0.00567666,0.04977488,-0.20413298,-0.00449541,0.23992160,0.02081389,0.10521531,-0.23817454,-0.02530930,0.13470629,XLV,0.03754633,0.16634183,0.09953742,-0.24167931,-0.17083724,0.14038417,0.92891353,69406206.61780357,1.59357839,0.22515891,2026-07-31,-0.22515891,0.30709036,0.30010390,0.01943008,-0.10945595,0.18417529,-0.26781287,0.54806012,spy_relative;sector_relative;volatility;single_day_move;gap,5,threshold,12.90820000,2026-07-31,5,10,17,82.00000000,-18.00000000,True,True
101,HL,Hecla Mining Company,Basic Materials,,NYQ,13883747328.00000000,2026-08-26,20.70000076,-0.01051622,0.00778967,0.42268045,0.22195986,-0.11196906,0.02081389,0.10521531,0.38863888,0.20114597,-0.21718437,XLB,0.02541074,0.04865178,0.01149636,0.39726971,0.17330809,-0.12346542,0.76721440,682679463.70281768,1.10544347,0.14428970,2026-08-19,0.14428970,0.17645804,0.43974985,0.00778967,,0.07017537,-0.34926120,1.57783331,spy_relative;sector_relative;single_day_move;gap,4,threshold,12.88760000,2026-08-25,2,2,2,133.00000000,32.00000000,True,False
102,APP,Applovin Corporation,Communication Services,,NMS,103109173248.00000000,2026-08-26,308.10998535,-0.00782515,-0.00862326,-0.26328252,-0.45739046,-0.26924085,0.02081389,0.10521531,-0.29732408,-0.47820435,-0.37445615,XLC,0.02680772,-0.03139516,-0.03339055,-0.29009024,-0.42599530,-0.23585029,0.60054252,2472764606.45238638,1.03667492,0.19657725,2026-08-06,-0.19657725,0.29707133,0.44521713,-0.06851967,-0.08013830,0.18992336,-0.58000273,0.03188315,spy_relative;sector_relative;single_day_move;gap,4,threshold_and_sector_coverage,12.86410000,2026-08-06,5,10,15,101.00000000,-1.00000000,True,True
103,XNCR,"Xencor, Inc.",Healthcare,,NGM,2114610688.00000000,2026-08-26,28.44000053,-0.02935149,0.03343023,0.42413628,1.42662115,1.37395673,0.02081389,0.10521531,0.39009472,1.40580726,1.26874142,XLV,0.03754633,0.16634183,0.09953742,0.38658995,1.26027932,1.27441931,1.27251606,30507781.26656542,1.02540459,0.10035837,2026-07-30,0.10035837,0.13245154,0.47526207,-0.06933456,0.06979991,0.10685478,-0.02935149,2.54613453,spy_relative;sector_relative;single_day_move;gap,4,threshold,12.66870000,2026-08-04,4,9,4,80.00000000,-23.00000000,True,True
104,KLAR,Klarna Group plc,Financial Services,,NYQ,5372992512.00000000,2026-08-26,14.21000004,-0.00420465,-0.03530207,-0.24051306,-0.17623188,-0.04949831,0.02081389,0.10521531,-0.27455462,-0.19704578,-0.15471362,XLF,0.01145833,0.13302218,0.12319259,-0.25197139,-0.30925406,-0.17269090,1.41931184,114245488.92474532,1.20334566,0.22808815,2026-08-18,-0.22808815,0.32543050,0.37656872,-0.05245684,,0.19733472,-0.68755497,0.15810917,spy_relative;sector_relative;single_day_move;gap,4,threshold_and_sector_coverage,12.65900000,2026-08-18,5,7,7,71.00000000,-33.00000000,True,True
105,ARIS,Aris Mining Corporation,Basic Materials,,NYQ,4260729344.00000000,2026-08-26,20.63999939,-0.02549579,0.05252416,0.42639938,0.22274884,-0.06690784,0.02081389,0.10521531,0.39235782,0.20193495,-0.17212315,XLB,0.02541074,0.04865178,0.01149636,0.40098864,0.17409706,-0.07840420,0.86188728,28914760.01234150,1.07689472,0.11483800,2026-08-19,0.11483800,0.14874470,0.46897733,0.05252416,,0.07569972,-0.08994713,1.53562635,spy_relative;sector_relative;single_day_move;gap,4,threshold,12.63880000,2026-08-20,5,5,5,107.00000000,2.00000000,True,True
