rank,ticker,company_name,sector,market_cap,market_data_date,price,return_21d,return_63d,return_126d,spy_relative_63d,spy_relative_126d,sector_etf,sector_relative_63d,sector_relative_126d,max_daily_move_63d,max_gap_63d,max_1d_share_of_abs_move_63d,directional_efficiency_63d,positive_days_63d,negative_days_63d,positive_day_ratio_63d,relative_max_daily_move_63d,relative_max_1d_share_of_abs_move_63d,relative_directional_efficiency_63d,max_daily_move_126d,max_gap_126d,max_1d_share_of_abs_move_126d,directional_efficiency_126d,positive_days_126d,negative_days_126d,positive_day_ratio_126d,relative_max_daily_move_126d,relative_max_1d_share_of_abs_move_126d,relative_directional_efficiency_126d,volume_ratio_5d_vs_prev20d,volatility_ratio_20d_vs_prev120d,selection_bucket,selection_reason,anchor_horizon,drift_direction,trend_consistency,tail_percentile,tail_distance
1,CHEF,"The Chefs' Warehouse, Inc.",Consumer Defensive,4569569280.00000000,2026-08-26,112.01000214,0.11808746,0.45789404,0.55310591,0.43708015,0.44789060,XLP,0.43791302,0.58388902,0.06238762,0.02284457,0.05607665,0.34135689,39.00000000,24.00000000,0.61904762,0.08239091,0.07531803,0.32654418,0.17839352,0.04777174,0.07844609,0.19526334,71.00000000,55.00000000,0.56349206,0.16607984,0.07292826,0.20705342,0.74441146,0.81058910,sector_coverage,quiet_drift_sector_coverage_top,63d,up,same_direction,0.94111922,0.88223844
2,GEF,Greif Inc.,Consumer Cyclical,4861086208.00000000,2026-08-26,85.51000214,0.02579176,0.34091268,0.16944747,0.32009879,0.06423216,XLY,0.37702950,0.16884958,0.04618520,0.03802781,0.05324367,0.34018446,40.00000000,23.00000000,0.63492063,0.05291521,0.05560818,0.34693697,0.04618520,0.03802781,0.02858404,0.09712053,66.00000000,60.00000000,0.52380952,0.05291521,0.03080742,0.09078514,0.98721137,0.75858909,sector_coverage,quiet_drift_sector_coverage_top,63d,up,same_direction,0.92165450,0.84330900
3,JLL,Jones Lang LaSalle Incorporated,Real Estate,17762654208.00000000,2026-08-26,386.07998657,0.12533520,0.33140207,0.21949522,0.31058818,0.11427991,XLRE,0.32109512,0.18151176,0.06388236,0.02941176,0.06244565,0.28180239,32.00000000,31.00000000,0.50793651,0.07638924,0.08979681,0.32441716,0.07001223,0.03828679,0.03636357,0.10321827,67.00000000,59.00000000,0.53174603,0.07980190,0.04736712,0.09565624,0.75927422,0.92390955,sector_coverage,quiet_drift_sector_coverage_top,63d,up,same_direction,0.90218978,0.80437956
4,PK,Park Hotels & Resorts Inc.,Real Estate,3207319808.00000000,2026-08-26,15.93000031,0.04871631,0.31327289,0.41474245,0.29245900,0.30952714,XLRE,0.30296594,0.37675899,0.06347894,0.02337110,0.07008904,0.30251368,36.00000000,25.00000000,0.59016393,0.07804836,0.09592350,0.32233460,0.06347894,0.03018495,0.03352738,0.18392117,68.00000000,55.00000000,0.55284553,0.07804836,0.04504601,0.17872627,0.88784951,0.97082470,sector_coverage,quiet_drift_sector_coverage_bottom,63d,up,same_direction,0.89537713,0.79075426
5,USFD,US Foods Holding Corp.,Consumer Defensive,23463229440.00000000,2026-08-26,108.45999908,0.06888733,0.31642189,0.13120570,0.29560800,0.02599039,XLP,0.29644087,0.16198882,0.06448406,0.04816404,0.07290365,0.31232414,35.00000000,28.00000000,0.55555556,0.06507180,0.07892488,0.30944844,0.06448406,0.05486152,0.03850565,0.07368272,66.00000000,60.00000000,0.52380952,0.06507180,0.04231833,0.10050953,0.65196798,0.84692949,sector_coverage,quiet_drift_sector_coverage_bottom,63d,up,same_direction,0.89099757,0.78199513
6,MMSI,"Merit Medical Systems, Inc.",Healthcare,5406181376.00000000,2026-08-26,90.54000092,0.15646953,0.44817659,0.14274892,0.42736269,0.03753361,XLV,0.28183476,0.04321150,0.03940642,0.05146972,0.04058633,0.38337221,39.00000000,23.00000000,0.62903226,0.04707397,0.06083233,0.27969012,0.09049578,0.05146972,0.04592611,0.06773505,63.00000000,61.00000000,0.50806452,0.08915408,0.05267442,0.02277459,0.53808985,0.62086891,sector_coverage,quiet_drift_sector_coverage_top,63d,up,same_direction,0.88467153,0.76934307
7,J,Jacobs Solutions Inc.,Industrials,17891614720.00000000,2026-08-26,151.52000427,0.07759052,0.30733393,0.13540658,0.28652003,0.03019127,XLI,0.27268107,0.10841347,0.04568192,0.01989205,0.04897986,0.28849684,39.00000000,24.00000000,0.61904762,0.04289613,0.05070993,0.27653465,0.07272062,0.07272062,0.03795375,0.06628833,70.00000000,56.00000000,0.55555556,0.10103996,0.05723205,0.05684440,0.95523540,0.64735717,sector_coverage,quiet_drift_sector_coverage_top,63d,up,same_direction,0.87688564,0.75377129
