rank,ticker,company_name,sector,market_cap,market_data_date,price,return_21d,return_63d,return_126d,spy_relative_63d,spy_relative_126d,sector_etf,sector_relative_63d,sector_relative_126d,max_daily_move_63d,max_gap_63d,max_1d_share_of_abs_move_63d,directional_efficiency_63d,positive_days_63d,negative_days_63d,positive_day_ratio_63d,relative_max_daily_move_63d,relative_max_1d_share_of_abs_move_63d,relative_directional_efficiency_63d,max_daily_move_126d,max_gap_126d,max_1d_share_of_abs_move_126d,directional_efficiency_126d,positive_days_126d,negative_days_126d,positive_day_ratio_126d,relative_max_daily_move_126d,relative_max_1d_share_of_abs_move_126d,relative_directional_efficiency_126d,volume_ratio_5d_vs_prev20d,volatility_ratio_20d_vs_prev120d,selection_bucket,selection_reason,anchor_horizon,drift_direction,trend_consistency,tail_percentile,tail_distance
1,DINO,HF Sinclair Corporation,Energy,16365404160.00000000,2026-07-27,90.77999878,0.33933314,0.50647198,0.81596311,0.47124489,0.74362144,XLE,0.48027184,0.62954306,0.06329457,0.05262419,0.04841100,0.31509836,38.00000000,25.00000000,0.60317460,0.04905918,0.04542076,0.35543563,0.10855659,0.17113220,0.04061546,0.22380445,74.00000000,52.00000000,0.58730159,0.13389480,0.06195666,0.19697131,1.17427638,0.86195490,global_tail,quiet_drift_sector_relative_63d_top;quiet_drift_sector_relative_126d_top;quiet_drift_sector_coverage_top,63d,up,same_direction,0.95825336,0.91650672
2,CAKE,The Cheesecake Factory Incorpor,Consumer Cyclical,4324116992.00000000,2026-07-27,87.02999878,0.11334273,0.40643176,0.47758908,0.37120468,0.40524741,XLY,0.46503548,0.57365828,0.06946504,0.03781718,0.06253218,0.30872243,38.00000000,25.00000000,0.60317460,0.07562418,0.06200739,0.32916293,0.06946504,0.03781718,0.03066042,0.17277102,71.00000000,55.00000000,0.56349206,0.07562418,0.03323970,0.21599520,1.21715192,0.91332758,global_tail,quiet_drift_sector_relative_63d_top;quiet_drift_sector_coverage_top,63d,up,same_direction,0.95633397,0.91266795
3,HIW,"Highwoods Properties, Inc.",Real Estate,3800798976.00000000,2026-07-27,33.84000015,0.17052924,0.43026206,0.26694127,0.39503498,0.19459960,XLRE,0.38931576,0.15464183,0.04775283,0.03233683,0.05204877,0.39170564,43.00000000,19.00000000,0.69354839,0.04276271,0.05587434,0.41514703,0.10157751,0.03233683,0.05353342,0.12448737,75.00000000,50.00000000,0.60000000,0.10618068,0.06459332,0.07919055,0.73301544,0.79541403,sector_coverage,quiet_drift_sector_coverage_top,63d,up,same_direction,0.94385797,0.88771593
4,IPAR,"Interparfums, Inc.",Consumer Defensive,3993614592.00000000,2026-07-27,124.69999695,0.19616304,0.36807455,0.27387882,0.33284746,0.20153715,XLP,0.34555422,0.23631951,0.05423311,0.04721921,0.04682666,0.27153048,41.00000000,22.00000000,0.65079365,0.05020521,0.05105096,0.29603820,0.05423311,0.04721921,0.02698672,0.12062878,74.00000000,52.00000000,0.58730159,0.05020521,0.02692715,0.11005480,0.58147864,1.13434352,sector_coverage,quiet_drift_sector_coverage_top,63d,up,same_direction,0.93426104,0.86852207
5,MSGE,Madison Square Garden Entertain,Communication Services,3657640448.00000000,2026-07-27,77.31999969,0.01058682,0.25316043,0.27717209,0.21793335,0.20483043,XLC,0.33604650,0.35106453,0.03412869,0.03241234,0.04301531,0.28527510,35.00000000,28.00000000,0.55555556,0.04936135,0.05575865,0.35265288,0.04232166,0.03241234,0.02455006,0.14226839,65.00000000,61.00000000,0.51587302,0.04936135,0.02945169,0.19177277,0.69843305,0.87492255,sector_coverage,quiet_drift_sector_coverage_top,63d,up,same_direction,0.93186180,0.86372361
6,SBAC,SBA Communications Corporation,Real Estate,18307536896.00000000,2026-07-27,172.61000061,-0.06928721,-0.21397998,-0.06843323,-0.24920707,-0.14077490,XLRE,-0.25492628,-0.18073267,0.05733037,0.02172506,0.06078560,0.25460499,27.00000000,36.00000000,0.42857143,0.04425103,0.05525740,0.35077109,0.18932150,0.02172506,0.08769111,0.03307397,56.00000000,70.00000000,0.44444444,0.15739427,0.08848637,0.09968676,0.76580989,0.69367388,sector_coverage,quiet_drift_sector_coverage_bottom,63d,down,same_direction,0.08685221,0.82629559
7,REYN,Reynolds Consumer Products Inc.,Consumer Cyclical,5374567936.00000000,2026-07-27,25.50000000,-0.00893896,0.22126442,0.05154639,0.18603733,-0.02079528,XLY,0.27986813,0.14761560,0.05063290,0.05683415,0.06644722,0.26342459,34.00000000,28.00000000,0.54838710,0.05602543,0.07650467,0.35541845,0.09628613,0.05683415,0.06029003,0.03153206,62.00000000,63.00000000,0.49600000,0.09931138,0.05930991,0.09033680,0.66575004,0.74843528,sector_coverage,quiet_drift_sector_coverage_bottom,63d,up,same_direction,0.90786948,0.81573896
8,PDI,PIMCO Dynamic Income Fund,Financial Services,7329643008.00000000,2026-07-27,15.88000011,-0.03582266,-0.08944956,-0.12555065,-0.12467665,-0.19789232,XLF,-0.19563399,-0.19734265,0.02146694,0.01355165,0.06592252,0.28715524,26.00000000,34.00000000,0.43333333,0.02814196,0.05494318,0.37997301,0.03134421,0.02111877,0.04281838,0.18300250,58.00000000,64.00000000,0.47540984,0.03862525,0.03659718,0.19280824,1.15828828,0.80434092,sector_coverage,quiet_drift_sector_coverage_bottom,63d,down,same_direction,0.14251440,0.71497121
